# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 18:09:42 2025
#                        
# Element                            : Pr
# Z                                  : 59
# A                                  : 141
# I                                  : 0
# Abundancy                       [%]: 100
# Data origin                        : jendl5.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.322600E+04 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 247
# Number of resonances (<Emax2)      : 249
# Thermal  (n,g) xs (calculated) [b.]: 1.147660E+01 
# Res. Int (n,g) (calculated)    [b.]: 1.813680E+01  
# MACS 30 keV (calculated)       [b.]: 1.243300E-01
# Westcott factor (calculated)       : 9.997900E-01
#
# Thermal (n,el) xs (calculated) [b.]: 2.720090E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.070670E+02 
#
# Scattering radius              [fm]: 4.90 
#
# Average Gtotal   l=0           [eV]: 2.198770E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.180790E-02 
# Average Gg       l=0           [eV]: 9.817290E-02 
# Average level spacing D0 (l=0) [eV]: 1.130430E+02 
# Neutron strength function S0 (l=0) : 1.431500E-04 
#
# Average Gtotal   l=1           [eV]: 1.923270E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.897680E-01 
# Average Gg       l=1           [eV]: 1.179310E-01 
# Average level spacing D1 (l=1) [eV]: 1.041420E+02 
# Neutron strength function S1 (l=1) : 2.730600E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.000000E+01      7.263000E-03     0       +3.00      2.900000E-01    1.755000E-03    7.460000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.524000E+01      2.063700E-02     0       +2.00      8.090000E-03    4.900000E-05    8.600000E-02    4.300000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.123000E+02      2.718800E-02     1       +2.00      3.940000E-04    2.000000E-06    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.187000E+02      5.294700E-02     0       +3.00      1.110000E+00    6.718000E-03    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.352000E+02      5.694200E-02     0       +3.00      8.620000E-01    5.217000E-03    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.597000E+02      8.708300E-02     0       +3.00      1.216000E+00    7.360000E-03    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.879000E+02      9.391100E-02     0       +3.00      4.980000E-02    3.010000E-04    8.200000E-02    4.100000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.151000E+02      1.004960E-01     1       +2.00      1.560000E-03    9.000000E-06    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.700000E+02      1.137870E-01     1       +4.00      2.333000E-03    1.400000E-05    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.196000E+02      1.257950E-01     0       +2.00      1.004000E+00    6.077000E-03    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.354000E+02      1.538300E-01     0       +3.00      2.430000E+00    1.470700E-02    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.210000E+02      1.745540E-01     0       +2.00      3.000000E+00    1.815700E-02    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.452000E+02      2.046230E-01     0       +3.00      4.520000E+00    2.735700E-02    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.990000E+02      2.176480E-01     1       +4.00      5.067000E-03    3.100000E-05    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.315000E+02      2.255160E-01     1       +3.00      2.657000E-03    1.600000E-05    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.572000E+02      2.317380E-01     0       +2.00      4.120000E+00    2.493600E-02    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.017000E+03      2.462160E-01     1       +1.00      9.000000E-03    5.400000E-05    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.120000E+03      2.711520E-01     0       +3.00      1.230000E+00    7.444000E-03    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.285000E+03      3.110980E-01     1       +4.00      3.867000E-03    2.300000E-05    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.331000E+03      3.222350E-01     1       +4.00      4.733000E-03    2.900000E-05    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.364000E+03      3.302240E-01     1       +2.00      1.368000E-01    8.280000E-04    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.384000E+03      3.350660E-01     1       +3.00      8.829000E-03    5.300000E-05    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.484000E+03      3.592760E-01     0       +3.00      4.723000E+00    2.858500E-02    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.529000E+03      3.701710E-01     1       +3.00      6.686000E-03    4.000000E-05    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.537000E+03      3.721080E-01     1       +2.00      1.296000E-02    7.800000E-05    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.672000E+03      4.047910E-01     1       +1.00      1.300000E-01    7.870000E-04    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.715500E+03      4.153230E-01     0       +3.00      2.945000E+00    1.782400E-02    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.880000E+03      4.551480E-01     0       +3.00      1.954000E-01    1.183000E-03    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.036000E+03      4.929160E-01     0       +3.00      1.569000E-01    9.500000E-04    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
