# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 18:10:26 2025
#                        
# Element                            : Sn
# Z                                  : 50
# A                                  : 118
# I                                  : 0
# Abundancy                       [%]: 24.22
# Data origin                        : jendl5.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.500000E+04 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 65
# Number of resonances (<Emax2)      : 81
# Thermal  (n,g) xs (calculated) [b.]: 2.154790E-01 
# Res. Int (n,g) (calculated)    [b.]: 5.185390E+00  
# MACS 30 keV (calculated)       [b.]: 6.482700E-02
# Westcott factor (calculated)       : 1.000430E+00
#
# Thermal (n,el) xs (calculated) [b.]: 4.211340E+00 
# Res. Int (n,el) (calculated)   [b.]: 6.019240E+01 
#
# Scattering radius              [fm]: 6.00 
#
# Average Gtotal   l=0           [eV]: 1.439650E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.127040E-02 
# Average Gg       l=0           [eV]: 1.075670E-01 
# Average level spacing D0 (l=0) [eV]: 1.363640E+03 
# Neutron strength function S0 (l=0) : 1.701630E-05 
#
# Average Gtotal   l=1           [eV]: 2.190510E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.562840E-01 
# Average Gg       l=1           [eV]: 7.003080E-02 
# Average level spacing D1 (l=1) [eV]: 2.941180E+02 
# Neutron strength function S1 (l=1) : 2.798250E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.000000E+02      2.314200E-02     0       +0.50      4.100000E-02    2.370000E-04    8.800000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.575000E+01      1.058700E-02     1       +1.50      3.600000E-04    2.000000E-06    1.100000E-01    5.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.075000E+02      7.116200E-02     1       +1.50      4.000000E-04    2.000000E-06    8.500000E-02    4.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.439000E+02      7.958500E-02     1       +0.50      2.300000E-03    1.300000E-05    8.500000E-02    4.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.590000E+02      8.308000E-02     0       +0.50      3.150000E-01    1.822000E-03    8.500000E-02    4.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.710000E+02      1.784250E-01     0       +0.50      8.000000E-01    4.628000E-03    8.500000E-02    4.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.840000E+02      1.814330E-01     1       +1.50      4.681000E-03    2.700000E-05    8.500000E-02    4.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.254000E+03      2.902010E-01     1       +0.50      1.892400E-02    1.090000E-04    8.500000E-02    4.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.347000E+03      3.117230E-01     1       +0.50      2.106500E-02    1.220000E-04    8.500000E-02    4.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.384000E+03      3.202850E-01     1       +0.50      2.193700E-02    1.270000E-04    8.500000E-02    4.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.584000E+03      3.665690E-01     0       +0.50      3.200000E-01    1.851000E-03    8.500000E-02    4.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.710000E+03      3.957280E-01     1       +1.50      1.650000E-02    9.500000E-05    8.500000E-02    4.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.019000E+03      4.672370E-01     1       +0.50      3.861100E-02    2.230000E-04    8.500000E-02    4.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.213000E+03      5.121320E-01     1       +0.50      4.429300E-02    2.560000E-04    8.500000E-02    4.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.902000E+03      6.715810E-01     1       +0.50      6.500000E-02    3.760000E-04    5.240000E-02    2.620000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.966000E+03      6.863920E-01     0       +0.50      1.400000E+00    8.100000E-03    4.760000E-02    2.380000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.210000E+03      7.428580E-01     1       +1.50      3.250000E-02    1.880000E-04    8.900000E-03    4.450000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.439000E+03      7.958530E-01     0       +0.50      1.750000E+00    1.012500E-02    3.570000E-02    1.785000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.567000E+03      8.254750E-01     1       +0.50      7.800000E-02    4.510000E-04    3.470000E-02    1.735000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.807000E+03      8.810160E-01     1       +0.50      9.000000E-02    5.210000E-04    2.100000E-01    1.050000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.110000E+03      9.511360E-01     0       +0.50      1.100000E+00    6.364000E-03    1.420000E-02    7.100000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.258000E+03      9.853860E-01     1       +0.50      1.030000E-01    5.960000E-04    4.230000E-02    2.115000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
