# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 12:43:39 2025
#                        
# Element                            : Sn
# Z                                  : 50
# A                                  : 124
# I                                  : 0
# Abundancy                       [%]: 5.79
# Data origin                        : jendl5.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 8.000000E+04 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 59
# Number of resonances (<Emax2)      : 90
# Thermal  (n,g) xs (calculated) [b.]: 1.356480E-01 
# Res. Int (n,g) (calculated)    [b.]: 7.800650E+00  
# MACS 30 keV (calculated)       [b.]: 1.947300E-02
# Westcott factor (calculated)       : 9.996600E-01
#
# Thermal (n,el) xs (calculated) [b.]: 4.326910E+00 
# Res. Int (n,el) (calculated)   [b.]: 5.584300E+01 
#
# Scattering radius              [fm]: 5.90 
#
# Average Gtotal   l=0           [eV]: 2.191780E+01 
# Average reduced (Gn^0) Gn l=0  [eV]: 8.671520E-02 
# Average Gg       l=0           [eV]: 1.400000E-01 
# Average level spacing D0 (l=0) [eV]: 1.000000E+04 
# Neutron strength function S0 (l=0) : 9.755460E-06 
#
# Average Gtotal   l=1           [eV]: 1.170930E+01 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.488630E+00 
# Average Gg       l=1           [eV]: 1.420200E-01 
# Average level spacing D1 (l=1) [eV]: 1.666670E+03 
# Neutron strength function S1 (l=1) : 3.506900E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.000000E+01      5.761000E-03     0       +0.50      6.710000E-04    5.000000E-06    8.700000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.200000E+01      1.786000E-02     1       +0.50      7.200000E-03    5.200000E-05    2.390000E-01    1.195000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.380000E+03      6.855830E-01     1       +0.50      2.700000E+00    1.944400E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.390000E+03      9.765230E-01     1       +0.50      1.400000E+00    1.008200E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.360000E+03      1.544002E+00     1       +0.50      7.000000E-01    5.041000E-03    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.950000E+03      2.002017E+00     1       +0.50      7.859900E-01    5.660000E-03    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.720000E+03      2.511883E+00     1       +0.50      1.101400E+00    7.932000E-03    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.970000E+03      2.871958E+00     1       +0.50      7.100000E+00    5.113000E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.486200E+04      4.281148E+00     1       +0.50      8.000000E+00    5.761100E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.497700E+04      4.314275E+00     1       +1.50      5.000000E-01    3.601000E-03    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.613800E+04      4.648712E+00     1       +1.50      1.500000E+00    1.080200E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.674500E+04      4.823565E+00     1       +1.50      1.000000E+00    7.201000E-03    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.718000E+04      4.948871E+00     1       +1.50      1.500000E+00    1.080200E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.091300E+04      6.024199E+00     1       +1.50      5.000000E+00    3.600700E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.262100E+04      6.516205E+00     1       +1.50      2.500000E+00    1.800400E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.303200E+04      6.634598E+00     1       +1.50      1.000000E+00    7.201000E-03    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.323800E+04      6.693938E+00     0       +0.50      4.000000E+00    2.880600E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.330500E+04      6.713238E+00     1       +0.50      1.000000E+00    7.201000E-03    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.473100E+04      7.124012E+00     1       +0.50      2.200000E+01    1.584310E-01    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.582900E+04      7.440302E+00     1       +1.50      6.000000E+00    4.320900E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.062800E+04      8.822701E+00     1       +1.50      1.250000E+01    9.001800E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.238300E+04      9.328247E+00     1       +0.50      1.200000E+01    8.641700E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.249700E+04      9.361086E+00     1       +1.50      2.000000E+00    1.440300E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.584800E+04      1.032638E+01     1       +0.50      4.000000E+00    2.880600E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.590600E+04      1.034308E+01     1       +1.50      1.750000E+01    1.260250E-01    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.735800E+04      1.076135E+01     1       +1.50      3.500000E+00    2.520500E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.788300E+04      1.091258E+01     1       +1.50      1.000000E+00    7.201000E-03    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.815900E+04      1.099208E+01     1       +0.50      1.000000E+00    7.201000E-03    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.856100E+04      1.110788E+01     1       +0.50      4.000000E+00    2.880600E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.951800E+04      1.138355E+01     0       +0.50      2.000000E+00    1.440300E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.955600E+04      1.139450E+01     1       +0.50      6.000000E+00    4.320900E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.034400E+04      1.162149E+01     1       +0.50      4.400000E+01    3.168630E-01    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.130100E+04      1.189717E+01     0       +0.50      1.400000E+01    1.008200E-01    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.457700E+04      1.284085E+01     1       +1.50      3.000000E+00    2.160400E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.490600E+04      1.293562E+01     0       +0.50      3.000000E+00    2.160400E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.497900E+04      1.295665E+01     1       +0.50      6.000000E+00    4.320900E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.650400E+04      1.339594E+01     1       +0.50      3.000000E+00    2.160400E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.667600E+04      1.344549E+01     1       +1.50      1.400000E+01    1.008200E-01    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.085400E+04      1.464900E+01     1       +0.50      8.000000E+00    5.761100E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.103600E+04      1.470143E+01     1       +1.50      1.200000E+01    8.641700E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.464100E+04      1.573989E+01     1       +0.50      3.900000E+01    2.808560E-01    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.483400E+04      1.579548E+01     1       +0.50      5.000000E+00    3.600700E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.746300E+04      1.655279E+01     1       +1.50      2.600000E+01    1.872370E-01    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.861700E+04      1.688521E+01     1       +0.50      9.100000E+01    6.553300E-01    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.946800E+04      1.713035E+01     1       +0.50      2.400000E+01    1.728340E-01    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.968000E+04      1.719142E+01     0       +0.50      4.000000E+00    2.880600E-02    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
