# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 13:00:06 2025
#                        
# Element                            : Te
# Z                                  : 52
# A                                  : 124
# I                                  : 0
# Abundancy                       [%]: 4.74
# Data origin                        : jendl5.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.000000E+04 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 346
# Number of resonances (<Emax2)      : 439
# Thermal  (n,g) xs (calculated) [b.]: 6.784280E+00 
# Res. Int (n,g) (calculated)    [b.]: 5.435020E+00  
# MACS 30 keV (calculated)       [b.]: 1.492900E-01
# Westcott factor (calculated)       : 9.986500E-01
#
# Thermal (n,el) xs (calculated) [b.]: 3.652640E+00 
# Res. Int (n,el) (calculated)   [b.]: 6.129150E+01 
#
# Scattering radius              [fm]: 5.80 
#
# Average Gtotal   l=0           [eV]: 2.236930E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.973700E-02 
# Average Gg       l=0           [eV]: 7.957660E-02 
# Average level spacing D0 (l=0) [eV]: 2.941180E+02 
# Neutron strength function S0 (l=0) : 6.776360E-05 
#
# Average Gtotal   l=1           [eV]: 3.780230E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 7.988580E-02 
# Average Gg       l=1           [eV]: 7.212940E-02 
# Average level spacing D1 (l=1) [eV]: 1.244810E+02 
# Neutron strength function S1 (l=1) : 3.626940E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.300000E+01      3.121000E-03     0       +0.50      7.031000E-03    4.200000E-05    1.410000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.470000E+02      8.329700E-02     1       +0.50      6.000000E-04    4.000000E-06    1.990000E-01    9.950000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.516000E+02      8.440200E-02     1       +0.50      1.800000E-03    1.100000E-05    1.280000E-01    6.400000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.191000E+02      1.006050E-01     1       +0.50      6.800000E-04    4.000000E-06    1.493000E-01    7.465000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.215000E+02      1.011810E-01     1       +0.50      1.200000E-03    7.000000E-06    1.990000E-01    9.950000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.401000E+02      1.056460E-01     1       +0.50      2.100000E-03    1.300000E-05    1.980000E-01    9.900000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.466000E+02      1.072060E-01     1       +0.50      6.500000E-04    4.000000E-06    1.990000E-01    9.950000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.410000E+02      1.298670E-01     0       +0.50      9.400000E-02    5.640000E-04    1.360000E-01    6.800000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.785000E+02      1.628740E-01     0       +0.50      8.600000E-02    5.160000E-04    1.020000E-01    5.100000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.920000E+02      1.661150E-01     1       +0.50      4.750000E-03    2.900000E-05    6.350000E-02    3.175000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.142000E+02      1.954490E-01     0       +0.50      2.370000E-01    1.422000E-03    1.030000E-01    5.150000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.001700E+03      2.404580E-01     0       +0.50      3.400000E-02    2.040000E-04    9.600000E-02    4.800000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.028000E+03      2.467710E-01     0       +0.50      8.000000E-02    4.800000E-04    6.350000E-02    3.175000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.459000E+03      3.502330E-01     0       +0.50      6.000000E-01    3.601000E-03    6.350000E-02    3.175000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.555000E+03      3.732780E-01     0       +0.50      3.470000E+00    2.082500E-02    6.350000E-02    3.175000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.682000E+03      4.037640E-01     1       +0.50      7.500000E-03    4.500000E-05    6.350000E-02    3.175000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.690000E+03      4.056850E-01     0       +0.50      2.250000E-01    1.350000E-03    6.350000E-02    3.175000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.989000E+03      4.774590E-01     0       +0.50      3.700000E+00    2.220500E-02    6.350000E-02    3.175000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.091000E+03      5.019450E-01     0       +0.50      7.800000E-02    4.680000E-04    6.350000E-02    3.175000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.348900E+03      5.638530E-01     0       +0.50      4.300000E-02    2.580000E-04    6.350000E-02    3.175000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.602000E+03      6.246100E-01     0       +0.50      1.630000E+00    9.782000E-03    6.350000E-02    3.175000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.668000E+03      6.404530E-01     0       +0.50      4.100000E-02    2.460000E-04    2.963000E-02    1.482000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.785000E+03      6.685390E-01     0       +0.50      9.022000E-03    5.400000E-05    6.350000E-02    3.175000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.830000E+03      6.793410E-01     0       +0.50      1.740000E+00    1.044200E-02    5.562300E-02    2.781000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.917000E+03      7.002260E-01     0       +0.50      2.900000E-01    1.740000E-03    5.538000E-02    2.769000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.922000E+03      7.014260E-01     0       +0.50      3.205240E-01    1.924000E-03    6.350000E-02    3.175000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.039000E+03      7.295120E-01     1       +0.50      2.793400E-02    1.680000E-04    6.350000E-02    3.175000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.122000E+03      7.494360E-01     0       +0.50      5.337700E-02    3.200000E-04    6.350000E-02    3.175000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.204000E+03      7.691200E-01     1       +0.50      5.076000E-03    3.000000E-05    6.350000E-02    3.175000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.334000E+03      8.003270E-01     0       +0.50      2.850000E-01    1.710000E-03    5.428600E-02    2.714000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.390000E+03      8.137700E-01     0       +0.50      7.200000E-01    4.321000E-03    5.303900E-02    2.652000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.398000E+03      8.156900E-01     1       +0.50      1.345100E-02    8.100000E-05    6.350000E-02    3.175000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
