# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 12:57:29 2025
#                        
# Element                            : W
# Z                                  : 74
# A                                  : 186
# I                                  : 0
# Abundancy                       [%]: 28.43
# Data origin                        : jendl5.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.500000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 32
# Number of resonances (<Emax2)      : 103
# Thermal  (n,g) xs (calculated) [b.]: 3.808860E+01 
# Res. Int (n,g) (calculated)    [b.]: 4.732030E+02  
# MACS 30 keV (calculated)       [b.]: 1.865800E-01
# Westcott factor (calculated)       : 1.001730E+00
#
# Thermal (n,el) xs (calculated) [b.]: 7.400350E-02 
# Res. Int (n,el) (calculated)   [b.]: 3.021290E+03 
#
# Scattering radius              [fm]: 7.64 
#
# Average Gtotal   l=0           [eV]: 1.228460E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.813310E-02 
# Average Gg       l=0           [eV]: 5.914190E-02 
# Average level spacing D0 (l=0) [eV]: 1.166670E+02 
# Neutron strength function S0 (l=0) : 2.491790E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -6.540000E+01      2.014900E-02     0       +0.50      4.390000E-01    3.381000E-03    7.100000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.883000E+01      5.801000E-03     0       +0.50      2.880000E-01    2.218000E-03    4.380000E-02    2.190000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.707000E+02      5.259100E-02     0       +0.50      2.700000E-02    2.080000E-04    6.500000E-02    3.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.175000E+02      6.701000E-02     0       +0.50      4.820000E-01    3.712000E-03    6.200000E-02    3.100000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.867000E+02      8.832900E-02     0       +0.50      3.200000E-02    2.460000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.057000E+02      1.249920E-01     0       +0.50      8.600000E-02    6.620000E-04    5.600000E-02    2.800000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.094000E+02      1.569410E-01     0       +0.50      8.200000E-02    6.320000E-04    4.200000E-02    2.100000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.410000E+02      1.666770E-01     0       +0.50      4.900000E-01    3.774000E-03    6.500000E-02    3.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.626000E+02      2.041400E-01     0       +0.50      6.200000E-01    4.775000E-03    8.500000E-02    4.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.200000E+02      2.218250E-01     0       +0.50      2.040000E+00    1.571300E-02    9.200000E-02    4.600000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
