# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 18:11:39 2025
#                        
# Element                            : Xe
# Z                                  : 54
# A                                  : 129
# I                                  : 0
# Abundancy                       [%]: 26.4
# Data origin                        : jendl5.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.700000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 59
# Number of resonances (<Emax2)      : 71
# Thermal  (n,g) xs (calculated) [b.]: 2.200310E+01 
# Res. Int (n,g) (calculated)    [b.]: 3.048460E+02  
# MACS 30 keV (calculated)       [b.]: 5.847600E-01
# Westcott factor (calculated)       : 1.001820E+00
#
# Thermal (n,el) xs (calculated) [b.]: 5.045090E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.025230E+02 
#
# Scattering radius              [fm]: 5.44 
#
# Average Gtotal   l=0           [eV]: 5.614350E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 9.111190E-03 
# Average Gg       l=0           [eV]: 2.438780E-01 
# Average level spacing D0 (l=0) [eV]: 4.736840E+01 
# Neutron strength function S0 (l=0) : 1.097950E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -5.000000E+01      1.208600E-02     0       +0.00      1.000000E+00    6.043000E-03    1.520000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.660000E+00      2.335000E-03     0       +1.00      7.760000E-03    4.700000E-05    1.436600E-01    7.183000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.053000E+01      2.188300E-02     0       +0.00      9.610000E-03    5.800000E-05    1.303900E-01    6.520000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.225000E+01      2.229900E-02     0       +1.00      8.069000E-02    4.880000E-04    1.213100E-01    6.066000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.258400E+02      3.041800E-02     0       +0.00      3.222400E-01    1.947000E-03    9.076000E-02    4.538000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.628100E+02      3.935400E-02     0       +1.00      6.657000E-02    4.020000E-04    1.344300E-01    6.722000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.856800E+02      4.488300E-02     0       +1.00      7.690000E-02    4.650000E-04    1.381000E-01    6.905000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.281400E+02      5.514600E-02     0       +1.00      4.488000E-02    2.710000E-04    1.051200E-01    5.256000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.444800E+02      5.909600E-02     0       +0.00      6.445000E-02    3.890000E-04    1.155500E-01    5.778000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.415200E+02      8.255200E-02     0       +1.00      3.630000E-03    2.200000E-05    2.937000E-02    1.469000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.747400E+02      9.058200E-02     0       +1.00      9.254000E-02    5.590000E-04    1.414600E-01    7.073000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.792900E+02      9.168200E-02     0       +0.00      1.135000E-02    6.900000E-05    1.021000E-01    5.105000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.322300E+02      1.044790E-01     0       +1.00      1.500300E-01    9.070000E-04    1.499700E-01    7.498000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.626100E+02      1.118220E-01     0       +1.00      2.029800E-01    1.227000E-03    1.270200E-01    6.351000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.086200E+02      1.229440E-01     0       +0.00      1.384300E-01    8.370000E-04    1.915700E-01    9.578000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.808200E+02      1.403960E-01     0       +1.00      5.194200E-01    3.139000E-03    1.905800E-01    9.529000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.850300E+02      1.414130E-01     0       +0.00      7.337400E-01    4.434000E-03    1.626000E-02    8.130000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.050700E+02      1.462580E-01     0       +1.00      7.564000E-02    4.570000E-04    9.436000E-02    4.718000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.368000E+02      1.539270E-01     0       +1.00      3.656100E-01    2.209000E-03    1.543900E-01    7.720000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.599100E+02      1.836850E-01     0       +0.00      3.555000E-02    2.150000E-04    1.021000E-01    5.105000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.773100E+02      1.878910E-01     0       +0.00      4.766000E-02    2.880000E-04    1.021000E-01    5.105000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.988700E+02      1.931030E-01     0       +1.00      3.530000E-01    2.133000E-03    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.851000E+02      2.139460E-01     0       +0.00      6.278000E-02    3.790000E-04    1.021000E-01    5.105000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.086300E+02      2.196340E-01     0       +0.00      1.225420E+00    7.405000E-03    8.458000E-02    4.229000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.201700E+02      2.224230E-01     0       +0.00      4.387000E-02    2.650000E-04    1.021000E-01    5.105000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.331400E+02      2.255590E-01     0       +1.00      1.059000E-01    6.400000E-04    4.410000E-02    2.205000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.667600E+02      2.336850E-01     0       +0.00      7.791000E-02    4.710000E-04    1.021000E-01    5.105000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.028900E+03      2.487060E-01     0       +1.00      2.648000E-02    1.600000E-04    1.352000E-02    6.760000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.053500E+03      2.546520E-01     0       +1.00      2.155800E-01    1.303000E-03    1.944200E-01    9.721000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.136100E+03      2.746180E-01     0       +1.00      1.089300E-01    6.580000E-04    1.910700E-01    9.554000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.186000E+03      2.866800E-01     0       +1.00      6.177500E-01    3.733000E-03    1.822500E-01    9.112000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.199000E+03      2.898220E-01     0       +1.00      2.478600E-01    1.498000E-03    1.321400E-01    6.607000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.234200E+03      2.983310E-01     0       +1.00      7.060000E-02    4.270000E-04    1.494000E-01    7.470000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.296100E+03      3.132930E-01     0       +0.00      3.555200E-01    2.148000E-03    1.244800E-01    6.224000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.355300E+03      3.276030E-01     0       +1.00      3.656100E-01    2.209000E-03    1.043900E-01    5.220000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.413700E+03      3.417200E-01     0       +0.00      2.193600E-01    1.326000E-03    1.021000E-01    5.105000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.489600E+03      3.600660E-01     0       +1.00      8.573000E-02    5.180000E-04    1.542700E-01    7.713000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.505200E+03      3.638370E-01     0       +0.00      5.597600E-01    3.383000E-03    3.002400E-01    1.501200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.622800E+03      3.922630E-01     0       +1.00      1.071600E-01    6.480000E-04    1.928400E-01    9.642000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.651000E+03      3.990800E-01     0       +1.00      1.361600E-01    8.230000E-04    2.038400E-01    1.019200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.664400E+03      4.023190E-01     0       +1.00      2.395400E-01    1.448000E-03    3.404600E-01    1.702300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.714800E+03      4.145010E-01     0       +1.00      7.816000E-02    4.720000E-04    4.184000E-02    2.092000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.734200E+03      4.191910E-01     0       +1.00      2.294500E-01    1.387000E-03    1.305500E-01    6.527000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
