# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:04:09 2025
#                        
# Element                            : Ac
# Z                                  : 89
# A                                  : 230
# I                                  : 0
# Half-life                   [min. ]: 2.03333 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 7.429258E+00 
# Emax2 (background)             [eV]: 2.000000E+01 
# Number of resonances (<Emax)       : 72
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 1.088930E+02 
# Ress Int. (n,g) (systematics)  [b.]: 1.423840E+02 
# MACS 30 keV (calculated)       [b.]: 1.309100E+00
# Westcott factor (calculated)       : 2.617610E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.036890E+04 
# Res. Int (n,el) (calculated)   [b.]: 9.374230E+02 
#
# Thermal  (n,f) xs              [b.]: 4.419130E+02 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 4.093770E+02
#
# Scattering radius              [fm]: 8.12 +/- 8.12 
#
# Average Gtotal   l=0           [eV]: 1.178330E-04 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.250240E-05 
# Average Gg       l=0           [eV]: 4.135990E-06 
# Average level spacing D0 (l=0) [eV]: 1.160820E-01 
# Neutron strength function S0 (l=0) : 1.683900E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.501425E+00      5.000000E-04     0       +0.50      2.656022E-04    5.000000E-06    4.170267E-06    3.000000E-06    +1.026929E-05   7.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -2.258330E+00      4.520000E-04     0       +0.50      2.240429E-05    0.000000E+00    4.170267E-06    3.000000E-06    +6.144483E-05   4.300000E-05    +0.000000E+00   0.000000E+00      hfr  
  -1.691181E+00      3.380000E-04     0       +0.50      1.243562E-04    2.000000E-06    4.170267E-06    3.000000E-06    +4.819835E-05   3.300000E-05    +0.000000E+00   0.000000E+00      hfr  
  -5.612166E-01      1.120000E-04     0       +0.50      5.660950E-06    0.000000E+00    4.170267E-06    3.000000E-06    +3.341215E-05   2.300000E-05    +0.000000E+00   0.000000E+00      hfr  
  -5.379202E-01      1.080000E-04     0       +0.50      2.880301E-06    0.000000E+00    4.170267E-06    3.000000E-06    +1.162515E-04   8.000000E-05    +0.000000E+00   0.000000E+00      hfr  
  -4.431918E-01      8.900000E-05     0       +0.50      6.543769E-06    0.000000E+00    4.170267E-06    3.000000E-06    +2.335817E-05   1.600000E-05    +0.000000E+00   0.000000E+00      hfr  
  -1.391451E-01      2.800000E-05     0       +0.50      8.536825E-07    0.000000E+00    4.170267E-06    3.000000E-06    +1.880718E-04   1.300000E-04    +0.000000E+00   0.000000E+00      hfr  
  -4.342214E-05      0.000000E+00     0       +0.50      8.030610E-05    1.000000E-06    4.170267E-06    3.000000E-06    +1.692646E-05   1.200000E-05    +0.000000E+00   0.000000E+00     radiator 
  +1.491428E-01      3.000000E-05     0       +0.50      1.431958E-04    2.000000E-06    4.170267E-06    3.000000E-06    +1.379296E-05   1.000000E-05    +0.000000E+00   0.000000E+00     radiator 
  +3.149563E-01      6.300000E-05     0       +0.50      1.172998E-04    2.000000E-06    4.170267E-06    3.000000E-06    +5.314605E-06   4.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +4.464416E-01      8.900000E-05     0       +0.50      3.485468E-06    0.000000E+00    4.170267E-06    3.000000E-06    +4.048386E-05   2.800000E-05    +0.000000E+00   0.000000E+00      hfr  
  +6.470199E-01      1.290000E-04     0       +0.50      1.448969E-05    0.000000E+00    4.170267E-06    3.000000E-06    +6.297871E-05   4.400000E-05    +0.000000E+00   0.000000E+00      hfr  
  +7.907636E-01      1.580000E-04     0       +0.50      8.463154E-08    0.000000E+00    4.170267E-06    3.000000E-06    +7.955470E-05   5.500000E-05    +0.000000E+00   0.000000E+00      hfr  
  +8.553773E-01      1.710000E-04     0       +0.50      9.277594E-05    2.000000E-06    4.170267E-06    3.000000E-06    +1.083815E-04   7.500000E-05    +0.000000E+00   0.000000E+00      hfr  
  +8.858705E-01      1.770000E-04     0       +0.50      1.186114E-04    2.000000E-06    4.170267E-06    3.000000E-06    +8.178421E-05   5.700000E-05    +0.000000E+00   0.000000E+00      hfr  
  +9.199628E-01      1.840000E-04     0       +0.50      6.054550E-05    1.000000E-06    4.170267E-06    3.000000E-06    +2.238487E-05   1.600000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.189854E+00      2.380000E-04     0       +0.50      8.475375E-05    1.000000E-06    4.170267E-06    3.000000E-06    +1.557912E-04   1.080000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.338559E+00      2.680000E-04     0       +0.50      9.705215E-06    0.000000E+00    4.170267E-06    3.000000E-06    +2.977467E-05   2.100000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.541741E+00      3.080000E-04     0       +0.50      4.348723E-05    1.000000E-06    4.170267E-06    3.000000E-06    +4.324539E-05   3.000000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.727562E+00      3.460000E-04     0       +0.50      8.903274E-07    0.000000E+00    4.170267E-06    3.000000E-06    +3.006361E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.738118E+00      3.480000E-04     0       +0.50      8.990228E-05    2.000000E-06    4.170267E-06    3.000000E-06    +7.162686E-06   5.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.963354E+00      3.930000E-04     0       +0.50      5.046509E-04    9.000000E-06    4.170267E-06    3.000000E-06    +1.026929E-05   7.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.986430E+00      3.970000E-04     0       +0.50      5.727990E-05    1.000000E-06    4.170267E-06    3.000000E-06    +6.144483E-05   4.300000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.998825E+00      4.000000E-04     0       +0.50      4.084681E-04    7.000000E-06    4.170267E-06    3.000000E-06    +4.819835E-05   3.300000E-05    +0.000000E+00   0.000000E+00      hfr  
  +2.060299E+00      4.120000E-04     0       +1.50      1.318342E-06    0.000000E+00    4.124802E-06    3.000000E-06    +1.014847E-04   7.000000E-05    +0.000000E+00   0.000000E+00      hfr  
  +2.148930E+00      4.300000E-04     0       +1.50      1.144125E-08    0.000000E+00    4.124802E-06    3.000000E-06    +1.511474E-04   1.050000E-04    +0.000000E+00   0.000000E+00      hfr  
  +2.342461E+00      4.680000E-04     0       +1.50      3.218696E-05    1.000000E-06    4.124802E-06    3.000000E-06    +1.368244E-05   9.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +2.484188E+00      4.970000E-04     0       +1.50      3.749288E-06    0.000000E+00    4.124802E-06    3.000000E-06    +4.108583E-05   2.800000E-05    +0.000000E+00   0.000000E+00      hfr  
  +2.584006E+00      5.170000E-04     0       +1.50      1.639826E-05    0.000000E+00    4.124802E-06    3.000000E-06    +1.629973E-05   1.100000E-05    +0.000000E+00   0.000000E+00      hfr  
  +2.865127E+00      5.730000E-04     0       +1.50      1.342073E-05    0.000000E+00    4.124802E-06    3.000000E-06    +5.184535E-05   3.600000E-05    +0.000000E+00   0.000000E+00      hfr  
  +3.057368E+00      6.110000E-04     0       +1.50      4.296611E-07    0.000000E+00    4.124802E-06    3.000000E-06    +3.733740E-05   2.600000E-05    +0.000000E+00   0.000000E+00      hfr  
  +3.082605E+00      6.170000E-04     0       +1.50      1.104166E-08    0.000000E+00    4.124802E-06    3.000000E-06    +7.263455E-05   5.000000E-05    +0.000000E+00   0.000000E+00      hfr  
  +3.087235E+00      6.170000E-04     0       +1.50      4.825530E-06    0.000000E+00    4.124802E-06    3.000000E-06    +8.574774E-06   6.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +3.099224E+00      6.200000E-04     0       +1.50      9.087099E-07    0.000000E+00    4.124802E-06    3.000000E-06    +3.388898E-05   2.300000E-05    +0.000000E+00   0.000000E+00      hfr  
  +3.473168E+00      6.950000E-04     0       +1.50      8.475233E-05    1.000000E-06    4.124802E-06    3.000000E-06    +2.865525E-05   2.000000E-05    +0.000000E+00   0.000000E+00      hfr  
  +3.506083E+00      7.010000E-04     0       +1.50      4.047647E-06    0.000000E+00    4.124802E-06    3.000000E-06    +7.427996E-05   5.100000E-05    +0.000000E+00   0.000000E+00      hfr  
  +3.521456E+00      7.040000E-04     0       +1.50      7.975976E-06    0.000000E+00    4.124802E-06    3.000000E-06    +1.235497E-04   8.600000E-05    +0.000000E+00   0.000000E+00      hfr  
  +3.733089E+00      7.470000E-04     0       +1.50      1.751226E-04    3.000000E-06    4.124802E-06    3.000000E-06    +5.879211E-05   4.100000E-05    +0.000000E+00   0.000000E+00      hfr  
  +3.745105E+00      7.490000E-04     0       +1.50      1.039194E-05    0.000000E+00    4.124802E-06    3.000000E-06    +1.250718E-05   9.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +3.819603E+00      7.640000E-04     0       +1.50      2.887226E-06    0.000000E+00    4.124802E-06    3.000000E-06    +4.428825E-06   3.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +3.912591E+00      7.830000E-04     0       +1.50      5.076514E-06    0.000000E+00    4.124802E-06    3.000000E-06    +1.438586E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +3.920132E+00      7.840000E-04     0       +1.50      1.686838E-06    0.000000E+00    4.124802E-06    3.000000E-06    +1.916685E-04   1.330000E-04    +0.000000E+00   0.000000E+00      hfr  
  +3.952587E+00      7.910000E-04     0       +1.50      2.060237E-05    0.000000E+00    4.124802E-06    3.000000E-06    +1.781319E-05   1.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  +4.115080E+00      8.230000E-04     0       +1.50      1.697275E-04    3.000000E-06    4.124802E-06    3.000000E-06    +3.103108E-05   2.100000E-05    +0.000000E+00   0.000000E+00      hfr  
  +4.141007E+00      8.280000E-04     0       +1.50      2.737470E-05    0.000000E+00    4.124802E-06    3.000000E-06    +5.629465E-05   3.900000E-05    +0.000000E+00   0.000000E+00      hfr  
  +4.289657E+00      8.580000E-04     0       +1.50      2.570168E-06    0.000000E+00    4.124802E-06    3.000000E-06    +7.922048E-05   5.500000E-05    +0.000000E+00   0.000000E+00      hfr  
  +4.566474E+00      9.130000E-04     0       +1.50      1.035727E-04    2.000000E-06    4.124802E-06    3.000000E-06    +5.037053E-05   3.500000E-05    +0.000000E+00   0.000000E+00      hfr  
  +4.635120E+00      9.270000E-04     0       +1.50      1.354880E-04    2.000000E-06    4.124802E-06    3.000000E-06    +8.374946E-06   6.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +4.645795E+00      9.290000E-04     0       +1.50      2.586921E-05    0.000000E+00    4.124802E-06    3.000000E-06    +5.647497E-06   4.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +4.919188E+00      9.840000E-04     0       +1.50      1.640760E-07    0.000000E+00    4.124802E-06    3.000000E-06    +1.311022E-04   9.100000E-05    +0.000000E+00   0.000000E+00      hfr  
