# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 21:20:46 2025
#                        
# Element                            : Ac
# Z                                  : 89
# A                                  : 232
# I                                  : 0
# Half-life                   [min. ]: 1.98 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.325976E+01 
# Emax2 (background)             [eV]: 4.563640E+02 
# Number of resonances (<Emax)       : 93
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 9.964180E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.476220E+02 
# MACS 30 keV (calculated)       [b.]: 1.609100E+00
# Westcott factor (calculated)       : 2.554830E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.263110E+04 
# Res. Int (n,el) (calculated)   [b.]: 1.032730E+04 
#
# Thermal  (n,f) xs              [b.]: 3.306090E-03 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 3.272090E-03
#
# Scattering radius              [fm]: 8.15 +/- 8.15 
#
# Average Gtotal   l=0           [eV]: 5.609420E-04 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.678510E-04 
# Average Gg       l=0           [eV]: 3.732900E-06 
# Average level spacing D0 (l=0) [eV]: 1.578540E-01 
# Neutron strength function S0 (l=0) : 7.898390E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.868288E+00      3.740000E-04     0       +0.50      2.330835E-03    4.100000E-05    3.753272E-06    3.000000E-06    +3.269710E-10   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.521738E+00      3.040000E-04     0       +0.50      4.755585E-05    1.000000E-06    3.753272E-06    3.000000E-06    +1.664810E-10   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.357790E+00      2.720000E-04     0       +0.50      3.235178E-03    5.800000E-05    3.753272E-06    3.000000E-06    +2.780530E-10   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.323366E+00      2.650000E-04     0       +0.50      7.753542E-04    1.400000E-05    3.753272E-06    3.000000E-06    +8.022910E-11   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.055559E+00      2.110000E-04     0       +0.50      1.353018E-04    2.000000E-06    3.753272E-06    3.000000E-06    +4.021210E-10   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.798430E-01      1.760000E-04     0       +0.50      2.752942E-04    5.000000E-06    3.753272E-06    3.000000E-06    +1.676870E-10   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.825263E-01      1.570000E-04     0       +0.50      3.092052E-04    6.000000E-06    3.753272E-06    3.000000E-06    +2.444050E-11   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.142722E-01      6.300000E-05     0       +0.50      6.632128E-05    1.000000E-06    3.753272E-06    3.000000E-06    +2.019110E-10   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.049471E-04      0.000000E+00     0       +0.50      1.276702E-04    2.000000E-06    3.753272E-06    3.000000E-06    +1.244970E-10   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.966275E-01      3.900000E-05     0       +0.50      4.176232E-06    0.000000E+00    3.753272E-06    3.000000E-06    +4.264590E-10   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +3.711756E-01      7.400000E-05     0       +0.50      2.003624E-05    0.000000E+00    3.753272E-06    3.000000E-06    +4.864770E-10   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.615875E-01      1.120000E-04     0       +0.50      4.229798E-04    8.000000E-06    3.753272E-06    3.000000E-06    +9.038260E-11   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.132100E-01      1.230000E-04     0       +0.50      2.422246E-04    4.000000E-06    3.753272E-06    3.000000E-06    +2.508300E-10   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.654197E-01      1.730000E-04     0       +0.50      9.960765E-04    1.800000E-05    3.753272E-06    3.000000E-06    +5.834980E-11   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.870156E-01      1.970000E-04     0       +0.50      3.980341E-04    7.000000E-06    3.753272E-06    3.000000E-06    +6.852750E-11   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.231199E+00      2.460000E-04     0       +0.50      9.168172E-06    0.000000E+00    3.753272E-06    3.000000E-06    +6.649280E-10   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.265499E+00      2.530000E-04     0       +0.50      9.863087E-04    1.800000E-05    3.753272E-06    3.000000E-06    +1.490520E-10   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.534792E+00      3.070000E-04     0       +0.50      3.162822E-05    1.000000E-06    3.753272E-06    3.000000E-06    +2.029910E-10   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.554274E+00      3.110000E-04     0       +0.50      1.336766E-03    2.400000E-05    3.753272E-06    3.000000E-06    +2.566940E-11   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.763161E+00      3.530000E-04     0       +0.50      9.227596E-05    2.000000E-06    3.753272E-06    3.000000E-06    +5.208740E-11   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.972592E+00      3.950000E-04     0       +0.50      6.198847E-04    1.100000E-05    3.753272E-06    3.000000E-06    +3.506570E-11   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.287498E+00      4.570000E-04     0       +0.50      1.717385E-04    3.000000E-06    3.753272E-06    3.000000E-06    +1.009110E-10   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.664456E+00      5.330000E-04     0       +0.50      2.229378E-03    4.000000E-05    3.753272E-06    3.000000E-06    +5.715870E-10   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.687341E+00      5.370000E-04     0       +0.50      1.344135E-03    2.400000E-05    3.753272E-06    3.000000E-06    +3.143370E-10   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.918625E+00      5.840000E-04     0       +0.50      1.580729E-03    2.800000E-05    3.753272E-06    3.000000E-06    +1.151130E-11   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.121653E+00      6.240000E-04     0       +0.50      7.134536E-04    1.300000E-05    3.753272E-06    3.000000E-06    +1.182630E-10   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.152212E+00      6.300000E-04     0       +0.50      4.178307E-03    7.400000E-05    3.753272E-06    3.000000E-06    +2.379150E-10   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.216826E+00      6.430000E-04     0       +0.50      2.040569E-07    0.000000E+00    3.753272E-06    3.000000E-06    +4.642460E-12   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
