# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:07:56 2025
#                        
# Element                            : Ac
# Z                                  : 89
# A                                  : 235
# I                                  : 0
# Half-life                   [min. ]: 1.03333 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.380811E+01 
# Emax2 (background)             [eV]: 2.000000E+02 
# Number of resonances (<Emax)       : 62
# Number of resonances (<Emax2)      : 175
# Thermal (n,g) xs (systematics) [b.]: 5.576090E+01 
# Ress Int. (n,g) (systematics)  [b.]: 2.306630E+03 
# MACS 30 keV (calculated)       [b.]: 4.660300E-01
# Westcott factor (calculated)       : 1.002680E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 4.740520E+00 
# Res. Int (n,el) (calculated)   [b.]: 6.020310E+03 
#
# Thermal  (n,f) xs              [b.]: 1.608520E+00 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 6.593500E+01
#
# Scattering radius              [fm]: 8.18 +/- 8.18 
#
# Average Gtotal   l=0           [eV]: 6.728780E-03 
# Average reduced (Gn^0) Gn l=0  [eV]: 5.558560E-04 
# Average Gg       l=0           [eV]: 4.812670E-03 
# Average level spacing D0 (l=0) [eV]: 1.121000E+00 
# Neutron strength function S0 (l=0) : 2.380920E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.455702E+01      4.911000E-03     0       +0.00      1.087869E-04    2.000000E-06    4.848517E-03    3.571000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  -1.859782E+01      3.720000E-03     0       +0.00      6.110018E-03    1.130000E-04    4.848517E-03    3.571000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  -1.204121E+01      2.408000E-03     0       +0.00      8.148300E-07    0.000000E+00    4.848517E-03    3.571000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  -1.167289E+01      2.335000E-03     0       +0.00      3.278797E-04    6.000000E-06    4.848517E-03    3.571000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  -1.041899E+01      2.084000E-03     0       +0.00      2.703917E-03    5.000000E-05    4.848517E-03    3.571000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  -7.971811E+00      1.594000E-03     0       +0.00      3.788974E-03    7.000000E-05    4.848517E-03    3.571000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  -6.604563E+00      1.321000E-03     0       +0.00      1.807934E-03    3.300000E-05    4.848517E-03    3.571000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  -5.571527E+00      1.114000E-03     0       +0.00      1.179635E-02    2.170000E-04    4.848517E-03    3.571000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  -3.448069E+00      6.900000E-04     0       +0.00      1.125204E-03    2.100000E-05    4.848517E-03    3.571000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  -3.166300E+00      6.330000E-04     0       +0.00      8.093847E-03    1.490000E-04    4.848517E-03    3.571000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  -2.382044E+00      4.760000E-04     0       +0.00      1.724342E-03    3.200000E-05    4.848517E-03    3.571000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  -2.016062E+00      4.030000E-04     0       +0.00      3.163618E-03    5.800000E-05    4.848517E-03    3.571000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  -1.737826E+00      3.480000E-04     0       +0.00      1.165429E-04    2.000000E-06    4.848517E-03    3.571000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  -5.347540E-01      1.070000E-04     0       +0.00      6.819430E-04    1.300000E-05    4.848517E-03    3.571000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  +6.130701E-01      1.230000E-04     0       +0.00      2.136557E-04    4.000000E-06    4.848517E-03    3.571000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.627970E+00      3.260000E-04     0       +0.00      1.908186E-02    3.510000E-04    4.848517E-03    3.571000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.737826E+00      3.480000E-04     0       +0.00      6.151864E-06    0.000000E+00    4.848517E-03    3.571000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  +4.995531E+00      9.990000E-04     0       +1.00      6.550454E-04    1.200000E-05    4.810336E-03    3.543000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  +5.954940E+00      1.191000E-03     0       +1.00      2.727220E-04    5.000000E-06    4.810336E-03    3.543000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  +6.323772E+00      1.265000E-03     0       +1.00      6.121810E-06    0.000000E+00    4.810336E-03    3.543000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  +8.351607E+00      1.670000E-03     0       +1.00      1.904116E-05    0.000000E+00    4.810336E-03    3.543000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  +9.409429E+00      1.882000E-03     0       +1.00      4.833113E-05    1.000000E-06    4.810336E-03    3.543000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.182747E+01      2.365000E-03     0       +1.00      9.750467E-04    1.800000E-05    4.810336E-03    3.543000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.268424E+01      2.537000E-03     0       +1.00      2.224982E-03    4.100000E-05    4.810336E-03    3.543000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.316836E+01      2.634000E-03     0       +1.00      3.221193E-04    6.000000E-06    4.810336E-03    3.543000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.423075E+01      2.846000E-03     0       +1.00      3.546541E-05    1.000000E-06    4.810336E-03    3.543000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.587077E+01      3.174000E-03     0       +1.00      1.255152E-05    0.000000E+00    4.810336E-03    3.543000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.591104E+01      3.182000E-03     0       +1.00      3.630611E-04    7.000000E-06    4.810336E-03    3.543000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.626064E+01      3.252000E-03     0       +1.00      3.040393E-04    6.000000E-06    4.810336E-03    3.543000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.735892E+01      3.472000E-03     0       +1.00      8.850491E-05    2.000000E-06    4.810336E-03    3.543000E-03    +1.398544E-04   1.030000E-04    +0.000000E+00   0.000000E+00      hfr  
