# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:00:01 2025
#                        
# Element                            : Ag
# Z                                  : 47
# A                                  : 101
# I                                  : 0
# Half-life                   [min. ]: 11.1 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.723761E+01 
# Emax2 (background)             [eV]: 2.067000E+02 
# Number of resonances (<Emax)       : 27
# Number of resonances (<Emax2)      : 50
# Thermal (n,g) xs (systematics) [b.]: 1.774090E+01 
# Ress Int. (n,g) (systematics)  [b.]: 2.612280E+01 
# MACS 30 keV (calculated)       [b.]: 4.942000E-01
# Westcott factor (calculated)       : 1.005300E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 9.384550E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.906450E+01 
#
# Scattering radius              [fm]: 6.19 +/- 6.19 
#
# Average Gtotal   l=0           [eV]: 3.014660E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.934020E-01 
# Average Gg       l=0           [eV]: 3.014250E-01 
# Average level spacing D0 (l=0) [eV]: 1.180940E+01 
# Neutron strength function S0 (l=0) : 6.246120E-03 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.471145E+02      2.942300E-02     0       +4.00      1.012305E-03    1.000000E-05    2.901984E-01    1.176270E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.414980E+02      2.830000E-02     0       +4.00      3.152745E-01    3.195000E-03    2.901984E-01    1.176270E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.341723E+02      2.683400E-02     0       +4.00      3.353318E-03    3.400000E-05    2.901984E-01    1.176270E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.297794E+02      2.595600E-02     0       +4.00      2.046947E-03    2.100000E-05    2.901984E-01    1.176270E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.214354E+02      2.428700E-02     0       +4.00      6.871213E-04    7.000000E-06    2.901984E-01    1.176270E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.051909E+02      2.103800E-02     0       +4.00      5.256083E-01    5.326000E-03    2.901984E-01    1.176270E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.389149E+01      1.877800E-02     0       +4.00      3.740583E-02    3.790000E-04    2.901984E-01    1.176270E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.968900E+01      1.793800E-02     0       +5.00      2.822950E-02    2.860000E-04    2.583528E-01    1.047190E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.778135E+01      1.555600E-02     0       +5.00      1.686511E-01    1.709000E-03    2.583528E-01    1.047190E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.646610E+01      1.329300E-02     0       +5.00      8.323349E-05    1.000000E-06    2.583528E-01    1.047190E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.468895E+01      1.093800E-02     0       +5.00      9.012337E-03    9.100000E-05    2.583528E-01    1.047190E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.453924E+01      1.090800E-02     0       +5.00      3.094153E-02    3.140000E-04    2.583528E-01    1.047190E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.182202E+01      1.036400E-02     0       +5.00      3.538496E-01    3.586000E-03    2.583528E-01    1.047190E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.723761E+01      9.448000E-03     0       +5.00      2.924381E-04    3.000000E-06    2.583528E-01    1.047190E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
