# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 17:54:13 2025
#                        
# Element                            : Ag
# Z                                  : 47
# A                                  : 111
# I                                  : 0
# Half-life                   [days ]: 7.43287 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.209810E+02 
# Emax2 (background)             [eV]: 7.000000E+02 
# Number of resonances (<Emax)       : 35
# Number of resonances (<Emax2)      : 100
# Thermal  (n,g) xs (calculated) [b.]: 2.997970E+00 
# Thermal  (n,g) xs (experiment) [b.]: 3 +/- 2 
# Res. Int (n,g) (calculated)    [b.]: 9.422820E+01  
# Res. Int (n,g) (experiment)    [b.]: 105 +/- 20 
# MACS 30 keV (calculated)       [b.]: 5.355400E-01
# Westcott factor (calculated)       : 1.006660E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.030740E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.772960E+01 
#
# Scattering radius              [fm]: 6.39 +/- 6.39 
#
# Average Gtotal   l=0           [eV]: 6.271000E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.087370E-05 
# Average Gg       l=0           [eV]: 6.259270E-02 
# Average level spacing D0 (l=0) [eV]: 6.049050E+00 
# Neutron strength function S0 (l=0) : 2.717460E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.844426E+02      3.688900E-02     0       +0.00      2.617935E-06    0.000000E+00    6.443463E-02    2.985600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.453132E+02      2.906300E-02     0       +0.00      2.102270E-04    2.000000E-06    6.443463E-02    2.985600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.013023E+02      2.026000E-02     0       +0.00      1.053762E-04    1.000000E-06    6.443463E-02    2.985600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.668238E+01      1.733600E-02     0       +0.00      5.318197E-05    1.000000E-06    6.443463E-02    2.985600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.653858E+01      1.530800E-02     0       +0.00      2.527676E-05    0.000000E+00    6.443463E-02    2.985600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.909406E+01      1.381900E-02     0       +0.00      9.609023E-04    1.100000E-05    6.443463E-02    2.985600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.336421E+01      1.067300E-02     0       +0.00      7.297156E-04    8.000000E-06    6.443463E-02    2.985600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.307277E+01      6.615000E-03     0       +0.00      3.877321E-06    0.000000E+00    6.443463E-02    2.985600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.430561E+01      4.861000E-03     0       +0.00      5.110686E-04    6.000000E-06    6.443463E-02    2.985600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.207246E+01      2.414000E-03     0       +0.00      3.184205E-04    4.000000E-06    6.443463E-02    2.985600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.142260E+01      2.285000E-03     0       +1.00      1.172979E-04    1.000000E-06    6.259269E-02    2.900300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.498606E+00      7.000000E-04     0       +1.00      4.156543E-06    0.000000E+00    6.259269E-02    2.900300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.458140E+00      6.920000E-04     0       +1.00      3.004412E-05    0.000000E+00    6.259269E-02    2.900300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.853613E-01      9.700000E-05     0       +1.00      1.946228E-08    0.000000E+00    6.259269E-02    2.900300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.121796E+00      6.240000E-04     0       +1.00      2.160628E-04    3.000000E-06    6.259269E-02    2.900300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.142260E+01      2.285000E-03     0       +1.00      3.397732E-05    0.000000E+00    6.259269E-02    2.900300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.362987E+01      2.726000E-03     0       +1.00      5.304314E-05    1.000000E-06    6.259269E-02    2.900300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.405716E+01      2.811000E-03     0       +1.00      5.212921E-05    1.000000E-06    6.259269E-02    2.900300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.536871E+01      3.074000E-03     0       +1.00      4.866376E-06    0.000000E+00    6.259269E-02    2.900300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.515384E+01      5.031000E-03     0       +1.00      3.112991E-04    4.000000E-06    6.259269E-02    2.900300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.567903E+01      5.136000E-03     0       +1.00      1.375736E-06    0.000000E+00    6.259269E-02    2.900300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.362475E+01      6.725000E-03     0       +1.00      1.553071E-04    2.000000E-06    6.259269E-02    2.900300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.943171E+01      7.886000E-03     0       +1.00      2.526329E-05    0.000000E+00    6.259269E-02    2.900300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.031644E+01      1.006300E-02     0       +1.00      2.552767E-04    3.000000E-06    6.259269E-02    2.900300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.110985E+01      1.022200E-02     0       +1.00      2.088665E-05    0.000000E+00    6.259269E-02    2.900300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.402844E+01      1.080600E-02     0       +1.00      6.547753E-05    1.000000E-06    6.259269E-02    2.900300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
