# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Mon Sep 15 23:00:24 2025
#                        
# Element                            : Ag
# Z                                  : 47
# A                                  : 116
# I                                  : 1
# Half-life                   [sec. ]: 20 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.402798E+02 
# Emax2 (background)             [eV]: 1.682000E+03 
# Number of resonances (<Emax)       : 89
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 3.062500E+01 
# Ress Int. (n,g) (systematics)  [b.]: 3.116460E+02 
# MACS 30 keV (calculated)       [b.]: 9.409200E-01
# Westcott factor (calculated)       : 9.983400E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 5.809230E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.526470E+01 
#
# Scattering radius              [fm]: 6.48 +/- 6.48 
#
# Average Gtotal   l=0           [eV]: 6.936860E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 9.942250E-05 
# Average Gg       l=0           [eV]: 6.871090E-02 
# Average level spacing D0 (l=0) [eV]: 1.948330E+00 
# Neutron strength function S0 (l=0) : 2.509860E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.720808E+01      7.442000E-03     0       +2.50      2.979352E-03    4.200000E-05    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.471241E+01      6.942000E-03     0       +2.50      8.175814E-05    1.000000E-06    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.266078E+01      6.532000E-03     0       +2.50      6.046802E-04    8.000000E-06    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.839070E+01      5.678000E-03     0       +2.50      1.091753E-04    2.000000E-06    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.681507E+01      5.363000E-03     0       +2.50      1.203986E-06    0.000000E+00    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.158082E+01      4.316000E-03     0       +2.50      1.121675E-03    1.600000E-05    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.986628E+01      3.973000E-03     0       +2.50      4.752206E-05    1.000000E-06    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.921980E+01      3.844000E-03     0       +2.50      3.666283E-04    5.000000E-06    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.120289E+01      2.241000E-03     0       +2.50      7.985631E-04    1.100000E-05    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.381723E+00      1.876000E-03     0       +2.50      4.590290E-04    6.000000E-06    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.935434E+00      1.187000E-03     0       +2.50      1.399632E-03    2.000000E-05    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.171885E+00      1.034000E-03     0       +2.50      6.670063E-04    9.000000E-06    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.575266E+00      9.150000E-04     0       +2.50      1.036786E-03    1.500000E-05    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.534922E+00      7.070000E-04     0       +2.50      2.193735E-03    3.100000E-05    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.512339E+00      7.020000E-04     0       +2.50      4.980679E-04    7.000000E-06    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.095524E+00      6.190000E-04     0       +2.50      3.141608E-05    0.000000E+00    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.084623E+00      2.170000E-04     0       +2.50      4.358186E-07    0.000000E+00    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.661327E+00      5.320000E-04     0       +2.50      1.649399E-05    0.000000E+00    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.095524E+00      6.190000E-04     0       +2.50      2.496063E-05    0.000000E+00    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +3.299109E+00      6.600000E-04     0       +2.50      1.028017E-03    1.400000E-05    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.588887E+00      1.718000E-03     0       +2.50      2.392283E-03    3.400000E-05    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.654655E+00      1.931000E-03     0       +2.50      6.183771E-05    1.000000E-06    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.409827E+01      2.820000E-03     0       +2.50      5.872696E-04    8.000000E-06    7.082387E-02    3.976500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
