# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 21:03:09 2025
#                        
# Element                            : Al
# Z                                  : 13
# A                                  : 27
# I                                  : 0
# Abundancy                       [%]: 100
# Data origin                        : endfb8.1
# Formalism                          : Reich-Moore
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 8.450000E+05 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 68
# Number of resonances (<Emax2)      : 79
# Thermal  (n,g) xs (calculated) [b.]: 2.334460E-01 
# Res. Int (n,g) (calculated)    [b.]: 1.247710E-01  
# MACS 30 keV (calculated)       [b.]: 3.367300E-03
# Westcott factor (calculated)       : 1.000550E+00
#
# Thermal (n,el) xs (calculated) [b.]: 1.425410E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.302950E+01 
#
# Scattering radius              [fm]: 4.32 
# Scattering radius L= 0         [fm]: 4.32 +/- 5.00 %
# Scattering radius L= 1         [fm]: 4.32 +/- 5.00 %
# Scattering radius L= 2         [fm]: 4.32 +/- 5.00 %
#
# Average reduced (Gn^0) Gn l=0  [eV]: 2.265670E+01 
# Average Gg       l=0           [eV]: 1.791270E+00 
# Average level spacing D0 (l=0) [eV]: 6.500000E+04 
# Neutron strength function S0 (l=0) : 7.873560E-05 
#
# Average reduced (Gn^1) Gn l=1  [eV]: 3.248660E+01 
# Average Gg       l=1           [eV]: 1.121560E+00 
# Average level spacing D1 (l=1) [eV]: 3.017860E+04 
# Neutron strength function S1 (l=1) : 6.827780E-05 
#
# Average reduced (Gn^2) Gn l=2  [eV]: 2.833800E+02 
# Average Gg       l=2           [eV]: 1.557470E+00 
# Average level spacing D2 (l=2) [eV]: 4.447370E+04 
# Neutron strength function S2 (l=2) : 1.183580E-04 
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.585600E+06      9.228062E+02     0       -2.00      3.291200E+06    1.655803E+04    9.967500E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.129100E+05      6.297001E+01     0       +3.00      1.470500E+04    7.398086E+01    9.959500E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.850700E+05      3.724349E+01     0       +3.00      5.608500E+04    2.821636E+02    9.473800E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.662800E+04      3.346219E+00     0       -2.00      2.391700E+01    1.203260E-01    1.596400E+00    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.143000E+03      6.324970E-01     0       +3.00      1.801000E+01    9.060800E-02    1.111100E+00    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.904677E+03      1.188257E+00     1       -1.00      1.669500E+01    8.399300E-02    6.087600E-01    3.043800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.430606E+04      4.891352E+00     1       -1.00      1.539000E+00    7.743000E-03    1.160000E-02    5.800000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.482751E+04      7.008688E+00     0       -2.00      3.347600E+03    1.684178E+01    2.679000E+00    1.339500E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.626772E+04      1.736052E+01     0       +3.00      1.093800E+04    5.502908E+01    2.061700E+00    1.030850E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.124852E+04      1.836285E+01     1       -2.00      2.018000E+02    1.015256E+00    3.670000E-01    1.835000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.973168E+04      2.007000E+01     1       -1.00      4.390000E+00    2.208600E-02    1.793000E+00    8.965000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.038376E+05      2.089628E+01     1       -1.00      3.756000E+00    1.889600E-02    6.174000E-01    3.087000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.200072E+05      2.415025E+01     1       -3.00      2.815200E+03    1.416327E+01    2.160500E+00    1.080250E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.429256E+05      2.876235E+01     0       +3.00      1.869500E+04    9.405454E+01    3.342600E+00    1.671300E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.462053E+05      2.942235E+01     1       -2.00      1.146000E+02    5.765530E-01    1.986000E-01    9.930000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.587326E+05      3.194335E+01     1       -3.00      3.427700E+03    1.724476E+01    8.442000E-01    4.221000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.035560E+05      4.096361E+01     0       -2.00      1.340600E+04    6.744559E+01    3.416400E+00    1.708200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.037585E+05      4.100436E+01     1       -3.00      4.522000E+00    2.275000E-02    9.469000E-01    4.734500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.202944E+05      4.433205E+01     1       -1.00      1.000000E+01    5.031000E-02    5.760000E-01    2.880000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.240550E+05      4.508883E+01     1       -2.00      4.712600E+02    2.370909E+00    1.170000E+00    5.850000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.573558E+05      5.179028E+01     1       -3.00      7.996400E+02    4.022989E+00    5.869000E-01    2.934500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.607819E+05      5.247975E+01     2       -2.00      9.926000E+01    4.993770E-01    2.748000E+00    1.374000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.685352E+05      5.404002E+01     2       +2.00      1.589000E+02    7.994260E-01    8.735000E-01    4.367500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.802888E+05      5.640532E+01     0       +3.00      1.417400E+04    7.130939E+01    2.274500E+00    1.137250E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.150492E+05      6.340050E+01     2       -1.00      8.154200E+03    4.102378E+01    2.435400E+00    1.217700E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.451119E+05      6.945032E+01     2       +1.00      1.155000E+02    5.810800E-01    2.389000E+00    1.194500E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.603444E+05      7.251571E+01     2       +0.00      2.668000E+02    1.342271E+00    8.371000E+00    4.185500E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.668482E+05      7.382453E+01     1       +4.00      4.619000E+03    2.323819E+01    1.518000E+00    7.590000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.679493E+05      7.404612E+01     1       +2.00      4.398300E+03    2.212785E+01    1.539000E+00    7.695000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.760719E+05      7.568071E+01     1       -2.00      2.909200E+03    1.463618E+01    6.540000E-01    3.270000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
