# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 21:23:10 2025
#                        
# Element                            : Am
# Z                                  : 95
# A                                  : 246
# I                                  : 0
# Half-life                   [min. ]: 39 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.265904E+00 
# Emax2 (background)             [eV]: 1.000000E+01 
# Number of resonances (<Emax)       : 68
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 9.488630E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.401820E+02 
# MACS 30 keV (calculated)       [b.]: 2.124000E+00
# Westcott factor (calculated)       : 2.917890E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 4.128150E+07 
# Res. Int (n,el) (calculated)   [b.]: 2.511390E+05 
#
# Thermal  (n,f) xs              [b.]: 4.659090E+02 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 2.827580E+01
#
# Scattering radius              [fm]: 8.31 +/- 8.31 
#
# Average Gtotal   l=0           [eV]: 1.894930E-05 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.568970E-05 
# Average Gg       l=0           [eV]: 2.742190E-07 
# Average level spacing D0 (l=0) [eV]: 6.880470E-02 
# Neutron strength function S0 (l=0) : 1.133450E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -6.825449E-01      1.370000E-04     0       +6.50      5.987976E-06    0.000000E+00    2.795272E-07    0.000000E+00    +6.190476E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.782040E-01      9.600000E-05     0       +6.50      1.893110E-05    0.000000E+00    2.795272E-07    0.000000E+00    +5.066447E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.439654E-01      4.900000E-05     0       +6.50      1.142474E-07    0.000000E+00    2.795272E-07    0.000000E+00    +5.136024E-06   4.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -2.384884E-01      4.800000E-05     0       +6.50      4.750336E-06    0.000000E+00    2.795272E-07    0.000000E+00    +1.049380E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -3.117966E-02      6.000000E-06     0       +6.50      2.972660E-08    0.000000E+00    2.795272E-07    0.000000E+00    +1.958075E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -5.759860E-10      0.000000E+00     0       +6.50      1.835465E-05    0.000000E+00    2.795272E-07    0.000000E+00    +1.372700E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +7.991245E-02      1.600000E-05     0       +6.50      3.108913E-05    1.000000E-06    2.795272E-07    0.000000E+00    +7.533107E-07   1.000000E-06    +0.000000E+00   0.000000E+00     radiator 
  +8.024008E-02      1.600000E-05     0       +6.50      1.162049E-05    0.000000E+00    2.795272E-07    0.000000E+00    +1.002450E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +3.514448E-01      7.000000E-05     0       +6.50      6.893108E-05    1.000000E-06    2.795272E-07    0.000000E+00    +2.215966E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.853140E-01      7.700000E-05     0       +6.50      1.537249E-05    0.000000E+00    2.795272E-07    0.000000E+00    +5.568065E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.233929E-01      8.500000E-05     0       +6.50      3.230806E-06    0.000000E+00    2.795272E-07    0.000000E+00    +4.415691E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.761354E-01      1.150000E-04     0       +6.50      8.701143E-07    0.000000E+00    2.795272E-07    0.000000E+00    +1.563384E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +5.847709E-01      1.170000E-04     0       +6.50      3.226990E-05    1.000000E-06    2.795272E-07    0.000000E+00    +1.182469E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +6.029028E-01      1.210000E-04     0       +6.50      2.792811E-05    0.000000E+00    2.795272E-07    0.000000E+00    +1.538005E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.042389E-01      1.210000E-04     0       +6.50      9.227965E-06    0.000000E+00    2.795272E-07    0.000000E+00    +6.775484E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.740792E-01      1.350000E-04     0       +6.50      6.094462E-09    0.000000E+00    2.795272E-07    0.000000E+00    +2.535953E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +6.774141E-01      1.350000E-04     0       +6.50      1.632115E-07    0.000000E+00    2.795272E-07    0.000000E+00    +2.364592E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +9.509341E-01      1.900000E-04     0       +6.50      4.484908E-06    0.000000E+00    2.795272E-07    0.000000E+00    +1.618037E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.023238E+00      2.050000E-04     0       +6.50      1.341665E-06    0.000000E+00    2.795272E-07    0.000000E+00    +3.675447E-06   3.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.078346E+00      2.160000E-04     0       +6.50      1.478071E-05    0.000000E+00    2.795272E-07    0.000000E+00    +3.062850E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.163147E+00      2.330000E-04     0       +6.50      6.659530E-06    0.000000E+00    2.795272E-07    0.000000E+00    +3.430549E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.233309E+00      2.470000E-04     0       +6.50      9.667256E-05    2.000000E-06    2.795272E-07    0.000000E+00    +2.476781E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.341274E+00      2.680000E-04     0       +6.50      8.390773E-06    0.000000E+00    2.795272E-07    0.000000E+00    +2.079936E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.355261E+00      2.710000E-04     0       +6.50      3.250209E-05    1.000000E-06    2.795272E-07    0.000000E+00    +2.276262E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.611252E+00      3.220000E-04     0       +6.50      1.102123E-05    0.000000E+00    2.795272E-07    0.000000E+00    +1.119383E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.687608E+00      3.380000E-04     0       +6.50      2.875963E-06    0.000000E+00    2.795272E-07    0.000000E+00    +9.033546E-07   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.696576E+00      3.390000E-04     0       +6.50      4.727395E-06    0.000000E+00    2.795272E-07    0.000000E+00    +1.264473E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.760827E+00      3.520000E-04     0       +6.50      3.684667E-05    1.000000E-06    2.795272E-07    0.000000E+00    +4.887663E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
