# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:20:04 2025
#                        
# Element                            : Am
# Z                                  : 95
# A                                  : 248
# I                                  : 0
# Half-life                   [min. ]: 3 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 7.059727E+00 
# Emax2 (background)             [eV]: 2.000000E+01 
# Number of resonances (<Emax)       : 74
# Number of resonances (<Emax2)      : 193
# Thermal (n,g) xs (systematics) [b.]: 8.265450E+01 
# Ress Int. (n,g) (systematics)  [b.]: 9.629990E+01 
# MACS 30 keV (calculated)       [b.]: 7.522900E-01
# Westcott factor (calculated)       : 6.105280E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.348480E+06 
# Res. Int (n,el) (calculated)   [b.]: 3.625380E+03 
#
# Thermal  (n,f) xs              [b.]: 3.843700E+02 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 6.044960E+01
#
# Scattering radius              [fm]: 8.33 +/- 8.33 
#
# Average Gtotal   l=0           [eV]: 5.393620E-05 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.117420E-05 
# Average Gg       l=0           [eV]: 5.314420E-07 
# Average level spacing D0 (l=0) [eV]: 1.157330E-01 
# Neutron strength function S0 (l=0) : 1.333400E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.786276E+00      3.570000E-04     0       +3.50      6.196299E-05    1.000000E-06    5.388822E-07    0.000000E+00    +2.977357E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -1.716591E+00      3.430000E-04     0       +3.50      4.165156E-06    0.000000E+00    5.388822E-07    0.000000E+00    +9.076874E-07   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -1.503918E+00      3.010000E-04     0       +3.50      6.511837E-07    0.000000E+00    5.388822E-07    0.000000E+00    +2.410476E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.265288E+00      2.530000E-04     0       +3.50      5.041071E-06    0.000000E+00    5.388822E-07    0.000000E+00    +4.078768E-06   3.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -1.257801E+00      2.520000E-04     0       +3.50      7.359621E-05    1.000000E-06    5.388822E-07    0.000000E+00    +5.433092E-06   4.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -1.057011E+00      2.110000E-04     0       +3.50      1.037160E-05    0.000000E+00    5.388822E-07    0.000000E+00    +2.969511E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -9.743922E-01      1.950000E-04     0       +3.50      1.199400E-05    0.000000E+00    5.388822E-07    0.000000E+00    +6.699163E-06   5.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -6.782248E-01      1.360000E-04     0       +3.50      3.332998E-06    0.000000E+00    5.388822E-07    0.000000E+00    +1.664870E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -4.955847E-01      9.900000E-05     0       +3.50      4.489136E-05    1.000000E-06    5.388822E-07    0.000000E+00    +4.793244E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.553904E-01      5.100000E-05     0       +3.50      3.071974E-07    0.000000E+00    5.388822E-07    0.000000E+00    +6.827591E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
