# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 21:29:24 2025
#                        
# Element                            : As
# Z                                  : 33
# A                                  : 79
# I                                  : 0
# Half-life                   [min. ]: 9.01 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.619744E+02 
# Emax2 (background)             [eV]: 4.522810E+03 
# Number of resonances (<Emax)       : 40
# Number of resonances (<Emax2)      : 93
# Thermal (n,g) xs (systematics) [b.]: 6.656960E+00 
# Ress Int. (n,g) (systematics)  [b.]: 2.244310E+02 
# MACS 30 keV (calculated)       [b.]: 8.418000E-02
# Westcott factor (calculated)       : 1.001590E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 4.625950E+01 
# Res. Int (n,el) (calculated)   [b.]: 4.242350E+02 
#
# Scattering radius              [fm]: 5.71 +/- 5.71 
#
# Average Gtotal   l=0           [eV]: 1.654070E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.098990E+01 
# Average Gg       l=0           [eV]: 1.010090E-01 
# Average level spacing D0 (l=0) [eV]: 3.742490E+01 
# Neutron strength function S0 (l=0) : 1.182940E-01 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.079573E+03      6.159150E-01     0       +1.00      1.089939E+01    1.326760E-01    1.074626E-01    5.232500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.025190E+03      4.050380E-01     0       +1.00      1.190745E+00    1.449500E-02    1.074626E-01    5.232500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.976412E+03      3.952820E-01     0       +1.00      1.322360E-02    1.610000E-04    1.074626E-01    5.232500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.515904E+03      3.031810E-01     0       +1.00      1.386864E+00    1.688200E-02    1.074626E-01    5.232500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.300998E+03      2.602000E-01     0       +1.00      1.859244E+00    2.263200E-02    1.074626E-01    5.232500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.254827E+03      2.509650E-01     0       +1.00      4.176120E+00    5.083500E-02    1.074626E-01    5.232500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.222565E+03      2.445130E-01     0       +1.00      4.221191E-01    5.138000E-03    1.074626E-01    5.232500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.001802E+03      2.003600E-01     0       +1.00      1.535060E+01    1.868600E-01    1.074626E-01    5.232500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.000997E+03      2.001990E-01     0       +1.00      1.956389E+00    2.381500E-02    1.074626E-01    5.232500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.888687E+02      1.977740E-01     0       +1.00      8.358447E-02    1.017000E-03    1.074626E-01    5.232500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.144187E+02      1.828840E-01     0       +2.00      5.932635E-02    7.220000E-04    9.909607E-02    4.825100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.962451E+02      1.592490E-01     0       +2.00      9.741317E-04    1.200000E-05    9.909607E-02    4.825100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
