# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:04:23 2025
#                        
# Element                            : At
# Z                                  : 85
# A                                  : 208
# I                                  : 0
# Half-life                   [hours]: 1.63 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 6.877187E+01 
# Emax2 (background)             [eV]: 2.384060E+02 
# Number of resonances (<Emax)       : 86
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 4.281870E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.501940E+02 
# MACS 30 keV (calculated)       [b.]: 1.182900E+00
# Westcott factor (calculated)       : 9.721400E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 7.721780E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.728400E+01 
#
# Scattering radius              [fm]: 7.86 +/- 0.55 
#
# Average Gtotal   l=0           [eV]: 1.468610E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.467040E-05 
# Average Gg       l=0           [eV]: 1.467900E-01 
# Average level spacing D0 (l=0) [eV]: 9.824550E-01 
# Neutron strength function S0 (l=0) : 7.372490E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.396757E+01      2.794000E-03     0       +5.50      2.133971E-05    0.000000E+00    1.530014E-01    8.229300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.181066E+01      2.362000E-03     0       +5.50      1.324649E-05    0.000000E+00    1.530014E-01    8.229300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.172552E+01      2.345000E-03     0       +5.50      2.036951E-05    0.000000E+00    1.530014E-01    8.229300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.145494E+01      2.291000E-03     0       +5.50      1.341886E-06    0.000000E+00    1.530014E-01    8.229300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.105143E+01      2.210000E-03     0       +5.50      5.105502E-06    0.000000E+00    1.530014E-01    8.229300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.713877E+00      1.743000E-03     0       +5.50      2.220675E-05    0.000000E+00    1.530014E-01    8.229300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.336634E+00      1.467000E-03     0       +5.50      1.930890E-05    0.000000E+00    1.530014E-01    8.229300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.247370E+00      1.449000E-03     0       +5.50      4.683384E-07    0.000000E+00    1.530014E-01    8.229300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.052286E+00      1.410000E-03     0       +5.50      1.345988E-05    0.000000E+00    1.530014E-01    8.229300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.778467E+00      1.156000E-03     0       +5.50      1.966989E-06    0.000000E+00    1.530014E-01    8.229300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
