# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Mon Sep 15 23:45:02 2025
#                        
# Element                            : At
# Z                                  : 85
# A                                  : 221
# I                                  : 0
# Half-life                   [min. ]: 2.3 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.203501E+02 
# Emax2 (background)             [eV]: 5.000000E+02 
# Number of resonances (<Emax)       : 99
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 3.091900E+01 
# Ress Int. (n,g) (systematics)  [b.]: 2.081690E+03 
# MACS 30 keV (calculated)       [b.]: 2.805500E-01
# Westcott factor (calculated)       : 9.721600E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 4.068190E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.715680E+04 
#
# Thermal  (n,f) xs              [b.]: 3.715830E-04 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 2.485670E-02
#
# Scattering radius              [fm]: 8.02 +/- 8.02 
#
# Average Gtotal   l=0           [eV]: 6.413580E-03 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.072260E-03 
# Average Gg       l=0           [eV]: 5.025290E-04 
# Average level spacing D0 (l=0) [eV]: 1.467680E+00 
# Neutron strength function S0 (l=0) : 3.452730E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.103828E+01      6.208000E-03     0       +4.00      4.294225E-03    7.600000E-05    5.153350E-04    3.640000E-04    +6.193255E-09   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.642072E+01      5.284000E-03     0       +4.00      5.178201E-03    9.100000E-05    5.153350E-04    3.640000E-04    +6.193255E-09   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.003587E+01      4.007000E-03     0       +4.00      1.770179E-04    3.000000E-06    5.153350E-04    3.640000E-04    +6.193255E-09   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.940232E+01      3.880000E-03     0       +4.00      4.552417E-06    0.000000E+00    5.153350E-04    3.640000E-04    +6.193255E-09   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.759458E+01      3.519000E-03     0       +4.00      1.447593E-04    3.000000E-06    5.153350E-04    3.640000E-04    +6.193255E-09   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.508787E+01      3.018000E-03     0       +4.00      9.012528E-04    1.600000E-05    5.153350E-04    3.640000E-04    +6.193255E-09   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.277378E+01      2.555000E-03     0       +4.00      1.157116E-03    2.000000E-05    5.153350E-04    3.640000E-04    +6.193255E-09   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.150089E+01      2.300000E-03     0       +4.00      1.668334E-04    3.000000E-06    5.153350E-04    3.640000E-04    +6.193255E-09   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.146479E+01      2.293000E-03     0       +4.00      3.662547E-04    6.000000E-06    5.153350E-04    3.640000E-04    +6.193255E-09   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.013972E+01      2.028000E-03     0       +4.00      1.334999E-03    2.400000E-05    5.153350E-04    3.640000E-04    +6.193255E-09   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
