# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 00:38:12 2025
#                        
# Element                            : Au
# Z                                  : 79
# A                                  : 176
# I                                  : 1
# Half-life                   [sec. ]: 1.36 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.793943E-01 
# Emax2 (background)             [eV]: 5.000000E+00 
# Number of resonances (<Emax)       : 98
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 7.244110E+02 
# Ress Int. (n,g) (systematics)  [b.]: 1.219360E+03 
# MACS 30 keV (calculated)       [b.]: 0.000000E+00
# Westcott factor (calculated)       : 1.012590E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 6.801720E+00 
# Res. Int (n,el) (calculated)   [b.]: 0.000000E+00 
#
# Scattering radius              [fm]: 7.44 +/- 7.44 
#
# Average Gtotal   l=0           [eV]: 2.531920E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.312690E-07 
# Average Gg       l=0           [eV]: 2.531920E-01 
# Average level spacing D0 (l=0) [eV]: 2.850860E-03 
# Neutron strength function S0 (l=0) : 5.738150E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  +1.120777E-02      2.000000E-06     0       +8.50      5.125239E-09    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.488565E-02      3.000000E-06     0       +8.50      2.858915E-08    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.805117E-02      4.000000E-06     0       +8.50      1.574343E-07    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.117613E-02      4.000000E-06     0       +8.50      4.248319E-07    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.183063E-02      4.000000E-06     0       +8.50      4.468357E-08    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.324260E-02      5.000000E-06     0       +8.50      3.762344E-07    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.448856E-02      5.000000E-06     0       +8.50      1.243286E-08    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.602177E-02      5.000000E-06     0       +8.50      9.581103E-09    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.129547E-02      6.000000E-06     0       +8.50      6.600361E-09    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.198569E-02      6.000000E-06     0       +8.50      2.657985E-07    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.529332E-02      7.000000E-06     0       +8.50      3.312674E-08    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.772406E-02      8.000000E-06     0       +8.50      5.592000E-08    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.779217E-02      8.000000E-06     0       +8.50      4.607630E-10    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.941365E-02      8.000000E-06     0       +8.50      7.682060E-11    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.085099E-02      8.000000E-06     0       +8.50      2.090209E-07    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.543768E-02      9.000000E-06     0       +8.50      1.840937E-07    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.736603E-02      9.000000E-06     0       +8.50      3.661082E-08    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.191427E-02      1.000000E-05     0       +8.50      1.694571E-09    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.645990E-02      1.100000E-05     0       +8.50      5.994710E-08    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.720115E-02      1.100000E-05     0       +8.50      6.114397E-07    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.868447E-02      1.200000E-05     0       +8.50      4.483072E-09    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.166034E-02      1.200000E-05     0       +8.50      6.578173E-08    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.442191E-02      1.300000E-05     0       +8.50      1.046616E-07    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.619056E-02      1.300000E-05     0       +8.50      8.761214E-08    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.037421E-02      1.400000E-05     0       +8.50      1.811263E-08    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.575440E-02      1.500000E-05     0       +8.50      2.580792E-08    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.643056E-02      1.500000E-05     0       +8.50      1.145736E-07    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.196961E-02      1.600000E-05     0       +8.50      2.604558E-07    0.000000E+00    2.561933E-01    1.061130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
