# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:58:21 2025
#                        
# Element                            : Au
# Z                                  : 79
# A                                  : 193
# I                                  : 1
# Half-life                   [sec. ]: 3.9 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.066371E+01 
# Emax2 (background)             [eV]: 2.113590E+03 
# Number of resonances (<Emax)       : 20
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 1.131530E+02 
# Ress Int. (n,g) (systematics)  [b.]: 7.331120E+02 
# MACS 30 keV (calculated)       [b.]: 2.209800E+00
# Westcott factor (calculated)       : 1.010400E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 7.200280E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.846160E+01 
#
# Scattering radius              [fm]: 7.67 +/- 7.67 
#
# Average Gtotal   l=0           [eV]: 1.141560E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.900040E-05 
# Average Gg       l=0           [eV]: 1.141280E-01 
# Average level spacing D0 (l=0) [eV]: 1.291480E+00 
# Neutron strength function S0 (l=0) : 7.399410E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.578829E+00      9.160000E-04     0       +5.00      1.433218E-05    0.000000E+00    1.163412E-01    6.207100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.544504E+00      5.090000E-04     0       +5.00      1.045291E-05    0.000000E+00    1.163412E-01    6.207100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.285902E+00      2.570000E-04     0       +5.00      7.573011E-05    1.000000E-06    1.163412E-01    6.207100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.265746E-01      1.650000E-04     0       +5.00      1.088519E-04    1.000000E-06    1.163412E-01    6.207100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.367130E-01      1.870000E-04     0       +5.00      2.487607E-04    3.000000E-06    1.163412E-01    6.207100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.866281E+00      5.730000E-04     0       +5.00      1.633202E-07    0.000000E+00    1.163412E-01    6.207100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.944630E+00      7.890000E-04     0       +5.00      2.425089E-06    0.000000E+00    1.163412E-01    6.207100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.731538E+00      1.146000E-03     0       +5.00      1.405121E-05    0.000000E+00    1.163412E-01    6.207100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.741799E+00      1.348000E-03     0       +5.00      1.159308E-06    0.000000E+00    1.163412E-01    6.207100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.490753E+00      1.498000E-03     0       +5.00      2.558285E-07    0.000000E+00    1.163412E-01    6.207100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.169478E+00      1.834000E-03     0       +6.00      1.023147E-05    0.000000E+00    1.129202E-01    6.024600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.871845E+00      1.974000E-03     0       +6.00      3.726073E-06    0.000000E+00    1.129202E-01    6.024600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.028536E+01      2.057000E-03     0       +6.00      1.767395E-07    0.000000E+00    1.129202E-01    6.024600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.167345E+01      2.335000E-03     0       +6.00      6.601114E-05    1.000000E-06    1.129202E-01    6.024600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.351835E+01      2.704000E-03     0       +6.00      1.164640E-05    0.000000E+00    1.129202E-01    6.024600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.474677E+01      2.949000E-03     0       +6.00      3.999610E-08    0.000000E+00    1.129202E-01    6.024600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.586587E+01      3.173000E-03     0       +6.00      9.040436E-05    1.000000E-06    1.129202E-01    6.024600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.700775E+01      3.402000E-03     0       +6.00      1.732497E-05    0.000000E+00    1.129202E-01    6.024600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.799393E+01      3.599000E-03     0       +6.00      8.249799E-06    0.000000E+00    1.129202E-01    6.024600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.902234E+01      3.804000E-03     0       +6.00      3.612647E-08    0.000000E+00    1.129202E-01    6.024600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.066371E+01      4.133000E-03     0       +6.00      1.038475E-05    0.000000E+00    1.129202E-01    6.024600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.079873E+01      4.160000E-03     1       +4.00      9.626449E-08    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.110025E+01      4.220000E-03     1       +4.00      1.448095E-07    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.118319E+01      4.237000E-03     1       +4.00      2.933423E-07    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.177827E+01      4.356000E-03     1       +4.00      5.269550E-08    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.181088E+01      4.362000E-03     1       +4.00      9.963937E-08    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.188655E+01      4.377000E-03     1       +4.00      1.261416E-07    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.236687E+01      4.473000E-03     1       +4.00      2.688174E-07    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.303388E+01      4.607000E-03     1       +4.00      4.436120E-08    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.304634E+01      4.609000E-03     1       +4.00      1.719630E-07    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.336295E+01      4.673000E-03     1       +4.00      1.884747E-07    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.337091E+01      4.674000E-03     1       +4.00      3.802247E-08    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.343709E+01      4.687000E-03     1       +4.00      9.800627E-09    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.376922E+01      4.754000E-03     1       +4.00      2.041753E-08    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.440754E+01      4.882000E-03     1       +4.00      1.739467E-08    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.461701E+01      4.923000E-03     1       +4.00      3.736577E-08    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.484704E+01      4.969000E-03     1       +4.00      9.420712E-09    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.541697E+01      5.083000E-03     1       +4.00      7.119065E-09    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.558858E+01      5.118000E-03     1       +4.00      6.730826E-07    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.581775E+01      5.164000E-03     1       +4.00      7.985291E-08    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.606099E+01      5.212000E-03     1       +4.00      5.674229E-08    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.650842E+01      5.302000E-03     1       +4.00      3.057397E-08    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.693156E+01      5.386000E-03     1       +4.00      2.305560E-07    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.696634E+01      5.393000E-03     1       +4.00      3.760066E-07    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.698311E+01      5.397000E-03     1       +4.00      3.773628E-09    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.775196E+01      5.550000E-03     1       +4.00      2.214591E-09    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.794043E+01      5.588000E-03     1       +4.00      2.168310E-08    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.845835E+01      5.692000E-03     1       +4.00      1.234890E-08    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.900277E+01      5.801000E-03     1       +4.00      7.077368E-08    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.937277E+01      5.875000E-03     1       +4.00      8.053433E-08    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.942326E+01      5.885000E-03     1       +4.00      2.741645E-08    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.944791E+01      5.890000E-03     1       +4.00      4.657607E-09    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.967546E+01      5.935000E-03     1       +4.00      1.262315E-07    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.035688E+01      6.071000E-03     1       +4.00      1.006410E-07    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.036214E+01      6.072000E-03     1       +4.00      1.513868E-07    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.066322E+01      6.133000E-03     1       +4.00      3.066616E-07    0.000000E+00    1.193412E-01    6.367200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.071884E+01      6.144000E-03     1       +5.00      2.190187E-08    0.000000E+00    1.161673E-01    6.197800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.115644E+01      6.231000E-03     1       +5.00      2.754645E-08    0.000000E+00    1.161673E-01    6.197800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.194390E+01      6.389000E-03     1       +5.00      1.196831E-08    0.000000E+00    1.161673E-01    6.197800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.253384E+01      6.507000E-03     1       +5.00      2.452196E-07    0.000000E+00    1.161673E-01    6.197800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.344194E+01      6.688000E-03     1       +5.00      2.770078E-09    0.000000E+00    1.161673E-01    6.197800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.386956E+01      6.774000E-03     1       +5.00      1.953814E-07    0.000000E+00    1.161673E-01    6.197800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
