# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:51:55 2025
#                        
# Element                            : Au
# Z                                  : 79
# A                                  : 197
# I                                  : 1
# Abundancy                       [%]: 100
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.289700E+02 
# Emax2 (background)             [eV]: 2.357890E+03 
# Number of resonances (<Emax)       : 93
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 3.991880E+02 
# Ress Int. (n,g) (systematics)  [b.]: 2.170720E+02 
# MACS 30 keV (calculated)       [b.]: 1.739600E+00
# Westcott factor (calculated)       : 1.087880E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 6.886870E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.159110E+01 
#
# Scattering radius              [fm]: 7.72 +/- 7.72 
#
# Average Gtotal   l=0           [eV]: 2.265190E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 7.990910E-06 
# Average Gg       l=0           [eV]: 2.264750E-01 
# Average level spacing D0 (l=0) [eV]: 1.742840E+00 
# Neutron strength function S0 (l=0) : 2.267570E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.771019E+01      9.542000E-03     0       +5.00      4.024507E-05    1.000000E-06    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.396461E+01      8.793000E-03     0       +5.00      1.666222E-05    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.786424E+01      7.573000E-03     0       +5.00      8.856844E-06    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.495500E+01      6.991000E-03     0       +5.00      8.655031E-05    1.000000E-06    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.090684E+01      6.181000E-03     0       +5.00      5.902632E-06    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.748152E+01      5.496000E-03     0       +5.00      4.313509E-09    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.735011E+01      5.470000E-03     0       +5.00      4.869432E-07    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.707093E+01      5.414000E-03     0       +5.00      2.854841E-05    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.549635E+01      5.099000E-03     0       +5.00      5.538940E-05    1.000000E-06    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.526606E+01      5.053000E-03     0       +5.00      1.236948E-05    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.432868E+01      4.866000E-03     0       +5.00      7.444965E-06    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.408363E+01      4.817000E-03     0       +5.00      1.427793E-04    2.000000E-06    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.031886E+01      4.064000E-03     0       +5.00      4.221614E-06    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.714985E+01      3.430000E-03     0       +5.00      1.351019E-04    2.000000E-06    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.321852E+01      2.644000E-03     0       +5.00      1.548142E-06    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.878672E+00      7.760000E-04     0       +5.00      4.613478E-05    1.000000E-06    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.703903E+00      7.410000E-04     0       +5.00      3.881504E-05    1.000000E-06    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.384959E+00      4.770000E-04     0       +5.00      6.761245E-05    1.000000E-06    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.861221E-01      7.700000E-05     0       +5.00      9.280260E-06    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.864665E-01      7.700000E-05     0       +5.00      6.679080E-05    1.000000E-06    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.037550E+00      2.080000E-04     0       +5.00      1.706125E-05    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.189570E+00      4.380000E-04     0       +5.00      2.250138E-07    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.703903E+00      7.410000E-04     0       +5.00      3.882811E-06    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.854413E+00      1.171000E-03     0       +5.00      7.735092E-05    1.000000E-06    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.542196E+00      1.308000E-03     0       +5.00      5.591142E-06    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.423138E+00      1.485000E-03     0       +5.00      1.961260E-04    3.000000E-06    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.382357E+01      2.765000E-03     0       +5.00      1.145287E-06    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.495127E+01      2.990000E-03     0       +5.00      2.665203E-05    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.663209E+01      3.326000E-03     0       +5.00      1.106639E-07    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.709119E+01      3.418000E-03     0       +5.00      1.229915E-05    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.991884E+01      3.984000E-03     0       +5.00      3.655755E-05    1.000000E-06    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.580408E+01      5.161000E-03     0       +5.00      1.535746E-05    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.012092E+01      6.024000E-03     0       +5.00      2.317294E-05    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.240442E+01      6.481000E-03     0       +5.00      2.461274E-06    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.337071E+01      6.674000E-03     0       +5.00      1.056907E-04    2.000000E-06    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.498409E+01      6.997000E-03     0       +5.00      2.845468E-06    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.624497E+01      7.249000E-03     0       +5.00      1.199411E-04    2.000000E-06    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.163046E+01      8.326000E-03     0       +5.00      9.112681E-07    0.000000E+00    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.260542E+01      8.521000E-03     0       +5.00      5.606255E-05    1.000000E-06    2.410734E-01    1.426370E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
