# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 21:03:09 2025
#                        
# Element                            : B
# Z                                  : 5
# A                                  : 11
# I                                  : 0
# Abundancy                       [%]: 80.1
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.000000E+05 
# Emax2 (background)             [eV]: 6.830101E+06 
# Number of resonances (<Emax)       : 4
# Number of resonances (<Emax2)      : 29
# Thermal  (n,g) xs (calculated) [b.]: 9.051150E-03 
# Thermal  (n,g) xs (experiment) [b.]: 0.009 +/- 0.0002 
# Res. Int (n,g) (calculated)    [b.]: 4.102080E-03  
# Res. Int (n,g) (experiment)    [b.]: 0.002 +/- 0.0001 
# MACS 30 keV (calculated)       [b.]: 6.630900E-05
# Westcott factor (calculated)       : 1.000560E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 4.065470E+00 
# Res. Int (n,el) (calculated)   [b.]: 5.224700E+01 
#
# Scattering radius              [fm]: 2.98 +/- 0.15 
#
# Average Gtotal   l=0           [eV]: 5.400030E+04 
# Average reduced (Gn^0) Gn l=0  [eV]: 6.154690E+02 
# Average Gg       l=0           [eV]: 3.000000E-01 
# Neutron strength function S0 (l=0) : 3.846680E+02 
#
# Average Gtotal   l=1           [eV]: 3.030000E+00 
# Average reduced (Gn^1) Gn l=1  [eV]: 3.361680E+03 
# Average Gg       l=1           [eV]: 3.000000E-02 
# Neutron strength function S1 (l=1) : 2.941470E+03 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.695000E+06      3.480174E+02     0       +2.00      8.501548E+05    1.000000E+04    8.200000E-01    8.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -4.200000E+05      8.623440E+01     0       +1.00      6.040051E+05    1.000000E+04    8.200000E-01    8.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.080000E+04      5.000000E+02     2       +3.00      3.000000E+00    3.000000E+00    3.000000E-02    5.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.300000E+05      5.000000E+03     1       +2.00      5.400000E+04    2.771815E+02    3.000000E-01    1.500000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.025000E+06      5.000000E+03     0       +1.00      9.000000E+03    4.619691E+01    8.200000E-01    4.100000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.190000E+06      2.443308E+02     0       +2.00      3.160000E+05    1.622025E+03    8.200000E-01    4.100000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.191000E+06      2.445361E+02     2       +2.00      1.060000E+05    5.440969E+02    5.750000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.335000E+06      5.000000E+03     2       +4.00      1.900000E+05    9.752681E+02    2.000000E-01    1.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.770000E+06      1.500000E+04     1       +1.00      1.030000E+05    5.286980E+02    9.000000E-01    4.500000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.390000E+06      1.000000E+04     1       +3.00      1.300000E+05    6.672887E+02    6.000000E-01    3.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.586000E+06      1.000000E+04     2       +3.00      4.800000E+04    2.463835E+02    5.750000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.870000E+06      5.000000E+04     0       +1.00      7.000000E+04    3.593093E+02    8.200000E-01    4.100000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.871000E+06      5.000000E+04     2       +1.00      6.800000E+05    8.000000E+04    5.750000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.490000E+06      3.000000E+04     1       +1.00      2.000000E+05    0.000000E+00    6.000000E-01    3.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.030000E+06      8.274396E+02     0       +1.00      2.290000E+05    2.900000E+04    8.200000E-01    4.100000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.031000E+06      8.276450E+02     2       +1.00      1.920000E+05    9.200000E+04    5.750000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.780000E+06      9.814296E+02     0       +1.00      1.570000E+05    5.700000E+04    8.200000E-01    4.100000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.781000E+06      9.816349E+02     2       +1.00      3.000000E+05    0.000000E+00    5.750000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.820000E+06      9.896424E+02     0       +1.00      1.600000E+05    6.000000E+04    8.200000E-01    4.100000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.850000E+06      9.958020E+02     2       +1.00      4.300000E+05    3.000000E+04    5.750000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.930000E+06      1.012228E+03     0       +1.00      2.500000E+05    5.000000E+04    8.200000E-01    4.100000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.950000E+06      1.016334E+03     2       +1.00      6.460000E+05    4.600000E+04    5.750000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.190000E+06      1.065611E+03     2       +3.00      2.500000E+05    5.000000E+04    5.750000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.380000E+06      1.104622E+03     2       +3.00      8.800000E+04    8.000000E+03    5.750000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.680000E+06      1.166218E+03     2       +3.00      1.640000E+05    6.400000E+04    5.750000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.820000E+06      1.194962E+03     2       +3.00      1.730000E+05    7.300000E+04    5.750000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.211000E+06      1.275243E+03     2       +1.00      4.730000E+05    7.300000E+04    5.750000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.250000E+06      1.283250E+03     2       +2.00      1.400000E+05    4.000000E+04    5.750000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.830000E+06      1.402336E+03     2       +3.00      1.000000E+05    1.000000E+04    5.750000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
