# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 21:09:23 2025
#                        
# Element                            : Ba
# Z                                  : 56
# A                                  : 123
# I                                  : 0
# Half-life                   [min. ]: 2.7 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.098063E+01 
# Emax2 (background)             [eV]: 1.113390E+02 
# Number of resonances (<Emax)       : 94
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 8.618570E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.798540E+02 
# MACS 30 keV (calculated)       [b.]: 1.691000E+00
# Westcott factor (calculated)       : 1.040100E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.498170E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.645030E+01 
#
# Scattering radius              [fm]: 6.61 +/- 6.61 
#
# Average Gtotal   l=0           [eV]: 1.847790E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.614320E-07 
# Average Gg       l=0           [eV]: 1.847780E-01 
# Average level spacing D0 (l=0) [eV]: 1.262140E-01 
# Neutron strength function S0 (l=0) : 1.395460E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.089842E+00      2.180000E-04     0       +2.00      2.256574E-06    0.000000E+00    1.872631E-01    7.672100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.154742E-01      1.830000E-04     0       +2.00      1.086786E-06    0.000000E+00    1.872631E-01    7.672100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.682711E-01      1.740000E-04     0       +2.00      4.528176E-07    0.000000E+00    1.872631E-01    7.672100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.124960E-01      1.420000E-04     0       +2.00      4.679511E-06    0.000000E+00    1.872631E-01    7.672100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.476454E-01      9.000000E-05     0       +2.00      2.841682E-08    0.000000E+00    1.872631E-01    7.672100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.525370E-01      5.100000E-05     0       +2.00      8.785191E-08    0.000000E+00    1.872631E-01    7.672100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.608783E-01      3.200000E-05     0       +2.00      2.087496E-06    0.000000E+00    1.872631E-01    7.672100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +9.982971E-02      2.000000E-05     0       +2.00      2.355046E-07    0.000000E+00    1.872631E-01    7.672100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.608783E-01      3.200000E-05     0       +2.00      7.136231E-07    0.000000E+00    1.872631E-01    7.672100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +5.286380E-01      1.060000E-04     0       +2.00      5.650350E-12    0.000000E+00    1.872631E-01    7.672100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.411733E-01      1.280000E-04     0       +2.00      2.895942E-06    0.000000E+00    1.872631E-01    7.672100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.793307E-01      1.360000E-04     0       +2.00      4.076403E-08    0.000000E+00    1.872631E-01    7.672100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.134268E+00      2.270000E-04     0       +2.00      1.760622E-07    0.000000E+00    1.872631E-01    7.672100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.195840E+00      2.390000E-04     0       +2.00      8.843276E-07    0.000000E+00    1.872631E-01    7.672100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.304475E+00      2.610000E-04     0       +2.00      2.997161E-07    0.000000E+00    1.872631E-01    7.672100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.315167E+00      2.630000E-04     0       +2.00      1.920682E-07    0.000000E+00    1.872631E-01    7.672100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.466086E+00      2.930000E-04     0       +2.00      4.515335E-07    0.000000E+00    1.872631E-01    7.672100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.688590E+00      3.380000E-04     0       +2.00      1.605291E-08    0.000000E+00    1.872631E-01    7.672100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
