# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 17:55:19 2025
#                        
# Element                            : Ba
# Z                                  : 56
# A                                  : 125
# I                                  : 0
# Half-life                   [min. ]: 3.3 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.248507E+01 
# Emax2 (background)             [eV]: 1.225690E+02 
# Number of resonances (<Emax)       : 99
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 7.878720E+01 
# Ress Int. (n,g) (systematics)  [b.]: 2.947510E+02 
# MACS 30 keV (calculated)       [b.]: 2.436000E+00
# Westcott factor (calculated)       : 1.025480E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.441240E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.286680E+01 
#
# Scattering radius              [fm]: 6.64 +/- 6.64 
#
# Average Gtotal   l=0           [eV]: 1.669980E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.822040E-06 
# Average Gg       l=0           [eV]: 1.669850E-01 
# Average level spacing D0 (l=0) [eV]: 3.733910E-01 
# Neutron strength function S0 (l=0) : 5.287890E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.072457E+01      2.145000E-03     0       +0.00      1.022443E-05    0.000000E+00    1.681677E-01    6.977900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.738581E+00      1.548000E-03     0       +0.00      8.427473E-07    0.000000E+00    1.681677E-01    6.977900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.713900E+00      1.343000E-03     0       +0.00      1.639186E-06    0.000000E+00    1.681677E-01    6.977900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.633364E+00      1.327000E-03     0       +0.00      1.691814E-05    0.000000E+00    1.681677E-01    6.977900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.804682E+00      7.610000E-04     0       +0.00      4.440176E-06    0.000000E+00    1.681677E-01    6.977900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.427073E+00      6.850000E-04     0       +0.00      8.413338E-09    0.000000E+00    1.681677E-01    6.977900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.199991E+00      6.400000E-04     0       +0.00      2.512624E-05    0.000000E+00    1.681677E-01    6.977900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.418001E+00      4.840000E-04     0       +0.00      1.765803E-07    0.000000E+00    1.681677E-01    6.977900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.888621E+00      3.780000E-04     0       +0.00      1.643389E-05    0.000000E+00    1.681677E-01    6.977900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.714777E+00      3.430000E-04     0       +0.00      2.380896E-05    0.000000E+00    1.681677E-01    6.977900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
