# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 17:51:11 2025
#                        
# Element                            : Ba
# Z                                  : 56
# A                                  : 130
# I                                  : 0
# Abundancy                       [%]: 0.106
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.775000E+03 
# Emax2 (background)             [eV]: 2.775000E+03 
# Number of resonances (<Emax)       : 40
# Number of resonances (<Emax2)      : 40
# Thermal  (n,g) xs (calculated) [b.]: 8.198210E+00 
# Thermal  (n,g) xs (experiment) [b.]: 8.1 +/- 0.19 
# Res. Int (n,g) (calculated)    [b.]: 1.780780E+02  
# Res. Int (n,g) (experiment)    [b.]: 176 +/- 7 
# MACS 30 keV (calculated)       [b.]: 7.936700E-01
# Westcott factor (calculated)       : 9.995300E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 2.299530E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.830010E+02 
#
# Scattering radius              [fm]: 6.73 +/- 0.34 
#
# Average Gtotal   l=0           [eV]: 3.748440E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 9.420420E-03 
# Average Gg       l=0           [eV]: 9.952770E-02 
# Average level spacing D0 (l=0) [eV]: 7.500000E+01 
# Neutron strength function S0 (l=0) : 1.290000E-04 
#
# Average Gtotal   l=1           [eV]: 1.025000E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 2.636340E-02 
# Average Gg       l=1           [eV]: 1.000000E-01 
# Neutron strength function S1 (l=1) : 5.272670E-02 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -7.340000E+00      1.622000E-03     0       +0.50      1.105000E-03    2.000000E-05    1.000000E-01    5.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.630000E+01      1.000000E-01     0       +0.50      3.500000E-02    4.000000E-03    1.220000E-01    6.500000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.790000E+01      1.000000E-01     0       +0.50      1.590000E-01    2.000000E-02    1.100000E-01    3.800000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.362000E+02      3.000000E-01     0       +0.50      3.000000E-01    1.000000E-01    1.060000E-01    2.600000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.845000E+02      4.000000E-01     0       +0.50      2.300000E-01    1.900000E-01    9.952800E-02    4.976000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.130000E+02      6.000000E-01     0       +0.50      1.000000E-03    3.000000E-04    9.952800E-02    4.976000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.870000E+02      7.000000E-01     0       +0.50      3.600000E-02    1.000000E-02    1.000000E-01    5.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.360000E+02      7.425600E-02     0       +0.50      1.050000E-01    4.000000E-02    1.000000E-01    5.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.580000E+02      7.911800E-02     0       +0.50      4.000000E-03    1.000000E-03    1.000000E-01    5.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.800000E+02      8.398000E-02     0       +0.50      1.447000E+00    1.500000E-01    4.500000E-02    5.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
