# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Mon Sep 15 23:33:49 2025
#                        
# Element                            : Bi
# Z                                  : 83
# A                                  : 198
# I                                  : 0
# Half-life                   [min. ]: 10.3 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.792932E+00 
# Emax2 (background)             [eV]: 8.998980E+01 
# Number of resonances (<Emax)       : 97
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 1.313310E+02 
# Ress Int. (n,g) (systematics)  [b.]: 3.162060E+02 
# MACS 30 keV (calculated)       [b.]: 2.435800E+00
# Westcott factor (calculated)       : 9.606600E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 7.505880E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.769370E+01 
#
# Scattering radius              [fm]: 7.73 +/- 7.73 
#
# Average Gtotal   l=0           [eV]: 1.324360E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 8.832010E-08 
# Average Gg       l=0           [eV]: 1.324360E-01 
# Average level spacing D0 (l=0) [eV]: 6.296650E-02 
# Neutron strength function S0 (l=0) : 6.669030E-07 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.599112E-01      7.200000E-05     0       +2.50      8.745974E-08    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.151574E-01      2.300000E-05     0       +2.50      3.011679E-08    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.141530E-02      1.000000E-05     0       +2.50      2.900581E-09    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -4.502510E-02      9.000000E-06     0       +2.50      3.483463E-07    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.837238E-02      1.000000E-05     0       +2.50      9.963344E-08    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.141530E-02      1.000000E-05     0       +2.50      2.923898E-07    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.481804E-01      3.000000E-05     0       +2.50      2.105668E-07    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.239539E-01      6.500000E-05     0       +2.50      8.330828E-08    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.730299E-01      7.500000E-05     0       +2.50      2.279571E-08    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.077437E-01      8.200000E-05     0       +2.50      6.282890E-08    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.585511E-01      9.200000E-05     0       +2.50      2.071123E-08    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.451560E-01      1.290000E-04     0       +2.50      4.733168E-07    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.191874E-01      1.440000E-04     0       +2.50      1.832453E-08    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.766694E-01      1.950000E-04     0       +2.50      1.471831E-08    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.032326E+00      2.060000E-04     0       +2.50      3.956157E-08    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.143633E+00      2.290000E-04     0       +2.50      2.555762E-07    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.158970E+00      2.320000E-04     0       +2.50      1.290518E-08    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.207359E+00      2.410000E-04     0       +2.50      3.059087E-08    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.323411E+00      2.650000E-04     0       +2.50      7.829844E-08    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.532937E+00      3.070000E-04     0       +2.50      8.948040E-12    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.582722E+00      3.170000E-04     0       +2.50      5.900940E-08    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.598702E+00      3.200000E-04     0       +2.50      5.018212E-09    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.665702E+00      3.330000E-04     0       +2.50      5.504672E-08    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.763807E+00      3.530000E-04     0       +2.50      1.847688E-07    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.782180E+00      3.560000E-04     0       +2.50      5.096035E-08    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.924672E+00      3.850000E-04     0       +2.50      1.718398E-09    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.954443E+00      3.910000E-04     0       +2.50      4.039162E-08    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.050820E+00      4.100000E-04     0       +2.50      1.667214E-07    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.251500E+00      4.500000E-04     0       +2.50      3.289400E-10    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.251539E+00      4.500000E-04     0       +2.50      1.581932E-07    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.272700E+00      4.550000E-04     0       +2.50      1.202281E-07    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.324314E+00      4.650000E-04     0       +2.50      7.932491E-09    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.436934E+00      4.870000E-04     0       +2.50      4.861820E-10    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.470145E+00      4.940000E-04     0       +2.50      4.488461E-07    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.508542E+00      5.020000E-04     0       +2.50      1.472937E-07    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.537835E+00      5.080000E-04     0       +2.50      2.656974E-09    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.615960E+00      5.230000E-04     0       +2.50      1.091424E-08    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.658641E+00      5.320000E-04     0       +2.50      2.477055E-07    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.713964E+00      5.430000E-04     0       +2.50      1.490641E-06    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.820892E+00      5.640000E-04     0       +2.50      6.153407E-09    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.881125E+00      5.760000E-04     0       +2.50      1.153275E-07    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.896333E+00      5.790000E-04     0       +2.50      9.229648E-08    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.957911E+00      5.920000E-04     0       +2.50      3.177099E-08    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.076641E+00      6.150000E-04     0       +2.50      3.059485E-09    0.000000E+00    1.336127E-01    6.416500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.110901E+00      6.220000E-04     0       +3.50      3.417182E-08    0.000000E+00    1.315483E-01    6.317300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.129602E+00      6.260000E-04     0       +3.50      7.458331E-09    0.000000E+00    1.315483E-01    6.317300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.281531E+00      6.560000E-04     0       +3.50      6.021448E-08    0.000000E+00    1.315483E-01    6.317300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.366526E+00      6.730000E-04     0       +3.50      7.926469E-08    0.000000E+00    1.315483E-01    6.317300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.408538E+00      6.820000E-04     0       +3.50      5.213575E-09    0.000000E+00    1.315483E-01    6.317300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.432863E+00      6.870000E-04     0       +3.50      1.069190E-09    0.000000E+00    1.315483E-01    6.317300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
