# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:02:42 2025
#                        
# Element                            : Bi
# Z                                  : 83
# A                                  : 203
# I                                  : 0
# Half-life                   [hours]: 11.7611 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.485016E+02 
# Emax2 (background)             [eV]: 1.933120E+03 
# Number of resonances (<Emax)       : 92
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 3.116940E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.624930E+02 
# MACS 30 keV (calculated)       [b.]: 8.351500E-01
# Westcott factor (calculated)       : 9.964800E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 7.791860E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.318010E+01 
#
# Scattering radius              [fm]: 7.79 +/- 0.55 
#
# Average Gtotal   l=0           [eV]: 1.290090E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.980710E-05 
# Average Gg       l=0           [eV]: 1.288780E-01 
# Average level spacing D0 (l=0) [eV]: 2.006780E+00 
# Neutron strength function S0 (l=0) : 4.894100E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.571949E+01      7.144000E-03     0       +4.00      1.598018E-06    0.000000E+00    1.327073E-01    7.119400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.505592E+01      7.011000E-03     0       +4.00      2.644501E-06    0.000000E+00    1.327073E-01    7.119400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.029640E+01      6.059000E-03     0       +4.00      1.403595E-04    2.000000E-06    1.327073E-01    7.119400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.290302E+01      4.581000E-03     0       +4.00      2.192285E-04    3.000000E-06    1.327073E-01    7.119400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.241712E+01      4.483000E-03     0       +4.00      8.326971E-05    1.000000E-06    1.327073E-01    7.119400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.183821E+01      4.368000E-03     0       +4.00      6.379373E-05    1.000000E-06    1.327073E-01    7.119400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.157350E+01      4.315000E-03     0       +4.00      2.252945E-05    0.000000E+00    1.327073E-01    7.119400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.847206E+01      3.694000E-03     0       +4.00      6.300330E-07    0.000000E+00    1.327073E-01    7.119400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.455726E+01      2.911000E-03     0       +4.00      3.266569E-05    0.000000E+00    1.327073E-01    7.119400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.377387E+01      2.755000E-03     0       +4.00      1.779061E-04    2.000000E-06    1.327073E-01    7.119400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
