# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 21:28:09 2025
#                        
# Element                            : Bi
# Z                                  : 83
# A                                  : 214
# I                                  : 0
# Half-life                   [min. ]: 19.9 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.057729E+03 
# Emax2 (background)             [eV]: 1.795060E+04 
# Number of resonances (<Emax)       : 84
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 1.533720E+01 
# Ress Int. (n,g) (systematics)  [b.]: 5.977050E+02 
# MACS 30 keV (calculated)       [b.]: 7.863500E-02
# Westcott factor (calculated)       : 1.011510E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 6.987780E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.037310E+02 
#
# Scattering radius              [fm]: 7.93 +/- 7.93 
#
# Average Gtotal   l=0           [eV]: 4.033030E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.265740E-04 
# Average Gg       l=0           [eV]: 3.671690E-02 
# Average level spacing D0 (l=0) [eV]: 1.733980E+01 
# Neutron strength function S0 (l=0) : 6.816840E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -5.515544E+02      1.103110E-01     0       +0.50      9.928898E-04    1.700000E-05    3.683237E-02    2.529500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.904871E+02      9.809700E-02     0       +0.50      2.954711E-03    5.100000E-05    3.683237E-02    2.529500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.291511E+02      8.583000E-02     0       +0.50      1.048914E-02    1.800000E-04    3.683237E-02    2.529500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.244431E+02      8.488900E-02     0       +0.50      1.942356E-03    3.300000E-05    3.683237E-02    2.529500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.826980E+02      7.654000E-02     0       +0.50      1.456990E-03    2.500000E-05    3.683237E-02    2.529500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.206453E+02      6.412900E-02     0       +0.50      5.953423E-03    1.020000E-04    3.683237E-02    2.529500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.169470E+02      6.338900E-02     0       +0.50      1.749387E-05    0.000000E+00    3.683237E-02    2.529500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.536834E+02      5.073700E-02     0       +0.50      4.595255E-03    7.900000E-05    3.683237E-02    2.529500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.347976E+02      4.696000E-02     0       +0.50      3.126165E-02    5.370000E-04    3.683237E-02    2.529500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.259343E+02      4.518700E-02     0       +0.50      1.005921E-04    2.000000E-06    3.683237E-02    2.529500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
