# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 01:12:10 2025
#                        
# Element                            : Bi
# Z                                  : 83
# A                                  : 220
# I                                  : 0
# Half-life                   [sec. ]: 9.5 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.398073E+02 
# Emax2 (background)             [eV]: 1.421730E+04 
# Number of resonances (<Emax)       : 21
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 3.288300E+01 
# Ress Int. (n,g) (systematics)  [b.]: 2.149330E+01 
# MACS 30 keV (calculated)       [b.]: 2.453100E-01
# Westcott factor (calculated)       : 1.144590E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 2.581410E+03 
# Res. Int (n,el) (calculated)   [b.]: 3.346690E+03 
#
# Thermal  (n,f) xs              [b.]: 6.951490E-03 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 2.115500E-03
#
# Scattering radius              [fm]: 8.00 +/- 8.00 
#
# Average Gtotal   l=0           [eV]: 4.819730E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 8.638780E-03 
# Average Gg       l=0           [eV]: 5.908010E-05 
# Average level spacing D0 (l=0) [eV]: 8.223960E+00 
# Neutron strength function S0 (l=0) : 5.185250E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.518342E+01      9.037000E-03     0       +1.50      3.809045E-02    7.070000E-04    5.996568E-05    4.500000E-05    +1.267680E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.566908E+01      5.134000E-03     0       +1.50      7.217994E-02    1.340000E-03    5.996568E-05    4.500000E-05    +1.267680E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.898518E+01      3.797000E-03     0       +1.50      4.317600E-02    8.020000E-04    5.996568E-05    4.500000E-05    +1.267680E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.203257E+00      1.641000E-03     0       +1.50      9.774543E-02    1.815000E-03    5.996568E-05    4.500000E-05    +1.267680E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.403637E-01      6.800000E-05     0       +1.50      1.917906E-02    3.560000E-04    5.996568E-05    4.500000E-05    +1.267680E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.105928E+00      8.210000E-04     0       +1.50      7.849629E-04    1.500000E-05    5.996568E-05    4.500000E-05    +1.267680E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.532054E+01      3.064000E-03     0       +1.50      5.463623E-02    1.014000E-03    5.996568E-05    4.500000E-05    +1.267680E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.145873E+01      4.292000E-03     0       +1.50      2.309360E-01    4.288000E-03    5.996568E-05    4.500000E-05    +1.267680E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.103176E+01      6.206000E-03     0       +1.50      3.873077E-02    7.190000E-04    5.996568E-05    4.500000E-05    +1.267680E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.819652E+01      7.639000E-03     0       +2.50      1.976120E-03    3.700000E-05    5.873953E-05    4.400000E-05    +1.267680E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.974650E+01      9.949000E-03     0       +2.50      1.098276E-03    2.000000E-05    5.873953E-05    4.400000E-05    +1.267680E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.920776E+01      1.184200E-02     0       +2.50      5.284400E-02    9.810000E-04    5.873953E-05    4.400000E-05    +1.267680E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
