# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 00:59:03 2025
#                        
# Element                            : Bk
# Z                                  : 97
# A                                  : 235
# I                                  : 0
# Half-life                   [min. ]: 1 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.789620E+00 
# Emax2 (background)             [eV]: 5.000000E+00 
# Number of resonances (<Emax)       : 418
# Number of resonances (<Emax2)      : 434
# Thermal (n,g) xs (systematics) [b.]: 1.331570E+03 
# Ress Int. (n,g) (systematics)  [b.]: 8.507470E+00 
# MACS 30 keV (calculated)       [b.]: 1.788700E-04
# Westcott factor (calculated)       : 8.760700E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 5.994330E+03 
# Res. Int (n,el) (calculated)   [b.]: 1.025240E+02 
#
# Thermal  (n,f) xs              [b.]: 4.413090E+05 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 1.355620E+03
#
# Scattering radius              [fm]: 8.18 +/- 8.18 
#
# Average Gtotal   l=0           [eV]: 2.975670E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.434950E-06 
# Average Gg       l=0           [eV]: 3.859380E-04 
# Average level spacing D0 (l=0) [eV]: 1.767380E-02 
# Neutron strength function S0 (l=0) : 9.148210E-05 
#
# Average Gtotal   l=1           [eV]: 2.852680E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 4.848520E-05 
# Average Gg       l=1           [eV]: 3.846810E-04 
# Average level spacing D1 (l=1) [eV]: 3.349380E-02 
# Neutron strength function S1 (l=1) : 1.962940E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.992593E-02      8.000000E-06     0       +1.00      1.599573E-08    0.000000E+00    3.876504E-04    1.990000E-04    +7.346321E-01   3.766540E-01    +0.000000E+00   0.000000E+00      hfr  
  -3.194844E-02      6.000000E-06     0       +1.00      2.649711E-06    0.000000E+00    3.876504E-04    1.990000E-04    +7.515970E-01   3.853520E-01    +0.000000E+00   0.000000E+00      hfr  
  -8.581174E-07      0.000000E+00     0       +1.00      9.993882E-06    0.000000E+00    3.876504E-04    1.990000E-04    +1.282989E-01   6.578000E-02    +0.000000E+00   0.000000E+00     radiator 
  +9.905440E-03      2.000000E-06     0       +1.00      4.288201E-06    0.000000E+00    3.876504E-04    1.990000E-04    +4.546130E-01   2.330850E-01    +0.000000E+00   0.000000E+00     radiator 
  +4.574194E-02      9.000000E-06     0       +1.00      1.479587E-06    0.000000E+00    3.876504E-04    1.990000E-04    +9.476412E-01   4.858660E-01    +0.000000E+00   0.000000E+00      hfr  
  +5.745752E-02      1.100000E-05     0       +1.00      5.612999E-07    0.000000E+00    3.876504E-04    1.990000E-04    +3.879100E-01   1.988860E-01    +0.000000E+00   0.000000E+00      hfr  
  +8.531611E-02      1.700000E-05     0       +1.00      1.458843E-05    0.000000E+00    3.876504E-04    1.990000E-04    +1.149292E-01   5.892500E-02    +0.000000E+00   0.000000E+00      hfr  
  +1.078572E-01      2.200000E-05     0       +1.00      9.402068E-06    0.000000E+00    3.876504E-04    1.990000E-04    +2.068053E-01   1.060310E-01    +0.000000E+00   0.000000E+00      hfr  
  +1.381899E-01      2.800000E-05     0       +1.00      1.001646E-06    0.000000E+00    3.876504E-04    1.990000E-04    +5.487172E-01   2.813330E-01    +0.000000E+00   0.000000E+00      hfr  
  +1.672807E-01      3.300000E-05     0       +1.00      6.785930E-07    0.000000E+00    3.876504E-04    1.990000E-04    +5.608088E-02   2.875300E-02    +0.000000E+00   0.000000E+00      hfr  
  +1.753563E-01      3.500000E-05     0       +1.00      5.441822E-06    0.000000E+00    3.876504E-04    1.990000E-04    +2.168292E-03   1.112000E-03    +0.000000E+00   0.000000E+00      hfr  
  +2.048021E-01      4.100000E-05     0       +1.00      1.353577E-06    0.000000E+00    3.876504E-04    1.990000E-04    +5.059990E-02   2.594300E-02    +0.000000E+00   0.000000E+00      hfr  
  +2.128683E-01      4.300000E-05     0       +1.00      2.241235E-06    0.000000E+00    3.876504E-04    1.990000E-04    +5.012100E-01   2.569760E-01    +0.000000E+00   0.000000E+00      hfr  
  +2.367656E-01      4.700000E-05     0       +1.00      1.052295E-07    0.000000E+00    3.876504E-04    1.990000E-04    +1.743101E-01   8.937100E-02    +0.000000E+00   0.000000E+00      hfr  
  +2.448034E-01      4.900000E-05     0       +1.00      7.208060E-06    0.000000E+00    3.876504E-04    1.990000E-04    +2.569410E-01   1.317360E-01    +0.000000E+00   0.000000E+00      hfr  
  +2.680725E-01      5.400000E-05     0       +1.00      2.181195E-05    0.000000E+00    3.876504E-04    1.990000E-04    +3.484363E-02   1.786500E-02    +0.000000E+00   0.000000E+00      hfr  
  +2.943543E-01      5.900000E-05     0       +1.00      5.384580E-06    0.000000E+00    3.876504E-04    1.990000E-04    +1.796109E-02   9.209000E-03    +0.000000E+00   0.000000E+00      hfr  
  +3.041075E-01      6.100000E-05     0       +1.00      1.925208E-06    0.000000E+00    3.876504E-04    1.990000E-04    +1.361740E-01   6.981800E-02    +0.000000E+00   0.000000E+00      hfr  
  +3.431710E-01      6.900000E-05     0       +1.00      3.678686E-07    0.000000E+00    3.876504E-04    1.990000E-04    +2.677704E-01   1.372890E-01    +0.000000E+00   0.000000E+00      hfr  
  +3.644493E-01      7.300000E-05     0       +1.00      1.980462E-05    0.000000E+00    3.876504E-04    1.990000E-04    +2.700268E-02   1.384500E-02    +0.000000E+00   0.000000E+00      hfr  
  +3.739735E-01      7.500000E-05     0       +1.00      3.935070E-06    0.000000E+00    3.876504E-04    1.990000E-04    +4.087649E-01   2.095780E-01    +0.000000E+00   0.000000E+00      hfr  
  +3.962438E-01      7.900000E-05     0       +1.00      3.602220E-06    0.000000E+00    3.876504E-04    1.990000E-04    +6.207245E-01   3.182520E-01    +0.000000E+00   0.000000E+00      hfr  
  +4.052075E-01      8.100000E-05     0       +1.00      5.685461E-05    1.000000E-06    3.876504E-04    1.990000E-04    +1.904831E-01   9.766300E-02    +0.000000E+00   0.000000E+00      hfr  
  +4.488873E-01      9.000000E-05     0       +1.00      7.389899E-06    0.000000E+00    3.876504E-04    1.990000E-04    +2.984629E-01   1.530250E-01    +0.000000E+00   0.000000E+00      hfr  
  +4.804828E-01      9.600000E-05     0       +1.00      2.366625E-07    0.000000E+00    3.876504E-04    1.990000E-04    +3.113327E-01   1.596240E-01    +0.000000E+00   0.000000E+00      hfr  
  +4.844938E-01      9.700000E-05     0       +1.00      9.224027E-06    0.000000E+00    3.876504E-04    1.990000E-04    +1.532941E-01   7.859600E-02    +0.000000E+00   0.000000E+00      hfr  
  +4.895020E-01      9.800000E-05     0       +1.00      2.716825E-06    0.000000E+00    3.876504E-04    1.990000E-04    +9.277613E-02   4.756700E-02    +0.000000E+00   0.000000E+00      hfr  
  +4.961605E-01      9.900000E-05     0       +1.00      9.617644E-07    0.000000E+00    3.876504E-04    1.990000E-04    +3.609828E-01   1.850800E-01    +0.000000E+00   0.000000E+00      hfr  
  +5.301455E-01      1.060000E-04     0       +1.00      3.820803E-09    0.000000E+00    3.876504E-04    1.990000E-04    +2.198061E-01   1.126970E-01    +0.000000E+00   0.000000E+00      hfr  
  +5.884747E-01      1.180000E-04     0       +1.00      1.507910E-05    0.000000E+00    3.876504E-04    1.990000E-04    +7.849673E-02   4.024600E-02    +0.000000E+00   0.000000E+00      hfr  
  +5.979619E-01      1.200000E-04     0       +1.00      7.271297E-08    0.000000E+00    3.876504E-04    1.990000E-04    +1.347719E+00   6.909900E-01    +0.000000E+00   0.000000E+00      hfr  
  +6.038803E-01      1.210000E-04     0       +1.00      2.799082E-07    0.000000E+00    3.876504E-04    1.990000E-04    +7.647690E-02   3.921100E-02    +0.000000E+00   0.000000E+00      hfr  
  +6.208590E-01      1.240000E-04     0       +1.00      2.019962E-08    0.000000E+00    3.876504E-04    1.990000E-04    +7.346321E-01   3.766540E-01    +0.000000E+00   0.000000E+00      hfr  
  +6.468900E-01      1.290000E-04     0       +1.00      3.338589E-06    0.000000E+00    3.876504E-04    1.990000E-04    +7.515970E-01   3.853520E-01    +0.000000E+00   0.000000E+00      hfr  
  +6.489705E-01      1.300000E-04     0       +1.00      1.251345E-05    0.000000E+00    3.876504E-04    1.990000E-04    +1.282989E-01   6.578000E-02    +0.000000E+00   0.000000E+00      hfr  
  +6.518168E-01      1.300000E-04     0       +2.00      8.935631E-06    0.000000E+00    3.848777E-04    1.970000E-04    +1.254925E-01   6.434100E-02    +0.000000E+00   0.000000E+00      hfr  
  +6.823676E-01      1.360000E-04     0       +2.00      3.552107E-07    0.000000E+00    3.848777E-04    1.970000E-04    +2.736860E-02   1.403200E-02    +0.000000E+00   0.000000E+00      hfr  
  +6.854541E-01      1.370000E-04     0       +2.00      1.243969E-05    0.000000E+00    3.848777E-04    1.970000E-04    +2.058119E-01   1.055220E-01    +0.000000E+00   0.000000E+00      hfr  
  +7.175337E-01      1.440000E-04     0       +2.00      7.676521E-08    0.000000E+00    3.848777E-04    1.970000E-04    +9.661601E-02   4.953600E-02    +0.000000E+00   0.000000E+00      hfr  
