# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 21:19:37 2025
#                        
# Element                            : Bk
# Z                                  : 97
# A                                  : 243
# I                                  : 0
# Half-life                   [hours]: 4.6 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.008631E+01 
# Emax2 (background)             [eV]: 4.398850E+02 
# Number of resonances (<Emax)       : 29
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 1.140300E+02 
# Ress Int. (n,g) (systematics)  [b.]: 1.879020E+03 
# MACS 30 keV (calculated)       [b.]: 2.666600E+00
# Westcott factor (calculated)       : 9.474500E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 1.176080E+01 
# Res. Int (n,el) (calculated)   [b.]: 1.348090E+03 
#
# Thermal  (n,f) xs              [b.]: 3.110590E+01 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 4.341860E+02
#
# Scattering radius              [fm]: 8.27 +/- 0.58 
#
# Average Gtotal   l=0           [eV]: 3.697790E-03 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.461430E-04 
# Average Gg       l=0           [eV]: 2.421340E-03 
# Average level spacing D0 (l=0) [eV]: 3.879350E-01 
# Neutron strength function S0 (l=0) : 3.104120E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -6.369154E-01      1.270000E-04     0       +1.00      2.680139E-04    4.000000E-06    2.437705E-03    1.476000E-03    +4.306920E-04   2.610000E-04    +0.000000E+00   0.000000E+00      hfr  
  -1.554568E-01      3.100000E-05     0       +1.00      3.305720E-04    5.000000E-06    2.437705E-03    1.476000E-03    +6.394718E-04   3.870000E-04    +0.000000E+00   0.000000E+00      hfr  
  +4.142140E-01      8.300000E-05     0       +1.00      1.899776E-04    3.000000E-06    2.437705E-03    1.476000E-03    +1.120486E-03   6.780000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.065140E+00      2.130000E-04     0       +1.00      5.869384E-06    0.000000E+00    2.437705E-03    1.476000E-03    +6.442798E-04   3.900000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.276482E+00      2.550000E-04     0       +1.00      2.479603E-03    3.800000E-05    2.437705E-03    1.476000E-03    +1.998453E-04   1.210000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.847144E+00      3.690000E-04     0       +1.00      2.311135E-04    3.000000E-06    2.437705E-03    1.476000E-03    +3.529988E-03   2.137000E-03    +0.000000E+00   0.000000E+00      hfr  
  +2.074510E+00      4.150000E-04     0       +1.00      1.232855E-03    1.900000E-05    2.437705E-03    1.476000E-03    +3.063050E-03   1.854000E-03    +0.000000E+00   0.000000E+00      hfr  
  +2.341785E+00      4.680000E-04     0       +1.00      2.478464E-04    4.000000E-06    2.437705E-03    1.476000E-03    +5.578902E-04   3.380000E-04    +0.000000E+00   0.000000E+00      hfr  
  +2.987669E+00      5.980000E-04     0       +1.00      5.902261E-04    9.000000E-06    2.437705E-03    1.476000E-03    +1.100361E-04   6.700000E-05    +0.000000E+00   0.000000E+00      hfr  
  +3.350522E+00      6.700000E-04     0       +1.00      6.920516E-08    0.000000E+00    2.437705E-03    1.476000E-03    +1.888997E-03   1.144000E-03    +0.000000E+00   0.000000E+00      hfr  
  +3.675901E+00      7.350000E-04     0       +1.00      1.264265E-04    2.000000E-06    2.437705E-03    1.476000E-03    +2.525752E-04   1.530000E-04    +0.000000E+00   0.000000E+00      hfr  
  +4.032815E+00      8.070000E-04     0       +2.00      4.060990E-04    6.000000E-06    2.413164E-03    1.461000E-03    +4.305698E-04   2.610000E-04    +0.000000E+00   0.000000E+00      hfr  
