# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Mon Sep 15 22:51:41 2025
#                        
# Element                            : Ca
# Z                                  : 20
# A                                  : 45
# I                                  : 0
# Half-life                   [days ]: 162.616 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.622086E+03 
# Emax2 (background)             [eV]: 5.000000E+03 
# Number of resonances (<Emax)       : 27
# Number of resonances (<Emax2)      : 31
# Thermal  (n,g) xs (calculated) [b.]: 1.499820E+01 
# Thermal  (n,g) xs (experiment) [b.]: 15 +/- 0.75 
# Ress Int. (n,g) (systematics)  [b.]: 5.326870E+01 
# MACS 30 keV (calculated)       [b.]: 1.805900E-02
# Westcott factor (calculated)       : 1.000770E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 2.056930E+03 
# Res. Int (n,el) (calculated)   [b.]: 1.523160E+04 
#
# Scattering radius              [fm]: 4.74 +/- 4.74 
#
# Average Gtotal   l=0           [eV]: 8.261550E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.534060E+02 
# Average Gg       l=0           [eV]: 1.859010E-01 
# Average level spacing D0 (l=0) [eV]: 6.555210E+02 
# Neutron strength function S0 (l=0) : 1.266680E-01 
#
# Average Gtotal   l=1           [eV]: 5.232970E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 2.109480E+02 
# Average Gg       l=1           [eV]: 5.188700E-01 
# Average level spacing D1 (l=1) [eV]: 2.622090E+03 
# Neutron strength function S1 (l=1) : 6.033780E-03 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.487379E+03      8.974760E-01     0       +3.00      3.820938E+01    3.997200E-01    2.937831E-01    1.229340E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.049319E+03      8.098640E-01     0       +3.00      5.013697E+03    5.244984E+01    2.937831E-01    1.229340E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.005997E+03      8.011990E-01     0       +3.00      7.377302E+00    7.717600E-02    2.937831E-01    1.229340E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.991341E+03      7.982680E-01     0       +3.00      5.727333E+03    5.991541E+01    2.937831E-01    1.229340E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.554534E+03      7.109070E-01     0       +4.00      8.283113E+03    8.665221E+01    2.032616E-01    8.505500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.396881E+03      6.793760E-01     0       +4.00      3.268820E+01    3.419610E-01    2.032616E-01    8.505500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.667060E+03      5.334120E-01     0       +4.00      2.799571E+03    2.928718E+01    2.032616E-01    8.505500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.622086E+03      5.244170E-01     0       +4.00      5.079656E+01    5.313990E-01    2.032616E-01    8.505500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.470517E+03      4.941030E-01     1       +2.00      2.880905E+00    3.013800E-02    2.283461E-01    9.555200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.169255E+03      4.338510E-01     1       +2.00      4.168444E-02    4.360000E-04    2.283461E-01    9.555200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.111236E+03      4.222470E-01     1       +2.00      3.057848E+00    3.198900E-02    2.283461E-01    9.555200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.464198E+03      2.928400E-01     1       +3.00      5.108810E-01    5.344000E-03    2.260419E-01    9.458800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.341085E+03      2.682170E-01     1       +3.00      4.724589E-01    4.943000E-03    2.260419E-01    9.458800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.287686E+03      2.575370E-01     1       +3.00      1.162310E+00    1.215900E-02    2.260419E-01    9.458800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.008994E+03      2.017990E-01     1       +3.00      6.337726E-02    6.630000E-04    2.260419E-01    9.458800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.536057E+02      9.072100E-02     1       +3.00      7.554583E-01    7.903000E-03    2.260419E-01    9.458800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.733662E+02      7.467300E-02     1       +3.00      5.223110E+00    5.464100E-02    2.260419E-01    9.458800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.718679E+02      5.437400E-02     1       +4.00      7.191404E+00    7.523200E-02    1.925611E-01    8.057800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.689924E+02      5.379800E-02     1       +4.00      1.967382E+00    2.058100E-02    1.925611E-01    8.057800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.725611E+01      1.745100E-02     1       +4.00      6.476387E-03    6.800000E-05    1.925611E-01    8.057800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.212850E+01      1.642600E-02     1       +4.00      8.211768E-01    8.591000E-03    1.925611E-01    8.057800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.796921E+02      3.593800E-02     1       +4.00      1.699573E+00    1.778000E-02    1.925611E-01    8.057800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.126115E+02      1.025220E-01     1       +4.00      5.076140E-02    5.310000E-04    1.925611E-01    8.057800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.506707E+02      1.901340E-01     1       +5.00      1.070938E-01    1.120000E-03    1.759117E-01    7.361100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.939932E+02      1.987990E-01     1       +5.00      5.226647E-01    5.468000E-03    1.759117E-01    7.361100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.008649E+03      2.017300E-01     2       +1.00      6.713474E-04    7.000000E-06    5.188699E-01    2.171220E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.377904E+03      4.755810E-01     2       +1.00      8.183593E-03    8.600000E-05    5.188699E-01    2.171220E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.830735E+03      5.661470E-01     2       +2.00      1.942889E-03    2.000000E-05    2.648049E-01    1.108080E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.535792E+03      7.071580E-01     2       +3.00      1.914530E-03    2.000000E-05    2.937831E-01    1.229340E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.712304E+03      7.424610E-01     2       +3.00      2.155439E-02    2.250000E-04    2.937831E-01    1.229340E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.912734E+03      9.825470E-01     2       +6.00      3.313344E-03    3.500000E-05    1.902592E-01    7.961400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
