# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:03:41 2025
#                        
# Element                            : Cd
# Z                                  : 48
# A                                  : 105
# I                                  : 0
# Half-life                   [min. ]: 55.5 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.643518E+01 
# Emax2 (background)             [eV]: 1.283610E+02 
# Number of resonances (<Emax)       : 24
# Number of resonances (<Emax2)      : 37
# Thermal (n,g) xs (systematics) [b.]: 2.248890E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.007790E+02 
# MACS 30 keV (calculated)       [b.]: 1.354600E+00
# Westcott factor (calculated)       : 1.012730E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 8.707920E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.407740E+01 
#
# Scattering radius              [fm]: 6.27 +/- 6.27 
#
# Average Gtotal   l=0           [eV]: 2.994230E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.249590E+00 
# Average Gg       l=0           [eV]: 2.993320E-01 
# Average level spacing D0 (l=0) [eV]: 7.287030E+00 
# Neutron strength function S0 (l=0) : 5.207780E-02 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.144324E+02      2.288600E-02     0       +2.00      2.507861E-03    2.600000E-05    2.963923E-01    1.211310E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.123601E+02      2.247200E-02     0       +2.00      7.217121E-02    7.370000E-04    2.963923E-01    1.211310E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.095562E+02      2.191100E-02     0       +2.00      9.330483E-04    1.000000E-05    2.963923E-01    1.211310E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.764865E+01      1.753000E-02     0       +2.00      1.792713E-01    1.832000E-03    2.963923E-01    1.211310E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.751502E+01      1.550300E-02     0       +3.00      3.342984E-02    3.420000E-04    2.756724E-01    1.126630E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.485085E+01      1.497000E-02     0       +3.00      1.712999E-03    1.800000E-05    2.756724E-01    1.126630E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.973594E+01      1.394700E-02     0       +3.00      1.260610E-01    1.288000E-03    2.756724E-01    1.126630E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.759398E+01      1.351900E-02     0       +3.00      6.432046E-03    6.600000E-05    2.756724E-01    1.126630E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.501920E+01      1.300400E-02     0       +3.00      2.695556E-02    2.750000E-04    2.756724E-01    1.126630E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.621232E+01      1.124200E-02     0       +3.00      1.564606E-03    1.600000E-05    2.756724E-01    1.126630E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.643518E+01      7.287000E-03     0       +3.00      2.066902E-01    2.112000E-03    2.756724E-01    1.126630E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.593000E+01      7.186000E-03     1       +1.00      1.002645E-04    1.000000E-06    3.505423E-01    1.432610E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.468076E+01      6.936000E-03     1       +1.00      6.472125E-05    1.000000E-06    3.505423E-01    1.432610E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.957266E+01      3.915000E-03     1       +1.00      4.054935E-06    0.000000E+00    3.505423E-01    1.432610E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.947693E+01      3.895000E-03     1       +1.00      6.157427E-05    1.000000E-06    3.505423E-01    1.432610E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
