# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 21:16:55 2025
#                        
# Element                            : Cd
# Z                                  : 48
# A                                  : 117
# I                                  : 1
# Half-life                   [hours]: 3.36111 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 8.349080E+00 
# Emax2 (background)             [eV]: 2.478340E+02 
# Number of resonances (<Emax)       : 22
# Number of resonances (<Emax2)      : 74
# Thermal (n,g) xs (systematics) [b.]: 2.818670E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.231990E+02 
# MACS 30 keV (calculated)       [b.]: 4.587400E-01
# Westcott factor (calculated)       : 9.981300E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 1.229110E+01 
# Res. Int (n,el) (calculated)   [b.]: 2.953720E+01 
#
# Scattering radius              [fm]: 6.50 +/- 0.45 
#
# Average Gtotal   l=0           [eV]: 7.122570E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 5.181200E-02 
# Average Gg       l=0           [eV]: 7.122340E-02 
# Average level spacing D0 (l=0) [eV]: 8.349070E+00 
# Neutron strength function S0 (l=0) : 1.551430E-03 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.030770E+02      2.061500E-02     0       +5.00      2.962884E-02    3.910000E-04    6.670389E-02    3.519800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.410311E+01      1.882100E-02     0       +5.00      4.023962E-03    5.300000E-05    6.670389E-02    3.519800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.932792E+01      1.786600E-02     0       +5.00      5.135449E-03    6.800000E-05    6.670389E-02    3.519800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.477348E+01      1.695500E-02     0       +5.00      1.574580E-04    2.000000E-06    6.670389E-02    3.519800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.955300E+01      1.591100E-02     0       +5.00      1.161582E-03    1.500000E-05    6.670389E-02    3.519800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.629855E+01      1.526000E-02     0       +5.00      5.021500E-03    6.600000E-05    6.670389E-02    3.519800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.216892E+01      1.443400E-02     0       +5.00      5.610976E-02    7.400000E-04    6.670389E-02    3.519800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.098586E+01      1.419700E-02     0       +5.00      4.432818E-02    5.850000E-04    6.670389E-02    3.519800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.016238E+01      1.403200E-02     0       +5.00      1.268927E-02    1.670000E-04    6.670389E-02    3.519800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.716604E+01      1.343300E-02     0       +5.00      2.442000E-02    3.220000E-04    6.670389E-02    3.519800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
