# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 21:33:47 2025
#                        
# Element                            : Cd
# Z                                  : 48
# A                                  : 123
# I                                  : 1
# Half-life                   [sec. ]: 1.8 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.872451E+02 
# Emax2 (background)             [eV]: 3.695550E+03 
# Number of resonances (<Emax)       : 76
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 8.977380E+00 
# Ress Int. (n,g) (systematics)  [b.]: 1.624310E+02 
# MACS 30 keV (calculated)       [b.]: 1.053000E-01
# Westcott factor (calculated)       : 9.998500E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 4.733890E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.309480E+02 
#
# Scattering radius              [fm]: 6.61 +/- 6.61 
#
# Average Gtotal   l=0           [eV]: 1.291120E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.640490E-03 
# Average Gg       l=0           [eV]: 9.166890E-02 
# Average level spacing D0 (l=0) [eV]: 9.553830E+00 
# Neutron strength function S0 (l=0) : 1.403680E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.036184E+02      6.072400E-02     0       +5.00      2.205974E-02    3.700000E-04    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.025488E+02      6.051000E-02     0       +5.00      2.517991E-02    4.220000E-04    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.690142E+02      5.380300E-02     0       +5.00      2.147295E-03    3.600000E-05    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.584375E+02      5.168800E-02     0       +5.00      1.572637E-02    2.640000E-04    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.296174E+02      4.592300E-02     0       +5.00      6.670905E-03    1.120000E-04    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.252700E+02      4.505400E-02     0       +5.00      5.348966E-02    8.970000E-04    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.990632E+02      3.981300E-02     0       +5.00      1.873173E-02    3.140000E-04    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.950755E+02      3.901500E-02     0       +5.00      9.412237E-04    1.600000E-05    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.921463E+02      3.842900E-02     0       +5.00      1.654646E-02    2.780000E-04    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.827266E+02      3.654500E-02     0       +5.00      7.473527E-04    1.300000E-05    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.769136E+02      3.538300E-02     0       +5.00      5.078095E-03    8.500000E-05    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.742197E+02      3.484400E-02     0       +5.00      2.577550E-07    0.000000E+00    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.735947E+02      3.471900E-02     0       +5.00      4.346325E-03    7.300000E-05    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.578484E+02      3.157000E-02     0       +5.00      3.271688E-03    5.500000E-05    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.383526E+02      2.767100E-02     0       +5.00      9.220051E-02    1.546000E-03    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.359566E+02      2.719100E-02     0       +5.00      1.873853E-03    3.100000E-05    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.298406E+02      2.596800E-02     0       +5.00      9.975931E-03    1.670000E-04    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.105332E+02      2.210700E-02     0       +5.00      2.544658E-03    4.300000E-05    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.675538E+01      1.935100E-02     0       +5.00      2.283615E-02    3.830000E-04    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.667970E+01      1.533600E-02     0       +5.00      3.135070E-02    5.260000E-04    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.913143E+01      1.382600E-02     0       +5.00      8.519095E-02    1.429000E-03    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -5.143824E+01      1.028800E-02     0       +5.00      8.381518E-04    1.400000E-05    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.073951E+01      1.014800E-02     0       +5.00      1.303226E-02    2.190000E-04    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.276100E+01      6.552000E-03     0       +5.00      1.532389E-04    3.000000E-06    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.292066E+01      2.584000E-03     0       +5.00      1.425427E-02    2.390000E-04    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.485490E+01      4.971000E-03     0       +5.00      9.336055E-03    1.570000E-04    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.921284E+01      5.843000E-03     0       +5.00      5.301591E-02    8.890000E-04    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.616161E+01      1.723200E-02     0       +5.00      2.127336E-04    4.000000E-06    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.235795E+01      1.847200E-02     0       +5.00      3.185476E-02    5.340000E-04    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.792944E+01      1.958600E-02     0       +5.00      7.476735E-02    1.254000E-03    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.104245E+02      2.208500E-02     0       +5.00      4.816256E-03    8.100000E-05    9.951546E-02    6.675900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
