# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 21:11:04 2025
#                        
# Element                            : Ce
# Z                                  : 58
# A                                  : 144
# I                                  : 0
# Half-life                   [days ]: 284.838 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.431467E+03 
# Emax2 (background)             [eV]: 4.053100E+04 
# Number of resonances (<Emax)       : 100
# Number of resonances (<Emax2)      : 100
# Thermal  (n,g) xs (calculated) [b.]: 9.994730E-01 
# Thermal  (n,g) xs (experiment) [b.]: 1 +/- 0.1 
# Res. Int (n,g) (calculated)    [b.]: 8.602570E+00  
# Res. Int (n,g) (experiment)    [b.]: 2.6 +/- 0.3 
# MACS 30 keV (calculated)       [b.]: 3.722100E-02
# Westcott factor (calculated)       : 1.000500E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.031980E+01 
# Res. Int (n,el) (calculated)   [b.]: 1.585920E+02 
#
# Scattering radius              [fm]: 6.96 +/- 6.96 
#
# Average Gtotal   l=0           [eV]: 1.199910E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.837230E-02 
# Average Gg       l=0           [eV]: 5.868840E-02 
# Average level spacing D0 (l=0) [eV]: 2.332350E+02 
# Neutron strength function S0 (l=0) : 1.280490E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.799490E+03      5.598980E-01     0       +0.50      1.220645E-02    1.770000E-04    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.759717E+03      5.519430E-01     0       +0.50      4.766626E-01    6.896000E-03    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.647748E+03      5.295500E-01     0       +0.50      2.246887E-04    3.000000E-06    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.061943E+03      4.123890E-01     0       +0.50      1.030271E+00    1.490500E-02    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.904873E+03      3.809750E-01     0       +0.50      3.811843E-02    5.510000E-04    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.268896E+03      2.537790E-01     0       +0.50      4.848712E+00    7.014500E-02    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.126982E+03      2.253960E-01     0       +0.50      6.113093E-01    8.844000E-03    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.393572E+02      1.878710E-01     0       +0.50      3.420931E+00    4.949000E-02    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.264822E+02      1.852960E-01     0       +0.50      6.027688E-02    8.720000E-04    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.671384E+02      1.734280E-01     0       +0.50      7.565443E-03    1.090000E-04    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.781228E+02      1.556250E-01     0       +0.50      3.929331E+00    5.684400E-02    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.618205E+02      1.523640E-01     0       +0.50      2.196190E+00    3.177200E-02    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -6.242791E+02      1.248560E-01     0       +0.50      1.033535E+01    1.495180E-01    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.607244E+02      3.214500E-02     0       +0.50      4.918229E-01    7.115000E-03    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.612156E+02      5.224300E-02     0       +0.50      3.874196E-01    5.605000E-03    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.845741E+02      5.691500E-02     0       +0.50      1.611646E-01    2.332000E-03    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.732900E+02      9.465800E-02     0       +0.50      1.007229E+00    1.457100E-02    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.495865E+02      1.299170E-01     0       +0.50      2.154925E-01    3.117000E-03    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.397839E+02      1.479570E-01     0       +0.50      7.224533E-02    1.045000E-03    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.618205E+02      1.523640E-01     0       +0.50      2.365417E+00    3.422000E-02    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.186974E+03      2.373950E-01     0       +0.50      8.186852E-01    1.184400E-02    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.760733E+03      3.521470E-01     0       +0.50      7.402434E-01    1.070900E-02    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.908475E+03      3.816950E-01     0       +0.50      2.301750E-01    3.330000E-03    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.966135E+03      3.932270E-01     0       +0.50      3.154851E+00    4.564000E-02    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.277834E+03      4.555670E-01     0       +0.50      1.696522E+00    2.454300E-02    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.314612E+03      4.629220E-01     0       +0.50      6.271152E+00    9.072300E-02    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.380449E+03      4.760900E-01     0       +0.50      1.922454E+00    2.781200E-02    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.592958E+03      5.185920E-01     0       +0.50      2.983761E-01    4.317000E-03    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.719568E+03      5.439140E-01     0       +0.50      1.068407E-01    1.546000E-03    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.941783E+03      5.883570E-01     0       +0.50      1.479538E+00    2.140400E-02    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.276182E+03      6.552360E-01     0       +0.50      1.391510E+00    2.013100E-02    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.567825E+03      7.135650E-01     0       +0.50      1.260924E-02    1.820000E-04    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.808323E+03      7.616650E-01     0       +0.50      4.923613E-01    7.123000E-03    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.431467E+03      8.862930E-01     0       +0.50      2.320725E-04    3.000000E-06    5.868838E-02    3.396100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.441815E+03      8.883630E-01     1       +0.50      8.187767E-01    1.184500E-02    5.867547E-02    3.395400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.767659E+03      9.535320E-01     1       +0.50      4.273182E-01    6.182000E-03    5.867547E-02    3.395400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.976252E+03      9.952500E-01     1       +0.50      8.235838E-02    1.191000E-03    5.867547E-02    3.395400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.455348E+03      1.091070E+00     1       +0.50      1.826148E-02    2.640000E-04    5.867547E-02    3.395400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
