# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:04:09 2025
#                        
# Element                            : Cf
# Z                                  : 98
# A                                  : 245
# I                                  : 0
# Half-life                   [min. ]: 45 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.457409E+00 
# Emax2 (background)             [eV]: 1.000000E+01 
# Number of resonances (<Emax)       : 19
# Number of resonances (<Emax2)      : 49
# Thermal (n,g) xs (systematics) [b.]: 9.788510E+01 
# Ress Int. (n,g) (systematics)  [b.]: 4.048150E+02 
# MACS 30 keV (calculated)       [b.]: 2.072100E+00
# Westcott factor (calculated)       : 4.850380E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 4.873650E+01 
# Res. Int (n,el) (calculated)   [b.]: 5.825290E+02 
#
# Thermal  (n,f) xs              [b.]: 5.136180E+02 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 1.048510E+03
#
# Scattering radius              [fm]: 8.29 +/- 8.29 
#
# Average Gtotal   l=0           [eV]: 9.317890E-04 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.751620E-04 
# Average Gg       l=0           [eV]: 8.968320E-05 
# Average level spacing D0 (l=0) [eV]: 3.510570E-01 
# Neutron strength function S0 (l=0) : 4.276760E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.125741E+00      8.250000E-04     0       +0.00      1.081923E-03    1.600000E-05    9.001433E-05    5.400000E-05    +2.984339E-04   1.790000E-04    +0.000000E+00   0.000000E+00      hfr  
  -2.854128E+00      5.710000E-04     0       +0.00      2.178483E-04    3.000000E-06    9.001433E-05    5.400000E-05    +5.808619E-03   3.481000E-03    +0.000000E+00   0.000000E+00      hfr  
  -1.752445E+00      3.500000E-04     0       +0.00      5.551154E-05    1.000000E-06    9.001433E-05    5.400000E-05    +6.527519E-04   3.910000E-04    +0.000000E+00   0.000000E+00      hfr  
  -1.693522E+00      3.390000E-04     0       +0.00      1.052183E-05    0.000000E+00    9.001433E-05    5.400000E-05    +2.411282E-04   1.440000E-04    +0.000000E+00   0.000000E+00      hfr  
  -1.260906E+00      2.520000E-04     0       +0.00      1.077869E-03    1.600000E-05    9.001433E-05    5.400000E-05    +2.984339E-04   1.790000E-04    +0.000000E+00   0.000000E+00      hfr  
  -1.213663E+00      2.430000E-04     0       +0.00      2.594666E-04    4.000000E-06    9.001433E-05    5.400000E-05    +5.808619E-03   3.481000E-03    +0.000000E+00   0.000000E+00      hfr  
  -9.193594E-01      1.840000E-04     0       +0.00      8.770375E-05    1.000000E-06    9.001433E-05    5.400000E-05    +6.527519E-04   3.910000E-04    +0.000000E+00   0.000000E+00      hfr  
  -9.017432E-01      1.800000E-04     0       +1.00      3.171672E-05    0.000000E+00    8.968315E-05    5.400000E-05    +1.888890E-03   1.132000E-03    +0.000000E+00   0.000000E+00      hfr  
  -7.407458E-01      1.480000E-04     0       +1.00      1.976548E-06    0.000000E+00    8.968315E-05    5.400000E-05    +6.992713E-05   4.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -2.866948E-01      5.700000E-05     0       +1.00      1.338152E-06    0.000000E+00    8.968315E-05    5.400000E-05    +2.169099E-04   1.300000E-04    +0.000000E+00   0.000000E+00      hfr  
  -5.687451E-02      1.100000E-05     0       +1.00      1.124435E-05    0.000000E+00    8.968315E-05    5.400000E-05    +2.214985E-03   1.327000E-03    +0.000000E+00   0.000000E+00      hfr  
  -1.841863E-03      0.000000E+00     0       +1.00      1.049940E-05    0.000000E+00    8.968315E-05    5.400000E-05    +4.265505E-04   2.560000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.868994E-01      3.700000E-05     0       +1.00      7.228395E-05    1.000000E-06    8.968315E-05    5.400000E-05    +1.171178E-04   7.000000E-05    +0.000000E+00   0.000000E+00      hfr  
  +3.587141E-01      7.200000E-05     0       +1.00      2.583993E-04    4.000000E-06    8.968315E-05    5.400000E-05    +1.312331E-03   7.860000E-04    +0.000000E+00   0.000000E+00      hfr  
  +3.815694E-01      7.600000E-05     0       +1.00      1.844696E-04    3.000000E-06    8.968315E-05    5.400000E-05    +8.720878E-04   5.230000E-04    +0.000000E+00   0.000000E+00     radiator 
  +6.140269E-01      1.230000E-04     0       +1.00      2.852778E-07    0.000000E+00    8.968315E-05    5.400000E-05    +5.089763E-04   3.050000E-04    +0.000000E+00   0.000000E+00      hfr  
  +8.721117E-01      1.740000E-04     0       +1.00      4.104399E-04    6.000000E-06    8.968315E-05    5.400000E-05    +7.313560E-04   4.380000E-04    +0.000000E+00   0.000000E+00      hfr  
  +2.037830E+00      4.080000E-04     0       +1.00      6.871641E-05    1.000000E-06    8.968315E-05    5.400000E-05    +1.888890E-03   1.132000E-03    +0.000000E+00   0.000000E+00      hfr  
  +2.165561E+00      4.330000E-04     0       +1.00      6.979990E-06    0.000000E+00    8.968315E-05    5.400000E-05    +6.992713E-05   4.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  +2.457409E+00      4.910000E-04     0       +1.00      1.767408E-05    0.000000E+00    8.968315E-05    5.400000E-05    +2.169099E-04   1.300000E-04    +0.000000E+00   0.000000E+00      hfr  
  +2.572005E+00      5.140000E-04     1       +0.00      2.197622E-08    0.000000E+00    9.001169E-05    5.400000E-05    +1.456984E-03   8.730000E-04    +0.000000E+00   0.000000E+00      hfr  
  +3.102185E+00      6.200000E-04     1       +0.00      3.180834E-09    0.000000E+00    9.001169E-05    5.400000E-05    +4.784279E-04   2.870000E-04    +0.000000E+00   0.000000E+00      hfr  
