# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Mon Sep 15 23:07:37 2025
#                        
# Element                            : Cf
# Z                                  : 98
# A                                  : 256
# I                                  : 0
# Half-life                   [min. ]: 12.3 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.237429E+02 
# Emax2 (background)             [eV]: 1.500000E+03 
# Number of resonances (<Emax)       : 45
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 3.165400E+01 
# Ress Int. (n,g) (systematics)  [b.]: 3.594920E+00 
# MACS 30 keV (calculated)       [b.]: 4.208700E-02
# Westcott factor (calculated)       : 9.480600E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 3.222340E+04 
# Res. Int (n,el) (calculated)   [b.]: 5.714430E+03 
#
# Thermal  (n,f) xs              [b.]: 7.699070E-01 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 1.135450E+00
#
# Scattering radius              [fm]: 8.41 +/- 8.41 
#
# Average Gtotal   l=0           [eV]: 3.027570E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.203150E-03 
# Average Gg       l=0           [eV]: 1.151150E-05 
# Average level spacing D0 (l=0) [eV]: 6.215080E+00 
# Neutron strength function S0 (l=0) : 5.297000E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -7.177015E+01      1.435400E-02     0       +0.50      7.010323E-06    0.000000E+00    1.151146E-05    8.000000E-06    +3.772101E-06   3.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -6.064064E+01      1.212800E-02     0       +0.50      4.393662E-03    7.900000E-05    1.151146E-05    8.000000E-06    +1.102950E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -5.071070E+01      1.014200E-02     0       +0.50      1.195691E-05    0.000000E+00    1.151146E-05    8.000000E-06    +4.367285E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.387648E+01      8.775000E-03     0       +0.50      3.586288E-04    6.000000E-06    1.151146E-05    8.000000E-06    +5.736646E-06   4.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -3.323390E+01      6.647000E-03     0       +0.50      2.537778E-03    4.500000E-05    1.151146E-05    8.000000E-06    +1.191806E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -1.524640E+01      3.049000E-03     0       +0.50      3.723261E-04    7.000000E-06    1.151146E-05    8.000000E-06    +4.280651E-06   3.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -5.043589E+00      1.009000E-03     0       +0.50      3.520855E-03    6.300000E-05    1.151146E-05    8.000000E-06    +2.522501E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -3.053076E-01      6.100000E-05     0       +0.50      4.025998E-02    7.210000E-04    1.151146E-05    8.000000E-06    +2.792517E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.369498E+00      1.474000E-03     0       +0.50      4.022205E-04    7.000000E-06    1.151146E-05    8.000000E-06    +2.848794E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +8.397930E+00      1.680000E-03     0       +0.50      2.945969E-03    5.300000E-05    1.151146E-05    8.000000E-06    +1.149917E-05   8.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.577289E+01      3.155000E-03     0       +0.50      8.972596E-02    1.607000E-03    1.151146E-05    8.000000E-06    +1.588402E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.756244E+01      3.512000E-03     0       +0.50      1.180528E-02    2.110000E-04    1.151146E-05    8.000000E-06    +2.269037E-06   2.000000E-06    +0.000000E+00   0.000000E+00     radiator 
  +1.800714E+01      3.601000E-03     0       +0.50      1.670293E-02    2.990000E-04    1.151146E-05    8.000000E-06    +1.288481E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.858483E+01      3.717000E-03     0       +0.50      1.517209E-03    2.700000E-05    1.151146E-05    8.000000E-06    +1.165415E-05   8.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +3.517034E+01      7.034000E-03     0       +0.50      2.441380E-02    4.370000E-04    1.151146E-05    8.000000E-06    +2.029011E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +3.947552E+01      7.895000E-03     0       +0.50      1.011249E-03    1.800000E-05    1.151146E-05    8.000000E-06    +3.140178E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +4.546176E+01      9.092000E-03     0       +0.50      5.093637E-03    9.100000E-05    1.151146E-05    8.000000E-06    +4.840194E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.096264E+01      1.219300E-02     0       +0.50      8.710462E-03    1.560000E-04    1.151146E-05    8.000000E-06    +3.238126E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +6.707317E+01      1.341500E-02     0       +0.50      4.598541E-02    8.240000E-04    1.151146E-05    8.000000E-06    +2.754190E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +9.029717E+01      1.805900E-02     0       +0.50      3.984472E-02    7.140000E-04    1.151146E-05    8.000000E-06    +1.805641E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.909492E+01      1.981900E-02     0       +0.50      2.623264E-02    4.700000E-04    1.151146E-05    8.000000E-06    +5.078173E-06   4.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.069302E+02      2.138600E-02     0       +0.50      4.064881E-03    7.300000E-05    1.151146E-05    8.000000E-06    +4.023342E-06   3.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.074779E+02      2.149600E-02     0       +0.50      6.337808E-02    1.135000E-03    1.151146E-05    8.000000E-06    +3.497874E-06   3.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.084256E+02      2.168500E-02     0       +0.50      4.676690E-02    8.380000E-04    1.151146E-05    8.000000E-06    +9.001594E-07   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.221889E+02      2.443800E-02     0       +0.50      7.874868E-03    1.410000E-04    1.151146E-05    8.000000E-06    +8.714494E-06   6.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.224060E+02      2.448100E-02     0       +0.50      6.388126E-02    1.144000E-03    1.151146E-05    8.000000E-06    +7.537331E-07   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
