# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 21:11:33 2025
#                        
# Element                            : Cm
# Z                                  : 96
# A                                  : 241
# I                                  : 0
# Half-life                   [days ]: 32.8009 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.826515E+01 
# Emax2 (background)             [eV]: 1.000000E+02 
# Number of resonances (<Emax)       : 80
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 8.145910E+01 
# Ress Int. (n,g) (systematics)  [b.]: 3.348850E+02 
# MACS 30 keV (calculated)       [b.]: 1.006500E+00
# Westcott factor (calculated)       : 1.483740E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.900430E+02 
# Res. Int (n,el) (calculated)   [b.]: 1.993540E+04 
#
# Thermal  (n,f) xs              [b.]: 3.495580E+02 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 3.133160E+03
#
# Scattering radius              [fm]: 8.25 +/- 8.25 
#
# Average Gtotal   l=0           [eV]: 2.262760E-03 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.131990E-04 
# Average Gg       l=0           [eV]: 6.134790E-05 
# Average level spacing D0 (l=0) [eV]: 4.282600E-01 
# Neutron strength function S0 (l=0) : 3.024550E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -7.502840E+00      1.501000E-03     0       +0.00      1.935891E-04    3.000000E-06    6.151399E-05    3.800000E-05    +1.895892E-03   1.160000E-03    +0.000000E+00   0.000000E+00      hfr  
  -6.798319E+00      1.360000E-03     0       +0.00      5.070601E-04    8.000000E-06    6.151399E-05    3.800000E-05    +5.827753E-03   3.565000E-03    +0.000000E+00   0.000000E+00      hfr  
  -6.697504E+00      1.340000E-03     0       +0.00      1.920928E-04    3.000000E-06    6.151399E-05    3.800000E-05    +1.594155E-04   9.800000E-05    +0.000000E+00   0.000000E+00      hfr  
  -6.633692E+00      1.327000E-03     0       +0.00      4.366733E-04    7.000000E-06    6.151399E-05    3.800000E-05    +3.164164E-03   1.936000E-03    +0.000000E+00   0.000000E+00      hfr  
  -5.912371E+00      1.182000E-03     0       +0.00      1.335924E-04    2.000000E-06    6.151399E-05    3.800000E-05    +2.409539E-03   1.474000E-03    +0.000000E+00   0.000000E+00      hfr  
  -5.154039E+00      1.031000E-03     0       +0.00      3.902186E-04    6.000000E-06    6.151399E-05    3.800000E-05    +1.867543E-03   1.142000E-03    +0.000000E+00   0.000000E+00      hfr  
  -3.189867E+00      6.380000E-04     0       +0.00      2.477677E-03    3.800000E-05    6.151399E-05    3.800000E-05    +4.737825E-04   2.900000E-04    +0.000000E+00   0.000000E+00      hfr  
  -2.699328E+00      5.400000E-04     0       +0.00      1.347175E-04    2.000000E-06    6.151399E-05    3.800000E-05    +8.104769E-04   4.960000E-04    +0.000000E+00   0.000000E+00      hfr  
  -2.694010E+00      5.390000E-04     0       +0.00      2.519413E-03    3.900000E-05    6.151399E-05    3.800000E-05    +2.689543E-03   1.645000E-03    +0.000000E+00   0.000000E+00      hfr  
  -1.523218E+00      3.050000E-04     0       +0.00      4.418328E-03    6.800000E-05    6.151399E-05    3.800000E-05    +4.422750E-03   2.706000E-03    +0.000000E+00   0.000000E+00      hfr  
