# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 21:07:00 2025
#                        
# Element                            : Cm
# Z                                  : 96
# A                                  : 247
# I                                  : 0
# Half-life                   [years]: 1.56107e+07 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.970000E+01 
# Emax2 (background)             [eV]: 5.970000E+01 
# Number of resonances (<Emax)       : 44
# Number of resonances (<Emax2)      : 44
# Thermal  (n,g) xs (calculated) [b.]: 5.751000E+01 
# Thermal  (n,g) xs (experiment) [b.]: 57 +/- 10 
# Res. Int (n,g) (calculated)    [b.]: 6.231590E+02  
# Res. Int (n,g) (experiment)    [b.]: 530 +/- 30 
# MACS 30 keV (calculated)       [b.]: 3.441900E-02
# Westcott factor (calculated)       : 1.009260E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 6.504120E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.750080E+01 
#
# Thermal  (n,f) xs (calculated) [b.]: 8.325930E+01 
# Thermal  (n,f) xs (experiment) [b.]: 83.4 +/- 4.4 
# Resonance Integral (n,f) xs    [b.]: 8.396520E+02
#
# Scattering radius              [fm]: 8.32 +/- 0.50 
#
# Average Gtotal   l=0           [eV]: 1.967310E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.241330E-04 
# Average Gg       l=0           [eV]: 4.002380E-02 
# Average level spacing D0 (l=0) [eV]: 1.421430E+00 
# Neutron strength function S0 (l=0) : 8.878990E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -8.900000E-01      3.040000E-04     0       +5.00      1.190000E-04    9.000000E-06    4.000000E-02    4.000000E-03    +4.050000E-02   2.000000E-03    +0.000000E+00   0.000000E+00     evaluated 
  +1.240000E+00      1.000000E-02     0       +5.00      5.820000E-04    4.500000E-05    4.000000E-02    3.000000E-03    +4.200000E-02   2.000000E-03    +0.000000E+00   0.000000E+00     evaluated 
  +2.960000E+00      1.000000E-02     0       +5.00      2.000000E-04    1.800000E-05    4.002400E-02    2.001000E-03    +8.600000E-03   3.000000E-04    +0.000000E+00   0.000000E+00     evaluated 
  +3.189000E+00      1.000000E-02     0       +5.00      1.191000E-03    4.500000E-05    4.100000E-02    3.000000E-03    +8.500000E-02   6.000000E-03    +0.000000E+00   0.000000E+00     evaluated 
  +4.660000E+00      2.000000E-02     0       +5.00      1.300000E-03    1.100000E-05    4.000000E-02    2.000000E-03    +2.580000E-01   8.801900E-02    +0.000000E+00   0.000000E+00     evaluated 
  +6.040000E+00      2.000000E-02     0       +5.00      1.090000E-04    1.000000E-06    4.000000E-02    2.000000E-03    +2.110000E-01   7.198400E-02    +0.000000E+00   0.000000E+00     evaluated 
  +7.110000E+00      2.000000E-02     0       +5.00      5.090000E-04    4.000000E-06    4.000000E-02    2.000000E-03    +9.800000E-02   3.343300E-02    +0.000000E+00   0.000000E+00     evaluated 
  +7.690000E+00      2.000000E-02     0       +5.00      1.180000E-04    1.000000E-06    4.000000E-02    2.000000E-03    +1.190000E-01   4.059800E-02    +0.000000E+00   0.000000E+00     evaluated 
  +7.940000E+00      2.000000E-02     0       +5.00      6.360000E-04    5.000000E-06    4.000000E-02    2.000000E-03    +9.000000E-04   3.070000E-04    +0.000000E+00   0.000000E+00     evaluated 
  +9.440000E+00      2.000000E-02     0       +5.00      8.180000E-04    7.000000E-06    4.000000E-02    2.000000E-03    +1.590000E-01   5.424400E-02    +0.000000E+00   0.000000E+00     evaluated 
