# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 21:14:48 2025
#                        
# Element                            : Co
# Z                                  : 27
# A                                  : 55
# I                                  : 0
# Half-life                   [hours]: 17.5306 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.569260E+03 
# Emax2 (background)             [eV]: 1.500000E+04 
# Number of resonances (<Emax)       : 48
# Number of resonances (<Emax2)      : 84
# Thermal (n,g) xs (systematics) [b.]: 2.899550E+00 
# Ress Int. (n,g) (systematics)  [b.]: 3.524240E+01 
# MACS 30 keV (calculated)       [b.]: 2.868300E-02
# Westcott factor (calculated)       : 1.000730E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 2.114950E+01 
# Res. Int (n,el) (calculated)   [b.]: 1.763580E+02 
#
# Scattering radius              [fm]: 5.07 +/- 0.35 
#
# Average Gtotal   l=0           [eV]: 8.868680E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.578380E+01 
# Average Gg       l=0           [eV]: 6.128750E-01 
# Average level spacing D0 (l=0) [eV]: 2.974380E+02 
# Neutron strength function S0 (l=0) : 8.736640E-03 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.103651E+04      2.207302E+00     0       +3.00      1.067384E+02    1.070171E+00    8.772601E-01    3.518200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.081931E+04      2.163862E+00     0       +3.00      1.967990E+02    1.973128E+00    8.772601E-01    3.518200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.012077E+04      2.024154E+00     0       +3.00      8.092032E+00    8.113200E-02    8.772601E-01    3.518200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.711255E+03      1.742251E+00     0       +3.00      2.560592E+01    2.567280E-01    8.772601E-01    3.518200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.019892E+03      1.603978E+00     0       +3.00      8.705928E-02    8.730000E-04    8.772601E-01    3.518200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.046747E+03      1.409349E+00     0       +3.00      4.916562E+01    4.929400E-01    8.772601E-01    3.518200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.874435E+03      1.374887E+00     0       +3.00      9.555025E+00    9.580000E-02    8.772601E-01    3.518200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.636842E+03      1.327368E+00     0       +3.00      3.081386E+01    3.089430E-01    8.772601E-01    3.518200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.397780E+03      1.279556E+00     0       +3.00      1.662035E+02    1.666375E+00    8.772601E-01    3.518200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.179551E+03      1.235910E+00     0       +3.00      3.552344E+02    3.561619E+00    8.772601E-01    3.518200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.737478E+03      1.147496E+00     0       +3.00      4.477470E+01    4.489160E-01    8.772601E-01    3.518200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.360959E+03      1.072192E+00     0       +4.00      8.748816E+00    8.771700E-02    9.428672E-01    3.781310E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.315912E+03      1.063182E+00     0       +4.00      1.237958E+00    1.241200E-02    9.428672E-01    3.781310E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.088697E+03      1.017739E+00     0       +4.00      4.130278E+01    4.141060E-01    9.428672E-01    3.781310E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.756447E+03      9.512890E-01     0       +4.00      2.716784E+01    2.723880E-01    9.428672E-01    3.781310E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.380075E+03      8.760150E-01     0       +4.00      1.786349E+01    1.791010E-01    9.428672E-01    3.781310E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.137443E+03      8.274890E-01     0       +4.00      2.008219E+02    2.013462E+00    9.428672E-01    3.781310E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.025723E+03      8.051450E-01     0       +4.00      7.159366E+02    7.178059E+00    9.428672E-01    3.781310E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.935972E+03      7.871940E-01     0       +4.00      9.294523E+00    9.318800E-02    9.428672E-01    3.781310E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.626969E+03      7.253940E-01     0       +4.00      2.075564E+00    2.081000E-02    9.428672E-01    3.781310E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.569260E+03      7.138520E-01     0       +4.00      1.259494E+02    1.262783E+00    9.428672E-01    3.781310E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.522572E+03      7.045140E-01     1       +2.00      2.115987E-01    2.122000E-03    6.662164E-01    2.671820E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.320459E+03      6.640920E-01     1       +2.00      4.986114E-04    5.000000E-06    6.662164E-01    2.671820E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.278435E+03      6.556870E-01     1       +2.00      1.560567E-01    1.565000E-03    6.662164E-01    2.671820E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.128514E+03      6.257030E-01     1       +2.00      1.717312E-04    2.000000E-06    6.662164E-01    2.671820E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.531889E+03      5.063780E-01     1       +2.00      3.238208E-02    3.250000E-04    6.662164E-01    2.671820E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.520068E+03      5.040140E-01     1       +2.00      1.628970E-02    1.630000E-04    6.662164E-01    2.671820E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.888185E+03      3.776370E-01     1       +2.00      1.302218E-01    1.306000E-03    6.662164E-01    2.671820E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.808358E+03      3.616720E-01     1       +2.00      1.563998E-03    1.600000E-05    6.662164E-01    2.671820E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.693173E+03      3.386350E-01     1       +2.00      1.017726E+00    1.020400E-02    6.662164E-01    2.671820E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.643931E+03      3.287860E-01     1       +3.00      2.329755E-02    2.340000E-04    6.320958E-01    2.534980E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.456460E+03      2.912920E-01     1       +3.00      1.027539E-01    1.030000E-03    6.320958E-01    2.534980E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.394261E+03      2.788520E-01     1       +3.00      2.733476E-02    2.740000E-04    6.320958E-01    2.534980E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.868535E+02      1.173710E-01     1       +3.00      1.400301E-01    1.404000E-03    6.320958E-01    2.534980E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -4.744412E+02      9.488800E-02     1       +3.00      1.255218E-04    1.000000E-06    6.320958E-01    2.534980E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.466973E+01      1.093400E-02     1       +3.00      4.519752E-02    4.530000E-04    6.320958E-01    2.534980E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.092472E+02      4.184900E-02     1       +3.00      3.287697E-02    3.300000E-04    6.320958E-01    2.534980E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.421559E+02      4.843100E-02     1       +3.00      1.597176E-01    1.601000E-03    6.320958E-01    2.534980E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.855432E+02      9.710900E-02     1       +3.00      4.925370E-01    4.938000E-03    6.320958E-01    2.534980E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.868535E+02      1.173710E-01     1       +4.00      2.202023E-01    2.208000E-03    6.123772E-01    2.455900E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +6.799695E+02      1.359940E-01     1       +4.00      3.321724E-03    3.300000E-05    6.123772E-01    2.455900E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.766772E+02      1.953350E-01     1       +4.00      2.795957E-02    2.800000E-04    6.123772E-01    2.455900E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.869998E+03      3.740000E-01     1       +4.00      4.071715E-02    4.080000E-04    6.123772E-01    2.455900E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.061625E+03      4.123250E-01     1       +4.00      4.692168E-02    4.700000E-04    6.123772E-01    2.455900E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.695489E+03      5.390980E-01     1       +4.00      1.209745E+00    1.212900E-02    6.123772E-01    2.455900E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.763865E+03      5.527730E-01     1       +4.00      3.580656E-02    3.590000E-04    6.123772E-01    2.455900E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.980573E+03      5.961150E-01     1       +4.00      8.381155E-01    8.403000E-03    6.123772E-01    2.455900E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.257599E+03      6.515200E-01     1       +5.00      4.087890E-01    4.099000E-03    5.399690E-01    2.165510E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.588200E+03      7.176400E-01     1       +5.00      4.690064E-01    4.702000E-03    5.399690E-01    2.165510E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.919193E+03      7.838390E-01     1       +5.00      4.445963E-02    4.460000E-04    5.399690E-01    2.165510E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.963482E+03      7.926960E-01     1       +5.00      1.581304E-01    1.585000E-03    5.399690E-01    2.165510E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.180679E+03      8.361360E-01     1       +5.00      2.859447E-03    2.900000E-05    5.399690E-01    2.165510E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.383185E+03      8.766370E-01     2       +1.00      2.998350E-02    3.010000E-04    8.225866E-01    3.298930E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
