# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:20:51 2025
#                        
# Element                            : Cs
# Z                                  : 55
# A                                  : 118
# I                                  : 1
# Half-life                   [sec. ]: 17 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 9.709009E+00 
# Emax2 (background)             [eV]: 1.009270E+02 
# Number of resonances (<Emax)       : 63
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 1.032050E+02 
# Ress Int. (n,g) (systematics)  [b.]: 8.001120E+01 
# MACS 30 keV (calculated)       [b.]: 1.134500E-02
# Westcott factor (calculated)       : 1.013280E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.253660E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.537490E+01 
#
# Scattering radius              [fm]: 6.52 +/- 6.52 
#
# Average Gtotal   l=0           [eV]: 4.030930E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 8.384090E-07 
# Average Gg       l=0           [eV]: 4.030910E-01 
# Average level spacing D0 (l=0) [eV]: 1.645590E-01 
# Neutron strength function S0 (l=0) : 5.181230E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -9.057448E-01      1.810000E-04     0       +0.50      1.169937E-08    0.000000E+00    4.030915E-01    1.632920E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.399809E-01      1.480000E-04     0       +0.50      1.961116E-06    0.000000E+00    4.030915E-01    1.632920E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.569926E-01      5.100000E-05     0       +0.50      1.155587E-06    0.000000E+00    4.030915E-01    1.632920E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +2.569926E-01      5.100000E-05     0       +0.50      1.243530E-07    0.000000E+00    4.030915E-01    1.632920E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +2.664861E-01      5.300000E-05     0       +0.50      1.586500E-07    0.000000E+00    4.030915E-01    1.632920E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.389807E-01      1.280000E-04     0       +0.50      8.182562E-07    0.000000E+00    4.030915E-01    1.632920E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.531919E-01      1.310000E-04     0       +0.50      8.040254E-06    0.000000E+00    4.030915E-01    1.632920E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.635316E-01      1.730000E-04     0       +0.50      2.927054E-06    0.000000E+00    4.030915E-01    1.632920E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.516840E+00      3.030000E-04     0       +0.50      5.965862E-07    0.000000E+00    4.030915E-01    1.632920E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.599188E+00      3.200000E-04     0       +0.50      9.533451E-08    0.000000E+00    4.030915E-01    1.632920E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
