# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 05:37:03 2025
#                        
# Element                            : Cs
# Z                                  : 55
# A                                  : 131
# I                                  : 0
# Half-life                   [days ]: 9.68866 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.509353E+02 
# Emax2 (background)             [eV]: 1.946040E+03 
# Number of resonances (<Emax)       : 92
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 2.994610E+01 
# Ress Int. (n,g) (systematics)  [b.]: 3.432580E+02 
# MACS 30 keV (calculated)       [b.]: 9.589700E-01
# Westcott factor (calculated)       : 1.000470E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.560420E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.510600E+01 
#
# Scattering radius              [fm]: 6.75 +/- 6.75 
#
# Average Gtotal   l=0           [eV]: 1.077820E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 7.977560E-05 
# Average Gg       l=0           [eV]: 1.072900E-01 
# Average level spacing D0 (l=0) [eV]: 2.067610E+00 
# Neutron strength function S0 (l=0) : 1.864000E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.672792E+01      9.346000E-03     0       +2.00      8.761855E-06    0.000000E+00    1.102585E-01    5.263600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.353993E+01      8.708000E-03     0       +2.00      1.916844E-05    0.000000E+00    1.102585E-01    5.263600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.149232E+01      8.298000E-03     0       +2.00      9.650298E-04    1.200000E-05    1.102585E-01    5.263600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.363874E+01      6.728000E-03     0       +2.00      1.110092E-04    1.000000E-06    1.102585E-01    5.263600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.310176E+01      6.620000E-03     0       +2.00      2.638523E-04    3.000000E-06    1.102585E-01    5.263600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.828150E+01      5.656000E-03     0       +2.00      3.209531E-04    4.000000E-06    1.102585E-01    5.263600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.761640E+01      5.523000E-03     0       +2.00      2.298083E-06    0.000000E+00    1.102585E-01    5.263600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.533448E+01      5.067000E-03     0       +2.00      1.492699E-04    2.000000E-06    1.102585E-01    5.263600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.730769E+01      3.462000E-03     0       +2.00      2.425760E-03    2.900000E-05    1.102585E-01    5.263600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.348078E+01      2.696000E-03     0       +2.00      7.540101E-05    1.000000E-06    1.102585E-01    5.263600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.147181E+01      2.294000E-03     0       +2.00      6.725308E-05    1.000000E-06    1.102585E-01    5.263600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.044504E+00      1.809000E-03     0       +2.00      4.430414E-05    1.000000E-06    1.102585E-01    5.263600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.324961E+00      1.465000E-03     0       +2.00      3.842074E-04    5.000000E-06    1.102585E-01    5.263600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.105051E+00      1.221000E-03     0       +2.00      5.449594E-04    7.000000E-06    1.102585E-01    5.263600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.827829E+00      9.660000E-04     0       +2.00      3.573394E-05    0.000000E+00    1.102585E-01    5.263600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.714854E+00      7.430000E-04     0       +2.00      7.845490E-08    0.000000E+00    1.102585E-01    5.263600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.645186E+00      7.290000E-04     0       +2.00      1.305850E-03    1.600000E-05    1.102585E-01    5.263600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -2.848826E+00      5.700000E-04     0       +2.00      2.380882E-04    3.000000E-06    1.102585E-01    5.263600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
