# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 21:23:35 2025
#                        
# Element                            : Cs
# Z                                  : 55
# A                                  : 139
# I                                  : 0
# Half-life                   [min. ]: 9.27 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.414336E+02 
# Emax2 (background)             [eV]: 8.000000E+03 
# Number of resonances (<Emax)       : 45
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 6.310160E+00 
# Ress Int. (n,g) (systematics)  [b.]: 3.462540E+01 
# MACS 30 keV (calculated)       [b.]: 3.588900E-02
# Westcott factor (calculated)       : 9.994400E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 8.288630E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.098040E+02 
#
# Scattering radius              [fm]: 6.88 +/- 6.88 
#
# Average Gtotal   l=0           [eV]: 1.135330E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 7.020850E-03 
# Average Gg       l=0           [eV]: 3.063370E-02 
# Average level spacing D0 (l=0) [eV]: 4.922120E+01 
# Neutron strength function S0 (l=0) : 8.752830E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.701779E+03      3.403560E-01     0       +3.00      2.755551E-02    4.350000E-04    4.029670E-02    2.545400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.679692E+03      3.359380E-01     0       +3.00      8.116546E-02    1.282000E-03    4.029670E-02    2.545400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.407365E+03      2.814730E-01     0       +3.00      1.081712E-02    1.710000E-04    4.029670E-02    2.545400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.341479E+03      2.682960E-01     0       +3.00      6.491286E-02    1.025000E-03    4.029670E-02    2.545400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.132653E+03      2.265310E-01     0       +3.00      4.589776E-03    7.200000E-05    4.029670E-02    2.545400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.091635E+03      2.183270E-01     0       +3.00      7.810162E-03    1.230000E-04    4.029670E-02    2.545400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.775750E+02      1.755150E-01     0       +3.00      3.609408E-03    5.700000E-05    4.029670E-02    2.545400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.597957E+02      1.719590E-01     0       +3.00      2.552535E-02    4.030000E-04    4.029670E-02    2.545400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.455828E+02      1.691170E-01     0       +3.00      1.161987E-03    1.800000E-05    4.029670E-02    2.545400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.079294E+02      1.615860E-01     0       +3.00      3.461134E-02    5.470000E-04    4.029670E-02    2.545400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
