# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 06:30:57 2025
#                        
# Element                            : Cu
# Z                                  : 29
# A                                  : 70
# I                                  : 0
# Half-life                   [sec. ]: 44.5 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 7.295784E+02 
# Emax2 (background)             [eV]: 1.641100E+03 
# Number of resonances (<Emax)       : 35
# Number of resonances (<Emax2)      : 53
# Thermal (n,g) xs (systematics) [b.]: 5.613210E+00 
# Ress Int. (n,g) (systematics)  [b.]: 8.624510E+00 
# MACS 30 keV (calculated)       [b.]: 3.321200E-02
# Westcott factor (calculated)       : 1.001090E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 4.853620E+02 
# Res. Int (n,el) (calculated)   [b.]: 3.008680E+03 
#
# Scattering radius              [fm]: 5.49 +/- 5.49 
#
# Average Gtotal   l=0           [eV]: 3.052960E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 6.105730E+01 
# Average Gg       l=0           [eV]: 4.335600E-02 
# Average level spacing D0 (l=0) [eV]: 7.295780E+02 
# Neutron strength function S0 (l=0) : 3.433380E-02 
#
# Average Gtotal   l=1           [eV]: 6.934430E-02 
# Average reduced (Gn^1) Gn l=1  [eV]: 3.552190E+01 
# Average Gg       l=1           [eV]: 6.926720E-02 
# Average level spacing D1 (l=1) [eV]: 2.431930E+02 
# Neutron strength function S1 (l=1) : 1.212040E-02 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.496504E+03      2.993010E-01     0       +5.50      1.644240E+02    2.072819E+00    5.873591E-02    2.961800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.371866E+03      2.743730E-01     0       +5.50      1.416553E+01    1.785780E-01    5.873591E-02    2.961800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.326828E+03      2.653660E-01     0       +5.50      1.941610E+00    2.447700E-02    5.873591E-02    2.961800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.094865E+03      2.189730E-01     0       +5.50      1.956873E+02    2.466942E+00    5.873591E-02    2.961800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.847801E+02      1.969560E-01     0       +5.50      2.061410E+01    2.598730E-01    5.873591E-02    2.961800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.807557E+02      1.961510E-01     0       +5.50      2.364373E+01    2.980660E-01    5.873591E-02    2.961800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.658755E+02      1.731750E-01     0       +6.50      1.656885E+02    2.088760E+00    4.943041E-02    2.492600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.258591E+02      1.651720E-01     0       +6.50      2.629405E+02    3.314773E+00    4.943041E-02    2.492600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.295784E+02      1.459160E-01     0       +6.50      2.934541E+02    3.699444E+00    4.943041E-02    2.492600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.779893E+02      1.355980E-01     1       +4.50      7.551240E-02    9.520000E-04    7.438813E-02    3.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.569614E+02      1.313920E-01     1       +4.50      1.678244E-03    2.100000E-05    7.438813E-02    3.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.420486E+02      1.284100E-01     1       +4.50      2.346154E-05    0.000000E+00    7.438813E-02    3.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.717048E+02      1.143410E-01     1       +4.50      1.134401E-02    1.430000E-04    7.438813E-02    3.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.254891E+02      1.050980E-01     1       +4.50      3.595808E-01    4.533000E-03    7.438813E-02    3.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.253473E+02      1.050690E-01     1       +4.50      2.074980E-02    2.620000E-04    7.438813E-02    3.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.240531E+02      1.048110E-01     1       +4.50      2.708514E-03    3.400000E-05    7.438813E-02    3.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.753887E+02      9.507800E-02     1       +5.50      1.203454E-01    1.517000E-03    6.316990E-02    3.185400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.302333E+02      8.604700E-02     1       +5.50      1.754657E-03    2.200000E-05    6.316990E-02    3.185400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.284873E+02      8.569700E-02     1       +5.50      5.831278E-05    1.000000E-06    6.316990E-02    3.185400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
