# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 06:33:43 2025
#                        
# Element                            : Cu
# Z                                  : 29
# A                                  : 70
# I                                  : 1
# Half-life                   [sec. ]: 33 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 6.742618E+02 
# Emax2 (background)             [eV]: 1.000000E+03 
# Number of resonances (<Emax)       : 45
# Number of resonances (<Emax2)      : 50
# Thermal (n,g) xs (systematics) [b.]: 2.713280E+00 
# Ress Int. (n,g) (systematics)  [b.]: 1.279390E+02 
# MACS 30 keV (calculated)       [b.]: 5.463800E-02
# Westcott factor (calculated)       : 1.001910E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.484740E+01 
# Res. Int (n,el) (calculated)   [b.]: 3.513380E+02 
#
# Scattering radius              [fm]: 5.49 +/- 5.49 
#
# Average Gtotal   l=0           [eV]: 9.136330E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.135660E+02 
# Average Gg       l=0           [eV]: 8.532920E-02 
# Neutron strength function S0 (l=0) : 8.111840E+01 
#
# Average Gtotal   l=1           [eV]: 8.459440E-02 
# Average reduced (Gn^1) Gn l=1  [eV]: 5.958850E+01 
# Average Gg       l=1           [eV]: 8.458470E-02 
# Average level spacing D1 (l=1) [eV]: 4.214140E+01 
# Neutron strength function S1 (l=1) : 1.012050E-01 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -9.085831E+02      1.817170E-01     0       +2.50      3.046978E+01    3.841190E-01    8.503909E-02    4.288200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.678694E+02      1.735740E-01     0       +2.50      2.249742E+01    2.836150E-01    8.503909E-02    4.288200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.334841E+02      1.666970E-01     0       +3.50      1.585050E+01    1.998200E-01    8.142475E-02    4.105900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.183929E+02      1.636790E-01     0       +3.50      2.627425E+01    3.312280E-01    8.142475E-02    4.105900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.046884E+02      1.609380E-01     0       +3.50      5.350319E+01    6.744910E-01    8.142475E-02    4.105900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.040451E+02      1.608090E-01     0       +3.50      7.126717E-05    1.000000E-06    8.142475E-02    4.105900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.567915E+02      1.513580E-01     0       +3.50      7.808757E+00    9.844100E-02    8.142475E-02    4.105900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.410357E+02      1.482070E-01     0       +3.50      2.405126E+01    3.032030E-01    8.142475E-02    4.105900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.742618E+02      1.348520E-01     0       +3.50      5.758221E+01    7.259130E-01    8.142475E-02    4.105900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.471742E+02      1.294350E-01     1       +1.50      8.556169E-03    1.080000E-04    1.043545E-01    5.262200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.426572E+02      1.285310E-01     1       +1.50      2.968168E-03    3.700000E-05    1.043545E-01    5.262200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.739635E+02      1.147930E-01     1       +1.50      2.395335E-02    3.020000E-04    1.043545E-01    5.262200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.440807E+02      1.088160E-01     1       +2.50      2.695172E-03    3.400000E-05    9.907002E-02    4.995700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.803413E+02      9.606800E-02     1       +2.50      2.258637E-03    2.800000E-05    9.907002E-02    4.995700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.730710E+02      9.461400E-02     1       +2.50      1.893404E-03    2.400000E-05    9.907002E-02    4.995700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.633251E+02      9.266500E-02     1       +2.50      3.245569E-04    4.000000E-06    9.907002E-02    4.995700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.050716E+02      8.101400E-02     1       +2.50      1.444702E-03    1.800000E-05    9.907002E-02    4.995700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.030984E+02      8.062000E-02     1       +2.50      5.660177E-02    7.140000E-04    9.907002E-02    4.995700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.599680E+02      7.199400E-02     1       +3.50      1.847727E-03    2.300000E-05    9.265604E-02    4.672300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.729062E+02      5.458100E-02     1       +3.50      4.275205E-03    5.400000E-05    9.265604E-02    4.672300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.403648E+02      4.807300E-02     1       +3.50      1.098817E-04    1.000000E-06    9.265604E-02    4.672300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.361963E+02      2.723900E-02     1       +3.50      1.857789E-02    2.340000E-04    9.265604E-02    4.672300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.152743E+02      2.305500E-02     1       +4.50      1.129420E-01    1.424000E-03    8.532920E-02    4.302800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -9.397907E+01      1.879600E-02     1       +4.50      2.533649E-03    3.200000E-05    8.532920E-02    4.302800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.545942E+01      1.509200E-02     1       +4.50      2.851594E-05    0.000000E+00    8.532920E-02    4.302800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
