# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 21:09:11 2025
#                        
# Element                            : Dy
# Z                                  : 66
# A                                  : 153
# I                                  : 0
# Half-life                   [hours]: 6.4 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.018414E+01 
# Emax2 (background)             [eV]: 1.884440E+02 
# Number of resonances (<Emax)       : 96
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 8.599410E+01 
# Ress Int. (n,g) (systematics)  [b.]: 2.504690E+03 
# MACS 30 keV (calculated)       [b.]: 7.567800E+00
# Westcott factor (calculated)       : 1.105490E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 6.342710E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.849340E+01 
#
# Scattering radius              [fm]: 7.10 +/- 0.50 
#
# Average Gtotal   l=0           [eV]: 7.335910E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.813090E-07 
# Average Gg       l=0           [eV]: 7.335810E-02 
# Average level spacing D0 (l=0) [eV]: 1.170590E-01 
# Neutron strength function S0 (l=0) : 2.013420E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.340809E+00      2.680000E-04     0       +3.00      3.444972E-08    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.242781E+00      2.490000E-04     0       +3.00      1.943490E-07    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.232745E-01      1.450000E-04     0       +3.00      8.376058E-07    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.567111E-01      9.100000E-05     0       +3.00      2.222214E-06    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.065211E-01      8.100000E-05     0       +3.00      1.639451E-06    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.371084E-01      2.700000E-05     0       +3.00      5.966389E-09    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.768181E-02      8.000000E-06     0       +3.00      2.830866E-07    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.479553E-02      3.000000E-06     0       +3.00      5.504933E-08    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.050639E-01      2.100000E-05     0       +3.00      2.373424E-07    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.371084E-01      2.700000E-05     0       +3.00      3.636001E-07    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.844058E-01      3.700000E-05     0       +3.00      2.039637E-08    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.124349E-01      1.420000E-04     0       +3.00      2.744313E-06    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.802488E-01      1.560000E-04     0       +3.00      1.568991E-06    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.212245E+00      2.420000E-04     0       +3.00      1.256564E-06    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.568681E+00      3.140000E-04     0       +3.00      3.197883E-06    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.757739E+00      3.520000E-04     0       +3.00      6.016763E-07    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.829409E+00      3.660000E-04     0       +3.00      2.887646E-07    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.007953E+00      4.020000E-04     0       +3.00      5.195681E-07    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.082709E+00      4.170000E-04     0       +3.00      1.712498E-07    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.129374E+00      4.260000E-04     0       +3.00      1.092992E-07    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.210444E+00      4.420000E-04     0       +3.00      5.612885E-07    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.497551E+00      5.000000E-04     0       +3.00      7.189991E-08    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.554835E+00      5.110000E-04     0       +3.00      9.055609E-07    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.652391E+00      5.300000E-04     0       +3.00      4.692654E-06    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.771055E+00      5.540000E-04     0       +3.00      1.207130E-07    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.873693E+00      5.750000E-04     0       +3.00      5.226545E-06    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.266907E+00      6.530000E-04     0       +3.00      4.241561E-07    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.548158E+00      7.100000E-04     0       +3.00      2.611168E-06    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.552868E+00      7.110000E-04     0       +3.00      1.066474E-06    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.612154E+00      7.220000E-04     0       +3.00      7.331971E-07    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.640687E+00      7.280000E-04     0       +3.00      1.407752E-06    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.693492E+00      7.390000E-04     0       +3.00      7.326587E-07    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.887848E+00      7.780000E-04     0       +3.00      3.826972E-07    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.134969E+00      8.270000E-04     0       +3.00      1.904150E-06    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.186524E+00      8.370000E-04     0       +3.00      1.135905E-06    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.226174E+00      8.450000E-04     0       +3.00      2.591625E-08    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.252641E+00      8.510000E-04     0       +3.00      1.108867E-09    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.341725E+00      8.680000E-04     0       +3.00      1.096295E-08    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.463204E+00      8.930000E-04     0       +3.00      8.209186E-08    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.667316E+00      9.330000E-04     0       +3.00      1.585364E-07    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.694996E+00      9.390000E-04     0       +3.00      7.822340E-10    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.784664E+00      9.570000E-04     0       +3.00      3.684794E-08    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.810643E+00      9.620000E-04     0       +3.00      2.078347E-07    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.966464E+00      9.930000E-04     0       +3.00      8.955078E-07    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.244767E+00      1.049000E-03     0       +3.00      2.375343E-06    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.282701E+00      1.057000E-03     0       +3.00      1.752241E-06    0.000000E+00    7.487474E-02    3.294600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.341947E+00      1.068000E-03     0       +4.00      7.567227E-07    0.000000E+00    7.220556E-02    3.177100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
