# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:49:50 2025
#                        
# Element                            : Dy
# Z                                  : 66
# A                                  : 172
# I                                  : 0
# Half-life                   [sec. ]: 3.4 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.509986E+03 
# Emax2 (background)             [eV]: 5.000000E+04 
# Number of resonances (<Emax)       : 62
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 7.148330E+00 
# Ress Int. (n,g) (systematics)  [b.]: 7.863260E+01 
# MACS 30 keV (calculated)       [b.]: 2.589200E-02
# Westcott factor (calculated)       : 9.945700E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 7.309820E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.159950E+02 
#
# Scattering radius              [fm]: 7.38 +/- 7.38 
#
# Average Gtotal   l=0           [eV]: 3.106290E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.001960E-04 
# Average Gg       l=0           [eV]: 2.487340E-02 
# Average level spacing D0 (l=0) [eV]: 3.145800E+01 
# Neutron strength function S0 (l=0) : 9.741560E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.921345E+02      9.842700E-02     0       +0.50      9.802346E-05    2.000000E-06    2.487339E-02    1.770000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.768279E+02      7.536600E-02     0       +0.50      3.483897E-02    6.200000E-04    2.487339E-02    1.770000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.765388E+02      7.530800E-02     0       +0.50      4.169781E-04    7.000000E-06    2.487339E-02    1.770000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.708552E+02      7.417100E-02     0       +0.50      5.877458E-03    1.050000E-04    2.487339E-02    1.770000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.681013E+02      5.362000E-02     0       +0.50      2.429068E-04    4.000000E-06    2.487339E-02    1.770000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.644392E+02      5.288800E-02     0       +0.50      1.846077E-03    3.300000E-05    2.487339E-02    1.770000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.067966E+02      4.135900E-02     0       +0.50      2.616212E-05    0.000000E+00    2.487339E-02    1.770000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.678297E+01      1.935700E-02     0       +0.50      3.288771E-03    5.900000E-05    2.487339E-02    1.770000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.766969E+01      1.753400E-02     0       +0.50      4.107222E-03    7.300000E-05    2.487339E-02    1.770000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.659937E+01      1.532000E-02     0       +0.50      7.591964E-03    1.350000E-04    2.487339E-02    1.770000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
