# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 19:12:19 2025
#                        
# Element                            : Er
# Z                                  : 68
# A                                  : 149
# I                                  : 0
# Half-life                   [sec. ]: 4 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.081097E+01 
# Emax2 (background)             [eV]: 9.694940E+01 
# Number of resonances (<Emax)       : 99
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 1.057110E+02 
# Ress Int. (n,g) (systematics)  [b.]: 3.636750E+02 
# MACS 30 keV (calculated)       [b.]: 2.707300E+00
# Westcott factor (calculated)       : 1.084350E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 6.175290E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.509930E+01 
#
# Scattering radius              [fm]: 7.04 +/- 7.04 
#
# Average Gtotal   l=0           [eV]: 2.810920E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.476730E-07 
# Average Gg       l=0           [eV]: 2.810910E-01 
# Average level spacing D0 (l=0) [eV]: 3.461910E-01 
# Neutron strength function S0 (l=0) : 3.635470E-07 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.158754E+00      8.320000E-04     0       +0.00      1.064892E-06    0.000000E+00    2.826482E-01    1.156280E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.446581E+00      6.890000E-04     0       +0.00      9.049285E-07    0.000000E+00    2.826482E-01    1.156280E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.572306E+00      5.140000E-04     0       +0.00      6.890875E-09    0.000000E+00    2.826482E-01    1.156280E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.842280E+00      3.680000E-04     0       +0.00      3.776360E-08    0.000000E+00    2.826482E-01    1.156280E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.725046E+00      3.450000E-04     0       +0.00      3.314726E-08    0.000000E+00    2.826482E-01    1.156280E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.593127E+00      3.190000E-04     0       +0.00      2.887274E-08    0.000000E+00    2.826482E-01    1.156280E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.129046E+00      2.260000E-04     0       +0.00      9.143410E-07    0.000000E+00    2.826482E-01    1.156280E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.352835E-01      1.670000E-04     0       +0.00      5.591687E-08    0.000000E+00    2.826482E-01    1.156280E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.175610E-01      1.040000E-04     0       +0.00      4.384220E-07    0.000000E+00    2.826482E-01    1.156280E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.378096E-01      2.800000E-05     0       +0.00      3.994755E-06    0.000000E+00    2.826482E-01    1.156280E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
