# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 21:14:59 2025
#                        
# Element                            : Er
# Z                                  : 68
# A                                  : 160
# I                                  : 0
# Half-life                   [days ]: 1.19097 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 8.199438E+01 
# Emax2 (background)             [eV]: 3.849000E+03 
# Number of resonances (<Emax)       : 16
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 5.913600E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.215200E+03 
# MACS 30 keV (calculated)       [b.]: 1.755900E+00
# Westcott factor (calculated)       : 1.021800E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.582960E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.801460E+01 
#
# Scattering radius              [fm]: 7.21 +/- 7.21 
#
# Average Gtotal   l=0           [eV]: 6.061910E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.327060E-05 
# Average Gg       l=0           [eV]: 6.047440E-02 
# Average level spacing D0 (l=0) [eV]: 5.466290E+00 
# Neutron strength function S0 (l=0) : 8.443630E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.936503E+00      5.870000E-04     0       +0.50      2.427321E-04    3.000000E-06    6.047443E-02    2.769200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.224762E+00      2.450000E-04     0       +0.50      3.465794E-04    4.000000E-06    6.047443E-02    2.769200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.757225E+00      1.351000E-03     0       +0.50      2.060765E-04    2.000000E-06    6.047443E-02    2.769200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.470685E+01      2.941000E-03     0       +0.50      1.377748E-04    2.000000E-06    6.047443E-02    2.769200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.017636E+01      4.035000E-03     0       +0.50      5.086495E-04    6.000000E-06    6.047443E-02    2.769200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.378476E+01      4.757000E-03     0       +0.50      1.982623E-05    0.000000E+00    6.047443E-02    2.769200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.953770E+01      5.908000E-03     0       +0.50      1.113923E-04    1.000000E-06    6.047443E-02    2.769200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.571881E+01      7.144000E-03     0       +0.50      9.481646E-05    1.000000E-06    6.047443E-02    2.769200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.586061E+01      9.172000E-03     0       +0.50      2.085989E-05    0.000000E+00    6.047443E-02    2.769200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.976101E+01      9.952000E-03     0       +0.50      2.762188E-04    3.000000E-06    6.047443E-02    2.769200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.493266E+01      1.098700E-02     0       +0.50      7.426754E-05    1.000000E-06    6.047443E-02    2.769200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.963223E+01      1.192600E-02     0       +0.50      1.009027E-05    0.000000E+00    6.047443E-02    2.769200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.500057E+01      1.300000E-02     0       +0.50      3.814411E-05    0.000000E+00    6.047443E-02    2.769200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.021648E+01      1.404300E-02     0       +0.50      6.030442E-06    0.000000E+00    6.047443E-02    2.769200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.468715E+01      1.493700E-02     0       +0.50      6.039140E-10    0.000000E+00    6.047443E-02    2.769200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.850631E+01      1.570100E-02     0       +0.50      4.968132E-05    1.000000E-06    6.047443E-02    2.769200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.199438E+01      1.639900E-02     0       +0.50      4.135628E-04    5.000000E-06    6.047443E-02    2.769200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.608877E+01      1.721800E-02     1       +0.50      2.991665E-08    0.000000E+00    6.016792E-02    2.755200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.771007E+01      1.754200E-02     1       +0.50      4.654259E-08    0.000000E+00    6.016792E-02    2.755200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.843468E+01      1.768700E-02     1       +0.50      5.285630E-09    0.000000E+00    6.016792E-02    2.755200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.990070E+01      1.798000E-02     1       +0.50      3.911119E-09    0.000000E+00    6.016792E-02    2.755200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.117368E+01      1.823500E-02     1       +0.50      2.300981E-09    0.000000E+00    6.016792E-02    2.755200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.424702E+01      1.884900E-02     1       +0.50      1.535812E-08    0.000000E+00    6.016792E-02    2.755200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.556966E+01      1.911400E-02     1       +0.50      7.469854E-08    0.000000E+00    6.016792E-02    2.755200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.561523E+01      1.912300E-02     1       +0.50      3.708222E-07    0.000000E+00    6.016792E-02    2.755200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.568480E+01      1.913700E-02     1       +0.50      7.280523E-08    0.000000E+00    6.016792E-02    2.755200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.661729E+01      1.932300E-02     1       +0.50      1.489369E-07    0.000000E+00    6.016792E-02    2.755200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.859103E+01      1.971800E-02     1       +0.50      1.662187E-09    0.000000E+00    6.016792E-02    2.755200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.000044E+02      2.000100E-02     1       +0.50      4.519544E-08    0.000000E+00    6.016792E-02    2.755200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.026547E+02      2.053100E-02     1       +0.50      1.126072E-07    0.000000E+00    6.016792E-02    2.755200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.043467E+02      2.086900E-02     1       +0.50      1.611557E-07    0.000000E+00    6.016792E-02    2.755200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.044492E+02      2.089000E-02     1       +0.50      8.333723E-08    0.000000E+00    6.016792E-02    2.755200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.056062E+02      2.112100E-02     1       +0.50      2.520286E-07    0.000000E+00    6.016792E-02    2.755200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.057512E+02      2.115000E-02     1       +0.50      1.386755E-07    0.000000E+00    6.016792E-02    2.755200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.066911E+02      2.133800E-02     1       +0.50      1.069666E-08    0.000000E+00    6.016792E-02    2.755200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.071669E+02      2.143300E-02     1       +0.50      9.894158E-08    0.000000E+00    6.016792E-02    2.755200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.076329E+02      2.152700E-02     1       +0.50      2.283841E-08    0.000000E+00    6.016792E-02    2.755200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
