# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 01:38:28 2025
#                        
# Element                            : Er
# Z                                  : 68
# A                                  : 167
# I                                  : 1
# Abundancy                       [%]: 22.869
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.536748E+02 
# Emax2 (background)             [eV]: 1.655820E+03 
# Number of resonances (<Emax)       : 99
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 3.983030E+02 
# Ress Int. (n,g) (systematics)  [b.]: 2.046910E+03 
# MACS 30 keV (calculated)       [b.]: 8.097400E-01
# Westcott factor (calculated)       : 9.975700E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 1.154220E+01 
# Res. Int (n,el) (calculated)   [b.]: 1.255570E+03 
#
# Scattering radius              [fm]: 7.31 +/- 7.31 
#
# Average Gtotal   l=0           [eV]: 1.405870E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.698850E-03 
# Average Gg       l=0           [eV]: 1.284870E-01 
# Average level spacing D0 (l=0) [eV]: 3.019940E+00 
# Neutron strength function S0 (l=0) : 2.169690E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -5.665663E+01      1.133100E-02     0       +0.00      1.303483E-02    1.780000E-04    1.238340E-01    6.780900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.204249E+01      1.040800E-02     0       +0.00      7.899579E-04    1.100000E-05    1.238340E-01    6.780900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.124830E+01      8.250000E-03     0       +0.00      1.554612E-03    2.100000E-05    1.238340E-01    6.780900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.196156E+01      6.392000E-03     0       +0.00      1.349911E-03    1.800000E-05    1.238340E-01    6.780900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.285438E+01      4.571000E-03     0       +0.00      1.264354E-05    0.000000E+00    1.238340E-01    6.780900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.813600E+01      3.627000E-03     0       +0.00      4.861042E-04    7.000000E-06    1.238340E-01    6.780900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.601563E+01      3.203000E-03     0       +0.00      5.174719E-03    7.100000E-05    1.238340E-01    6.780900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.180982E+01      2.362000E-03     0       +0.00      1.069003E-03    1.500000E-05    1.238340E-01    6.780900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.718027E+00      1.944000E-03     0       +0.00      5.074593E-02    6.950000E-04    1.238340E-01    6.780900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.380991E+00      1.676000E-03     0       +0.00      1.161119E-01    1.590000E-03    1.238340E-01    6.780900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.095504E+00      1.219000E-03     0       +0.00      2.288629E-05    0.000000E+00    1.238340E-01    6.780900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -5.623789E+00      1.125000E-03     0       +0.00      3.314639E-04    5.000000E-06    1.238340E-01    6.780900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
