# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 00:43:39 2025
#                        
# Element                            : Er
# Z                                  : 68
# A                                  : 172
# I                                  : 0
# Half-life                   [days ]: 2.0544 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.400000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 92
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 1.457250E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.401010E+01 
# MACS 30 keV (calculated)       [b.]: 1.105300E-01
# Westcott factor (calculated)       : 9.997400E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 1.314990E+01 
# Res. Int (n,el) (calculated)   [b.]: 8.477470E+01 
#
# Scattering radius              [fm]: 7.70 +/- 7.70 
#
# Average Gtotal   l=0           [eV]: 1.175650E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.419350E-03 
# Average Gg       l=0           [eV]: 8.453800E-02 
# Average level spacing D0 (l=0) [eV]: 1.272730E+02 
# Neutron strength function S0 (l=0) : 1.216590E-05 
#
# Average Gtotal   l=1           [eV]: 4.401600E-02 
# Average reduced (Gn^1) Gn l=1  [eV]: 9.221530E-04 
# Average Gg       l=1           [eV]: 4.397270E-02 
# Average level spacing D1 (l=1) [eV]: 4.827590E+01 
# Neutron strength function S1 (l=1) : 9.602660E-06 
#
# Average Gtotal   l=2           [eV]: 3.346320E-02 
# Average reduced (Gn^2) Gn l=2  [eV]: 1.381350E-02 
# Average Gg       l=2           [eV]: 3.346280E-02 
# Average level spacing D2 (l=2) [eV]: 3.783780E+01 
# Neutron strength function S2 (l=2) : 2.075710E-04 
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.804368E+02      8.903000E-02     1       +0.50      0.000000E+00    0.000000E+00    8.453800E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.581541E+02      8.195600E-02     0       +0.50      7.564600E-02    6.000000E-04    8.453800E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.163836E+02      6.869500E-02     2       +1.50      0.000000E+00    0.000000E+00    3.368800E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.618021E+02      5.136700E-02     1       +1.50      0.000000E+00    0.000000E+00    3.369000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.443635E+02      4.583100E-02     1       +1.50      2.000000E-06    0.000000E+00    3.369000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -6.900257E+01      2.190600E-02     1       +0.50      2.000000E-06    0.000000E+00    6.453800E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -6.769337E+01      2.149100E-02     2       +2.50      0.000000E+00    0.000000E+00    3.331600E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -6.147840E+01      1.951800E-02     0       +0.50      8.408000E-03    6.700000E-05    8.453800E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.714698E+01      1.179300E-02     1       +1.50      0.000000E+00    0.000000E+00    3.369000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.468776E+01      1.101200E-02     2       +2.50      0.000000E+00    0.000000E+00    3.331600E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.211976E+01      1.019700E-02     1       +0.50      0.000000E+00    0.000000E+00    6.453800E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
