# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 01:34:40 2025
#                        
# Element                            : Er
# Z                                  : 68
# A                                  : 179
# I                                  : 0
# Half-life                   [sec. ]: 3 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 6.601560E+02 
# Emax2 (background)             [eV]: 1.836540E+04 
# Number of resonances (<Emax)       : 93
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 1.040470E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.636700E+02 
# MACS 30 keV (calculated)       [b.]: 5.161700E-02
# Westcott factor (calculated)       : 1.000980E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 4.826640E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.695970E+03 
#
# Scattering radius              [fm]: 7.48 +/- 7.48 
#
# Average Gtotal   l=0           [eV]: 2.778760E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.673250E-02 
# Average Gg       l=0           [eV]: 1.318570E-02 
# Average level spacing D0 (l=0) [eV]: 1.138200E+01 
# Neutron strength function S0 (l=0) : 7.627380E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.324915E+02      8.649800E-02     0       +6.00      7.972987E-02    1.458000E-03    1.426389E-02    1.043000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.897913E+02      7.795800E-02     0       +6.00      4.173719E-01    7.630000E-03    1.426389E-02    1.043000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.798606E+02      7.597200E-02     0       +6.00      3.717079E-01    6.795000E-03    1.426389E-02    1.043000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.750505E+02      7.501000E-02     0       +6.00      3.237172E-01    5.918000E-03    1.426389E-02    1.043000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.682063E+02      7.364100E-02     0       +6.00      5.953880E-01    1.088400E-02    1.426389E-02    1.043000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.597087E+02      7.194200E-02     0       +6.00      5.826515E-02    1.065000E-03    1.426389E-02    1.043000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.448831E+02      6.897700E-02     0       +6.00      1.181990E-01    2.161000E-03    1.426389E-02    1.043000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.233479E+02      6.467000E-02     0       +6.00      5.433714E-04    1.000000E-05    1.426389E-02    1.043000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.214851E+02      6.429700E-02     0       +6.00      6.545836E-01    1.196600E-02    1.426389E-02    1.043000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.864827E+02      5.729700E-02     0       +6.00      6.977353E-02    1.276000E-03    1.426389E-02    1.043000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
