# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 19:01:02 2025
#                        
# Element                            : Es
# Z                                  : 99
# A                                  : 245
# I                                  : 0
# Half-life                   [min. ]: 1.11 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.364080E+00 
# Emax2 (background)             [eV]: 7.000000E+00 
# Number of resonances (<Emax)       : 99
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 1.122090E+02 
# Ress Int. (n,g) (systematics)  [b.]: 8.158230E+02 
# MACS 30 keV (calculated)       [b.]: 3.912300E+00
# Westcott factor (calculated)       : 3.140850E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 8.256440E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.938990E+02 
#
# Thermal  (n,f) xs              [b.]: 1.963010E+02 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 4.384460E+02
#
# Scattering radius              [fm]: 8.29 +/- 8.29 
#
# Average Gtotal   l=0           [eV]: 2.454100E-04 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.336590E-05 
# Average Gg       l=0           [eV]: 9.585250E-05 
# Average level spacing D0 (l=0) [eV]: 3.617280E-02 
# Neutron strength function S0 (l=0) : 1.780920E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.220689E-01      6.400000E-05     0       +3.00      1.075689E-05    0.000000E+00    9.678752E-05    5.500000E-05    +2.733831E-05   1.600000E-05    +0.000000E+00   0.000000E+00      hfr  
  -2.967432E-01      5.900000E-05     0       +3.00      1.212207E-06    0.000000E+00    9.678752E-05    5.500000E-05    +2.237499E-04   1.270000E-04    +0.000000E+00   0.000000E+00      hfr  
  -1.801097E-01      3.600000E-05     0       +3.00      7.201476E-07    0.000000E+00    9.678752E-05    5.500000E-05    +4.918182E-04   2.800000E-04    +0.000000E+00   0.000000E+00      hfr  
  -1.192386E-01      2.400000E-05     0       +3.00      6.634083E-07    0.000000E+00    9.678752E-05    5.500000E-05    +1.570514E-04   8.900000E-05    +0.000000E+00   0.000000E+00      hfr  
  -1.514505E-02      3.000000E-06     0       +3.00      8.545658E-06    0.000000E+00    9.678752E-05    5.500000E-05    +8.338764E-05   4.700000E-05    +0.000000E+00   0.000000E+00      hfr  
  -9.408509E-05      0.000000E+00     0       +3.00      2.172621E-08    0.000000E+00    9.678752E-05    5.500000E-05    +7.283138E-05   4.100000E-05    +0.000000E+00   0.000000E+00     radiator 
  +1.424099E-02      3.000000E-06     0       +3.00      8.650583E-07    0.000000E+00    9.678752E-05    5.500000E-05    +1.220814E-04   6.900000E-05    +0.000000E+00   0.000000E+00      hfr  
  +3.501714E-02      7.000000E-06     0       +3.00      6.095036E-06    0.000000E+00    9.678752E-05    5.500000E-05    +2.528546E-04   1.440000E-04    +0.000000E+00   0.000000E+00      hfr  
  +5.506925E-02      1.100000E-05     0       +3.00      3.947028E-05    1.000000E-06    9.678752E-05    5.500000E-05    +5.424809E-05   3.100000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.045774E-01      2.100000E-05     0       +3.00      1.802388E-06    0.000000E+00    9.678752E-05    5.500000E-05    +3.672546E-05   2.100000E-05    +0.000000E+00   0.000000E+00      hfr  
  +2.007830E-01      4.000000E-05     0       +3.00      8.341410E-07    0.000000E+00    9.678752E-05    5.500000E-05    +6.493661E-05   3.700000E-05    +0.000000E+00   0.000000E+00      hfr  
  +2.466026E-01      4.900000E-05     0       +3.00      3.721081E-06    0.000000E+00    9.678752E-05    5.500000E-05    +1.848757E-04   1.050000E-04    +0.000000E+00   0.000000E+00      hfr  
  +3.726885E-01      7.500000E-05     0       +3.00      3.139821E-06    0.000000E+00    9.678752E-05    5.500000E-05    +8.884107E-07   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
