# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:50:24 2025
#                        
# Element                            : Es
# Z                                  : 99
# A                                  : 247
# I                                  : 0
# Half-life                   [min. ]: 4.55 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.126293E+00 
# Emax2 (background)             [eV]: 1.000000E+01 
# Number of resonances (<Emax)       : 100
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 1.253730E+02 
# Ress Int. (n,g) (systematics)  [b.]: 1.330460E+03 
# MACS 30 keV (calculated)       [b.]: 3.767800E+00
# Westcott factor (calculated)       : 6.886000E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 1.235410E+01 
# Res. Int (n,el) (calculated)   [b.]: 1.325990E+02 
#
# Thermal  (n,f) xs              [b.]: 6.175740E+01 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 1.635510E+02
#
# Scattering radius              [fm]: 8.32 +/- 8.32 
#
# Average Gtotal   l=0           [eV]: 7.888220E-04 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.773440E-05 
# Average Gg       l=0           [eV]: 6.341940E-04 
# Average level spacing D0 (l=0) [eV]: 4.389660E-02 
# Neutron strength function S0 (l=0) : 1.966260E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.390759E-01      4.800000E-05     0       +3.00      1.253743E-06    0.000000E+00    6.404382E-04    3.800000E-04    +2.783404E-05   1.700000E-05    +0.000000E+00   0.000000E+00      hfr  
  -2.347243E-01      4.700000E-05     0       +3.00      3.757745E-06    0.000000E+00    6.404382E-04    3.800000E-04    +5.053485E-05   3.000000E-05    +0.000000E+00   0.000000E+00      hfr  
  -1.508906E-01      3.000000E-05     0       +3.00      2.114252E-08    0.000000E+00    6.404382E-04    3.800000E-04    +1.264975E-04   7.500000E-05    +0.000000E+00   0.000000E+00      hfr  
  -6.460118E-02      1.300000E-05     0       +3.00      3.823296E-07    0.000000E+00    6.404382E-04    3.800000E-04    +7.333566E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.766831E-04      0.000000E+00     0       +3.00      1.146517E-06    0.000000E+00    6.404382E-04    3.800000E-04    +3.218577E-04   1.910000E-04    +0.000000E+00   0.000000E+00     radiator 
  +4.876491E-02      1.000000E-05     0       +3.00      1.117987E-07    0.000000E+00    6.404382E-04    3.800000E-04    +1.063860E-04   6.300000E-05    +0.000000E+00   0.000000E+00      hfr  
  +2.392710E-01      4.800000E-05     0       +3.00      1.209847E-05    0.000000E+00    6.404382E-04    3.800000E-04    +4.318142E-05   2.600000E-05    +0.000000E+00   0.000000E+00      hfr  
  +3.489641E-01      7.000000E-05     0       +3.00      3.011214E-07    0.000000E+00    6.404382E-04    3.800000E-04    +2.345029E-04   1.390000E-04    +0.000000E+00   0.000000E+00      hfr  
  +4.088783E-01      8.200000E-05     0       +3.00      4.704059E-06    0.000000E+00    6.404382E-04    3.800000E-04    +3.809028E-05   2.300000E-05    +0.000000E+00   0.000000E+00      hfr  
  +4.522456E-01      9.000000E-05     0       +3.00      8.591468E-06    0.000000E+00    6.404382E-04    3.800000E-04    +1.641717E-04   9.700000E-05    +0.000000E+00   0.000000E+00      hfr  
  +4.765063E-01      9.500000E-05     0       +3.00      6.915587E-05    1.000000E-06    6.404382E-04    3.800000E-04    +1.928497E-04   1.140000E-04    +0.000000E+00   0.000000E+00      hfr  
  +5.042172E-01      1.010000E-04     0       +3.00      1.412947E-06    0.000000E+00    6.404382E-04    3.800000E-04    +1.031936E-05   6.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +6.005921E-01      1.200000E-04     0       +3.00      2.695156E-06    0.000000E+00    6.404382E-04    3.800000E-04    +8.695359E-06   5.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +6.149365E-01      1.230000E-04     0       +3.00      2.546171E-05    0.000000E+00    6.404382E-04    3.800000E-04    +5.502291E-06   3.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +6.548604E-01      1.310000E-04     0       +3.00      5.188467E-06    0.000000E+00    6.404382E-04    3.800000E-04    +1.753052E-04   1.040000E-04    +0.000000E+00   0.000000E+00      hfr  
  +6.915733E-01      1.380000E-04     0       +3.00      1.483010E-05    0.000000E+00    6.404382E-04    3.800000E-04    +3.771469E-04   2.240000E-04    +0.000000E+00   0.000000E+00      hfr  
  +7.365180E-01      1.470000E-04     0       +3.00      1.388215E-05    0.000000E+00    6.404382E-04    3.800000E-04    +1.002538E-04   5.900000E-05    +0.000000E+00   0.000000E+00      hfr  
  +8.033774E-01      1.610000E-04     0       +3.00      9.515796E-07    0.000000E+00    6.404382E-04    3.800000E-04    +2.535106E-04   1.500000E-04    +0.000000E+00   0.000000E+00      hfr  
  +8.417267E-01      1.680000E-04     0       +3.00      2.221786E-05    0.000000E+00    6.404382E-04    3.800000E-04    +6.681789E-05   4.000000E-05    +0.000000E+00   0.000000E+00      hfr  
  +9.316556E-01      1.860000E-04     0       +3.00      2.140742E-05    0.000000E+00    6.404382E-04    3.800000E-04    +1.809557E-04   1.070000E-04    +0.000000E+00   0.000000E+00      hfr  
  +9.757918E-01      1.950000E-04     0       +3.00      2.721894E-06    0.000000E+00    6.404382E-04    3.800000E-04    +1.519602E-04   9.000000E-05    +0.000000E+00   0.000000E+00      hfr  
  +9.863626E-01      1.970000E-04     0       +3.00      2.229734E-06    0.000000E+00    6.404382E-04    3.800000E-04    +9.517337E-05   5.600000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.059540E+00      2.120000E-04     0       +3.00      6.669806E-07    0.000000E+00    6.404382E-04    3.800000E-04    +3.042331E-04   1.800000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.148372E+00      2.300000E-04     0       +3.00      3.052023E-08    0.000000E+00    6.404382E-04    3.800000E-04    +2.364205E-05   1.400000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.152583E+00      2.310000E-04     0       +3.00      2.477573E-05    0.000000E+00    6.404382E-04    3.800000E-04    +7.777000E-05   4.600000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.189990E+00      2.380000E-04     0       +3.00      4.881314E-05    1.000000E-06    6.404382E-04    3.800000E-04    +2.289087E-05   1.400000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.209390E+00      2.420000E-04     0       +3.00      1.016094E-08    0.000000E+00    6.404382E-04    3.800000E-04    +8.118123E-05   4.800000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.255410E+00      2.510000E-04     0       +3.00      9.825882E-06    0.000000E+00    6.404382E-04    3.800000E-04    +6.324665E-05   3.800000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.307839E+00      2.620000E-04     0       +3.00      8.596030E-06    0.000000E+00    6.404382E-04    3.800000E-04    +5.143748E-05   3.100000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.360111E+00      2.720000E-04     0       +3.00      7.020718E-05    1.000000E-06    6.404382E-04    3.800000E-04    +2.782723E-04   1.650000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.378750E+00      2.760000E-04     0       +3.00      8.893898E-05    1.000000E-06    6.404382E-04    3.800000E-04    +3.894570E-05   2.300000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.477344E+00      2.950000E-04     0       +3.00      1.841709E-07    0.000000E+00    6.404382E-04    3.800000E-04    +9.286196E-04   5.510000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.518363E+00      3.040000E-04     0       +3.00      1.548282E-05    0.000000E+00    6.404382E-04    3.800000E-04    +3.359547E-05   2.000000E-05    +0.000000E+00   0.000000E+00      hfr  
