# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 01:41:08 2025
#                        
# Element                            : Eu
# Z                                  : 63
# A                                  : 135
# I                                  : 0
# Half-life                   [sec. ]: 1.5 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.503386E+00 
# Emax2 (background)             [eV]: 7.584440E+01 
# Number of resonances (<Emax)       : 94
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 1.382560E+02 
# Ress Int. (n,g) (systematics)  [b.]: 6.310370E+01 
# MACS 30 keV (calculated)       [b.]: 2.566900E-01
# Westcott factor (calculated)       : 9.849700E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 5.806110E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.345590E+01 
#
# Scattering radius              [fm]: 6.81 +/- 6.81 
#
# Average Gtotal   l=0           [eV]: 2.503790E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.097550E-07 
# Average Gg       l=0           [eV]: 2.503780E-01 
# Average level spacing D0 (l=0) [eV]: 6.325720E-02 
# Neutron strength function S0 (l=0) : 2.275090E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.035990E-01      8.100000E-05     0       +1.00      4.158957E-08    0.000000E+00    2.525575E-01    1.022680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.235905E-01      6.500000E-05     0       +1.00      3.463332E-08    0.000000E+00    2.525575E-01    1.022680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.377642E-01      2.800000E-05     0       +1.00      9.019721E-08    0.000000E+00    2.525575E-01    1.022680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.896256E-02      1.600000E-05     0       +1.00      4.415386E-07    0.000000E+00    2.525575E-01    1.022680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.213825E-02      1.000000E-05     0       +1.00      3.007901E-07    0.000000E+00    2.525575E-01    1.022680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -4.800057E-02      1.000000E-05     0       +1.00      3.619195E-07    0.000000E+00    2.525575E-01    1.022680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.297768E-02      5.000000E-06     0       +1.00      6.694309E-08    0.000000E+00    2.525575E-01    1.022680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.213825E-02      1.000000E-05     0       +1.00      6.200433E-08    0.000000E+00    2.525575E-01    1.022680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.556882E-01      3.100000E-05     0       +1.00      2.341307E-07    0.000000E+00    2.525575E-01    1.022680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.779135E-01      3.600000E-05     0       +1.00      1.794878E-07    0.000000E+00    2.525575E-01    1.022680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.690774E-01      5.400000E-05     0       +1.00      3.272566E-07    0.000000E+00    2.525575E-01    1.022680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.274799E-01      6.500000E-05     0       +1.00      3.639144E-06    0.000000E+00    2.525575E-01    1.022680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.837667E-01      7.700000E-05     0       +1.00      3.005130E-10    0.000000E+00    2.525575E-01    1.022680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.277487E-01      1.260000E-04     0       +1.00      1.051431E-09    0.000000E+00    2.525575E-01    1.022680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.836282E-01      1.370000E-04     0       +1.00      4.402414E-07    0.000000E+00    2.525575E-01    1.022680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.399516E-01      1.480000E-04     0       +1.00      2.690452E-09    0.000000E+00    2.525575E-01    1.022680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
