# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 01:37:51 2025
#                        
# Element                            : Eu
# Z                                  : 63
# A                                  : 142
# I                                  : 0
# Half-life                   [sec. ]: 2.36 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 8.937160E+00 
# Emax2 (background)             [eV]: 1.244870E+02 
# Number of resonances (<Emax)       : 92
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 1.250490E+02 
# Ress Int. (n,g) (systematics)  [b.]: 8.854910E+02 
# MACS 30 keV (calculated)       [b.]: 5.004700E+00
# Westcott factor (calculated)       : 9.726200E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 6.049540E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.679390E+01 
#
# Scattering radius              [fm]: 6.93 +/- 6.93 
#
# Average Gtotal   l=0           [eV]: 2.041980E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 6.657110E-07 
# Average Gg       l=0           [eV]: 2.041970E-01 
# Average level spacing D0 (l=0) [eV]: 1.015590E-01 
# Neutron strength function S0 (l=0) : 2.949220E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -7.199404E-01      1.440000E-04     0       +0.50      6.543230E-06    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.177268E-01      8.400000E-05     0       +0.50      4.570492E-07    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.857321E-01      3.700000E-05     0       +0.50      2.214110E-07    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.036880E-01      2.100000E-05     0       +0.50      2.285694E-06    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +3.210018E-02      6.000000E-06     0       +0.50      7.100362E-08    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.535806E-02      1.700000E-05     0       +0.50      2.540151E-08    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.036880E-01      2.100000E-05     0       +0.50      5.003764E-07    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +2.532941E-01      5.100000E-05     0       +0.50      1.443407E-07    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.342769E-01      6.700000E-05     0       +0.50      9.698081E-09    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.115122E+00      2.230000E-04     0       +0.50      1.300210E-06    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.144642E+00      2.290000E-04     0       +0.50      5.922270E-07    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.197536E+00      2.400000E-04     0       +0.50      3.261323E-06    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.415460E+00      2.830000E-04     0       +0.50      1.537345E-06    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.590451E+00      3.180000E-04     0       +0.50      4.219374E-06    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.669587E+00      3.340000E-04     0       +0.50      6.089323E-08    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.879464E+00      3.760000E-04     0       +0.50      2.172743E-08    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.893838E+00      3.790000E-04     0       +0.50      2.819055E-06    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.004811E+00      4.010000E-04     0       +0.50      1.190157E-07    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.011757E+00      4.020000E-04     0       +0.50      1.823710E-06    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.137532E+00      4.280000E-04     0       +0.50      4.715667E-06    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.380080E+00      4.760000E-04     0       +0.50      3.247867E-07    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.426197E+00      4.850000E-04     0       +0.50      1.071280E-11    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.620896E+00      5.240000E-04     0       +0.50      2.687325E-06    0.000000E+00    2.055345E-01    8.618700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
