# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 21:32:45 2025
#                        
# Element                            : Eu
# Z                                  : 63
# A                                  : 143
# I                                  : 0
# Half-life                   [min. ]: 2.59 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.299074E+01 
# Emax2 (background)             [eV]: 1.821730E+02 
# Number of resonances (<Emax)       : 93
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 8.646740E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.196620E+03 
# MACS 30 keV (calculated)       [b.]: 6.869500E+00
# Westcott factor (calculated)       : 1.021160E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 6.018010E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.918200E+01 
#
# Scattering radius              [fm]: 6.94 +/- 6.94 
#
# Average Gtotal   l=0           [eV]: 1.946420E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.917840E-07 
# Average Gg       l=0           [eV]: 1.946420E-01 
# Average level spacing D0 (l=0) [eV]: 1.546520E-01 
# Neutron strength function S0 (l=0) : 8.865320E-07 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.323275E+00      4.650000E-04     0       +2.00      7.998024E-08    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.244112E+00      4.490000E-04     0       +2.00      6.091804E-09    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.845633E+00      3.690000E-04     0       +2.00      2.929665E-06    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.139704E+00      2.280000E-04     0       +2.00      9.147846E-07    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.647543E-01      1.930000E-04     0       +2.00      4.127863E-08    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.092207E-01      1.220000E-04     0       +2.00      5.339618E-08    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.518393E-01      7.000000E-05     0       +2.00      1.811523E-07    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.018154E-01      4.000000E-05     0       +2.00      2.708800E-12    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.736756E-02      1.100000E-05     0       +2.00      1.238850E-07    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.993658E-02      1.200000E-05     0       +2.00      3.932227E-07    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.018154E-01      4.000000E-05     0       +2.00      1.062126E-07    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.027505E-01      6.100000E-05     0       +2.00      2.338623E-06    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.301611E-01      6.600000E-05     0       +2.00      7.507209E-07    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.071777E-01      8.100000E-05     0       +2.00      3.348006E-08    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.042355E-01      1.810000E-04     0       +2.00      1.396148E-06    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.183292E+00      2.370000E-04     0       +2.00      1.441742E-06    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.358868E+00      2.720000E-04     0       +2.00      2.438335E-07    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.767450E+00      3.530000E-04     0       +2.00      2.456034E-07    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.844897E+00      3.690000E-04     0       +2.00      4.296333E-09    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.875695E+00      3.750000E-04     0       +2.00      5.321966E-07    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.944762E+00      3.890000E-04     0       +2.00      1.635694E-07    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.098468E+00      4.200000E-04     0       +2.00      9.601015E-07    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.105636E+00      4.210000E-04     0       +2.00      6.784737E-07    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.200580E+00      4.400000E-04     0       +2.00      1.047718E-07    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.261495E+00      4.520000E-04     0       +2.00      6.616806E-08    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.509664E+00      5.020000E-04     0       +2.00      5.599447E-07    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.658623E+00      5.320000E-04     0       +2.00      1.106081E-06    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.048943E+00      6.100000E-04     0       +2.00      7.678357E-07    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.178845E+00      6.360000E-04     0       +2.00      2.018756E-06    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.608748E+00      7.220000E-04     0       +2.00      1.150368E-08    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.692054E+00      7.380000E-04     0       +2.00      3.931869E-07    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.840463E+00      7.680000E-04     0       +2.00      2.010578E-07    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.943093E+00      7.890000E-04     0       +2.00      2.609886E-08    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.371518E+00      8.740000E-04     0       +2.00      2.290803E-09    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.462897E+00      8.930000E-04     0       +2.00      1.991309E-08    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.005247E+00      1.001000E-03     0       +2.00      4.674810E-07    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.023938E+00      1.005000E-03     0       +2.00      2.966420E-07    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.112366E+00      1.022000E-03     0       +2.00      3.621917E-07    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.181162E+00      1.036000E-03     0       +2.00      8.933749E-08    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.270413E+00      1.054000E-03     0       +2.00      6.795975E-09    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.470467E+00      1.094000E-03     0       +2.00      3.265829E-06    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.580594E+00      1.116000E-03     0       +2.00      1.019131E-06    0.000000E+00    1.975891E-01    8.362800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.685238E+00      1.137000E-03     0       +3.00      3.064402E-09    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.762215E+00      1.152000E-03     0       +3.00      1.206453E-06    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.939360E+00      1.188000E-03     0       +3.00      1.523392E-08    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.152767E+00      1.231000E-03     0       +3.00      6.417956E-07    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.306938E+00      1.261000E-03     0       +3.00      2.269463E-08    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.490375E+00      1.298000E-03     0       +3.00      4.054600E-12    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.786338E+00      1.357000E-03     0       +3.00      8.978823E-09    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.818042E+00      1.364000E-03     0       +3.00      7.560001E-08    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.867100E+00      1.373000E-03     0       +3.00      2.045374E-07    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.242280E+00      1.448000E-03     0       +3.00      3.377589E-07    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.286349E+00      1.457000E-03     0       +3.00      1.195087E-08    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.460020E+00      1.492000E-03     0       +3.00      9.758299E-08    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.567559E+00      1.514000E-03     0       +3.00      3.971525E-07    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.137349E+00      1.627000E-03     0       +3.00      1.652989E-06    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.176005E+00      1.635000E-03     0       +3.00      4.917769E-07    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.220350E+00      1.644000E-03     0       +3.00      5.018449E-07    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.519870E+00      1.704000E-03     0       +3.00      3.846465E-08    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.554629E+00      1.711000E-03     0       +3.00      2.165796E-06    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.899777E+00      1.780000E-03     0       +3.00      9.970022E-07    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.077829E+00      1.816000E-03     0       +3.00      4.419311E-07    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.217524E+00      1.844000E-03     0       +3.00      2.304283E-07    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.246173E+00      1.849000E-03     0       +3.00      3.066235E-07    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.330456E+00      1.866000E-03     0       +3.00      5.284636E-09    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.379629E+00      1.876000E-03     0       +3.00      7.016740E-08    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.664900E+00      1.933000E-03     0       +3.00      7.868702E-07    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.733226E+00      1.947000E-03     0       +3.00      9.593612E-07    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.932622E+00      1.987000E-03     0       +3.00      1.990104E-09    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.019722E+01      2.039000E-03     0       +3.00      2.983433E-07    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.020068E+01      2.040000E-03     0       +3.00      8.334224E-07    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.056215E+01      2.112000E-03     0       +3.00      6.616649E-08    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.058372E+01      2.117000E-03     0       +3.00      2.373998E-08    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.058504E+01      2.117000E-03     0       +3.00      2.792835E-07    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.070580E+01      2.141000E-03     0       +3.00      1.242856E-06    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.071126E+01      2.142000E-03     0       +3.00      3.284539E-08    0.000000E+00    1.927712E-01    8.158900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
