# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 01:28:31 2025
#                        
# Element                            : Eu
# Z                                  : 63
# A                                  : 144
# I                                  : 0
# Half-life                   [sec. ]: 10.2 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.350613E+01 
# Emax2 (background)             [eV]: 1.418530E+02 
# Number of resonances (<Emax)       : 78
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 7.923220E+01 
# Ress Int. (n,g) (systematics)  [b.]: 9.092240E+02 
# MACS 30 keV (calculated)       [b.]: 4.978500E+00
# Westcott factor (calculated)       : 1.016600E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.920910E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.272220E+01 
#
# Scattering radius              [fm]: 6.96 +/- 6.96 
#
# Average Gtotal   l=0           [eV]: 2.071360E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.124020E-05 
# Average Gg       l=0           [eV]: 2.071060E-01 
# Average level spacing D0 (l=0) [eV]: 3.561530E-01 
# Neutron strength function S0 (l=0) : 1.463990E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -5.868319E+00      1.174000E-03     0       +0.50      9.795065E-05    1.000000E-06    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.053301E+00      1.011000E-03     0       +0.50      2.846707E-05    0.000000E+00    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.664095E+00      9.330000E-04     0       +0.50      8.588274E-05    1.000000E-06    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.859057E+00      7.720000E-04     0       +0.50      2.426038E-05    0.000000E+00    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.589976E+00      5.180000E-04     0       +0.50      1.537540E-05    0.000000E+00    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.493685E+00      4.990000E-04     0       +0.50      1.097426E-07    0.000000E+00    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.780245E+00      3.560000E-04     0       +0.50      5.719298E-05    1.000000E-06    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.145014E+00      2.290000E-04     0       +0.50      1.717905E-05    0.000000E+00    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.152182E-01      1.630000E-04     0       +0.50      7.755212E-06    0.000000E+00    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.787360E-01      1.360000E-04     0       +0.50      3.087215E-06    0.000000E+00    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.715714E-01      9.400000E-05     0       +0.50      1.067511E-05    0.000000E+00    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +4.715714E-01      9.400000E-05     0       +0.50      1.259122E-05    0.000000E+00    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.109599E+00      2.220000E-04     0       +0.50      2.675532E-05    0.000000E+00    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.374323E+00      2.750000E-04     0       +0.50      9.959068E-08    0.000000E+00    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.510668E+00      3.020000E-04     0       +0.50      8.975900E-05    1.000000E-06    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.750715E+00      5.500000E-04     0       +0.50      5.098126E-06    0.000000E+00    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.939971E+00      5.880000E-04     0       +0.50      4.614435E-05    0.000000E+00    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.419625E+00      6.840000E-04     0       +0.50      6.759090E-06    0.000000E+00    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.561503E+00      7.120000E-04     0       +0.50      2.578921E-06    0.000000E+00    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.214127E+00      8.430000E-04     0       +0.50      2.854791E-04    3.000000E-06    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.363153E+00      8.730000E-04     0       +0.50      7.157942E-05    1.000000E-06    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.706959E+00      9.410000E-04     0       +0.50      4.996829E-05    1.000000E-06    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.079558E+00      1.016000E-03     0       +0.50      8.630220E-07    0.000000E+00    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.438782E+00      1.088000E-03     0       +0.50      1.396982E-06    0.000000E+00    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.891835E+00      1.178000E-03     0       +0.50      1.461495E-04    2.000000E-06    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.343696E+00      1.269000E-03     0       +0.50      4.119658E-05    0.000000E+00    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.419585E+00      1.284000E-03     0       +0.50      1.217210E-04    1.000000E-06    2.092399E-01    8.952800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.454957E+00      1.291000E-03     0       +1.50      1.247900E-05    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.675603E+00      1.335000E-03     0       +1.50      8.862178E-06    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.219573E+00      1.444000E-03     0       +1.50      2.805025E-05    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.748249E+00      1.550000E-03     0       +1.50      1.291604E-06    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.748308E+00      1.550000E-03     0       +1.50      5.142529E-06    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.638994E+00      1.728000E-03     0       +1.50      2.066229E-06    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.969755E+00      1.794000E-03     0       +1.50      2.206193E-05    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.272368E+00      1.854000E-03     0       +1.50      8.551066E-05    1.000000E-06    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.920058E+00      1.984000E-03     0       +1.50      1.117740E-05    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.002806E+01      2.006000E-03     0       +1.50      6.191702E-05    1.000000E-06    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.020553E+01      2.041000E-03     0       +1.50      5.185821E-07    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.029402E+01      2.059000E-03     0       +1.50      4.918940E-05    1.000000E-06    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.086503E+01      2.173000E-03     0       +1.50      2.562116E-07    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.093100E+01      2.186000E-03     0       +1.50      7.123990E-05    1.000000E-06    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.120308E+01      2.241000E-03     0       +1.50      3.849294E-06    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.154610E+01      2.309000E-03     0       +1.50      8.061728E-07    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.217766E+01      2.436000E-03     0       +1.50      8.156681E-06    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.286047E+01      2.572000E-03     0       +1.50      3.754377E-05    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.299442E+01      2.599000E-03     0       +1.50      4.583338E-06    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.318873E+01      2.638000E-03     0       +1.50      4.353284E-07    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.396703E+01      2.793000E-03     0       +1.50      7.280955E-06    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.452469E+01      2.905000E-03     0       +1.50      2.522600E-05    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.515743E+01      3.031000E-03     0       +1.50      2.975379E-05    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.540140E+01      3.080000E-03     0       +1.50      1.269549E-05    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.553854E+01      3.108000E-03     0       +1.50      4.356287E-05    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.557990E+01      3.116000E-03     0       +1.50      1.799023E-05    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.611627E+01      3.223000E-03     0       +1.50      1.863225E-05    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.629691E+01      3.259000E-03     0       +1.50      8.953072E-06    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.651907E+01      3.304000E-03     0       +1.50      1.484092E-07    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.662037E+01      3.324000E-03     0       +1.50      2.647448E-09    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.691029E+01      3.382000E-03     0       +1.50      1.013377E-06    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.693205E+01      3.386000E-03     0       +1.50      2.159974E-06    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.747829E+01      3.496000E-03     0       +1.50      1.591773E-05    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.795991E+01      3.592000E-03     0       +1.50      1.228987E-07    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.804548E+01      3.609000E-03     0       +1.50      3.545837E-06    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.898432E+01      3.797000E-03     0       +1.50      7.143419E-06    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.900068E+01      3.800000E-03     0       +1.50      2.293665E-05    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.983048E+01      3.966000E-03     0       +1.50      1.538894E-06    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.991171E+01      3.982000E-03     0       +1.50      3.853198E-06    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.027483E+01      4.055000E-03     0       +1.50      5.798136E-06    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.057897E+01      4.116000E-03     0       +1.50      1.147043E-05    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.084070E+01      4.168000E-03     0       +1.50      2.441324E-05    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.091637E+01      4.183000E-03     0       +1.50      5.123207E-05    1.000000E-06    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.155559E+01      4.311000E-03     0       +1.50      3.496319E-05    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.183602E+01      4.367000E-03     0       +1.50      2.988884E-06    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.186103E+01      4.372000E-03     0       +1.50      6.495067E-05    1.000000E-06    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.192706E+01      4.385000E-03     0       +1.50      1.580354E-04    2.000000E-06    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.218139E+01      4.436000E-03     0       +1.50      4.138432E-08    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.302686E+01      4.605000E-03     0       +1.50      1.784191E-05    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.327267E+01      4.655000E-03     0       +1.50      1.261884E-05    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.350613E+01      4.701000E-03     0       +1.50      3.982229E-05    0.000000E+00    2.064370E-01    8.832800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.381069E+01      4.762000E-03     1       +0.50      1.749480E-10    0.000000E+00    2.097431E-01    8.974300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
