# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 19:04:24 2025
#                        
# Element                            : Eu
# Z                                  : 63
# A                                  : 160
# I                                  : 1
# Half-life                   [sec. ]: 30.8 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.833355E+02 
# Emax2 (background)             [eV]: 1.288680E+04 
# Number of resonances (<Emax)       : 21
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 2.381410E+01 
# Ress Int. (n,g) (systematics)  [b.]: 4.683370E+01 
# MACS 30 keV (calculated)       [b.]: 4.917700E-01
# Westcott factor (calculated)       : 9.836400E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 7.148900E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.866940E+01 
#
# Scattering radius              [fm]: 7.21 +/- 7.21 
#
# Average Gtotal   l=0           [eV]: 5.359810E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 5.089290E-05 
# Average Gg       l=0           [eV]: 5.318310E-02 
# Average level spacing D0 (l=0) [eV]: 1.078440E+01 
# Neutron strength function S0 (l=0) : 2.508630E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -5.179994E+01      1.036000E-02     0       +0.50      4.333126E-04    7.000000E-06    5.345888E-02    3.453100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.648109E+01      7.296000E-03     0       +0.50      1.151781E-03    1.900000E-05    5.345888E-02    3.453100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.966529E+01      3.933000E-03     0       +0.50      4.950457E-04    8.000000E-06    5.345888E-02    3.453100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.324961E+00      2.650000E-04     0       +0.50      6.744161E-04    1.100000E-05    5.345888E-02    3.453100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.022642E+01      2.045000E-03     0       +0.50      1.105016E-04    2.000000E-06    5.345888E-02    3.453100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.165316E+01      4.331000E-03     0       +0.50      1.769645E-04    3.000000E-06    5.345888E-02    3.453100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.709005E+01      7.418000E-03     0       +0.50      1.955169E-03    3.200000E-05    5.345888E-02    3.453100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.887874E+01      1.177600E-02     0       +0.50      4.508872E-04    7.000000E-06    5.345888E-02    3.453100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.821239E+01      1.364200E-02     0       +1.50      6.228298E-05    1.000000E-06    5.310427E-02    3.430200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.182655E+01      1.436500E-02     0       +1.50      1.316632E-03    2.100000E-05    5.310427E-02    3.430200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.589896E+01      1.718000E-02     0       +1.50      3.645838E-04    6.000000E-06    5.310427E-02    3.430200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.376527E+01      1.875300E-02     0       +1.50      4.305391E-04    7.000000E-06    5.310427E-02    3.430200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.012457E+02      2.024900E-02     0       +1.50      1.423934E-04    2.000000E-06    5.310427E-02    3.430200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.087788E+02      2.175600E-02     0       +1.50      8.631613E-05    1.000000E-06    5.310427E-02    3.430200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.208744E+02      2.417500E-02     0       +1.50      2.603892E-04    4.000000E-06    5.310427E-02    3.430200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.279860E+02      2.559700E-02     0       +1.50      4.189163E-04    7.000000E-06    5.310427E-02    3.430200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.397615E+02      2.795200E-02     0       +1.50      4.628936E-08    0.000000E+00    5.310427E-02    3.430200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.510417E+02      3.020800E-02     0       +1.50      3.818922E-04    6.000000E-06    5.310427E-02    3.430200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.598457E+02      3.196900E-02     0       +1.50      9.565179E-04    1.500000E-05    5.310427E-02    3.430200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.670576E+02      3.341200E-02     0       +1.50      2.389928E-04    4.000000E-06    5.310427E-02    3.430200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.739653E+02      3.479300E-02     0       +1.50      5.135135E-06    0.000000E+00    5.310427E-02    3.430200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.833355E+02      3.666700E-02     0       +1.50      1.115859E-04    2.000000E-06    5.310427E-02    3.430200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.911711E+02      3.823400E-02     1       +0.50      6.127171E-07    0.000000E+00    5.345726E-02    3.453000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.935381E+02      3.870800E-02     1       +0.50      1.978746E-07    0.000000E+00    5.345726E-02    3.453000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.959271E+02      3.918500E-02     1       +0.50      7.881296E-08    0.000000E+00    5.345726E-02    3.453000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
