# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 22:41:10 2025
#                        
# Element                            : F
# Z                                  : 9
# A                                  : 17
# I                                  : 0
# Half-life                   [min. ]: 1.07283 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.900059E+05 
# Emax2 (background)             [eV]: 5.000000E+05 
# Number of resonances (<Emax)       : 30
# Number of resonances (<Emax2)      : 35
# Thermal (n,g) xs (systematics) [b.]: 7.514040E-02 
# Ress Int. (n,g) (systematics)  [b.]: 8.828000E-02 
# MACS 30 keV (calculated)       [b.]: 2.781300E-03
# Westcott factor (calculated)       : 1.000570E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.087350E+02 
# Res. Int (n,el) (calculated)   [b.]: 1.540180E+03 
#
# Scattering radius              [fm]: 3.44 +/- 3.44 
#
# Average Gtotal   l=0           [eV]: 1.230900E+05 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.271420E+04 
# Average Gg       l=0           [eV]: 1.280220E+00 
# Average level spacing D0 (l=0) [eV]: 9.666860E+04 
# Neutron strength function S0 (l=0) : 1.128050E-01 
#
# Average Gtotal   l=1           [eV]: 3.829710E+03 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.470860E+04 
# Average Gg       l=1           [eV]: 6.610480E-01 
# Average level spacing D1 (l=1) [eV]: 3.625070E+04 
# Neutron strength function S1 (l=1) : 1.059900E-02 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.805533E+05      7.611066E+01     0       +2.00      3.133564E+05    3.131731E+03    5.735165E-01    2.292730E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.603105E+05      7.206210E+01     0       +2.00      2.984714E+05    2.982968E+03    5.735165E-01    2.292730E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.127140E+05      6.254280E+01     0       +2.00      6.293177E+05    6.289495E+03    5.735165E-01    2.292730E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.105039E+05      6.210078E+01     0       +3.00      9.947043E+05    9.941224E+03    4.617004E-01    1.845720E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.900059E+05      5.800118E+01     0       +3.00      1.155374E+06    1.154698E+04    4.617004E-01    1.845720E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.822485E+05      5.644970E+01     1       +1.00      3.606191E+04    3.604081E+02    9.396878E-01    3.756560E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.801212E+05      5.602424E+01     1       +1.00      8.323442E+01    8.318570E-01    9.396878E-01    3.756560E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.729704E+05      5.459408E+01     1       +1.00      2.536092E+04    2.534608E+02    9.396878E-01    3.756560E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.620787E+05      5.241574E+01     1       +1.00      3.569608E+04    3.567520E+02    9.396878E-01    3.756560E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.508470E+05      5.016940E+01     1       +2.00      2.549053E+04    2.547562E+02    9.112920E-01    3.643040E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.335318E+05      4.670636E+01     1       +2.00      3.063126E+04    3.061334E+02    9.112920E-01    3.643040E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.128439E+05      4.256878E+01     1       +2.00      7.690387E+01    7.685890E-01    9.112920E-01    3.643040E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.181652E+04      1.836331E+01     1       +2.00      2.385604E+04    2.384208E+02    9.112920E-01    3.643040E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.551658E+04      1.310332E+01     1       +3.00      3.478636E+04    3.476601E+02    6.619831E-01    2.646390E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.091918E+04      1.218384E+01     1       +3.00      4.412261E+04    4.409680E+02    6.619831E-01    2.646390E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.278636E+04      4.557272E+00     1       +3.00      7.110981E+03    7.106821E+01    6.619831E-01    2.646390E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.183834E+03      1.436767E+00     1       +3.00      2.198165E+04    2.196879E+02    6.619831E-01    2.646390E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.515789E+03      1.703158E+00     1       +4.00      1.746066E+04    1.745045E+02    1.280223E+00    5.117900E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.050458E+04      2.100916E+00     1       +4.00      2.840135E+04    2.838474E+02    1.280223E+00    5.117900E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.063415E+04      1.412683E+01     1       +4.00      4.786365E+03    4.783565E+01    1.280223E+00    5.117900E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +8.882272E+04      1.776454E+01     1       +4.00      4.417061E+05    4.414477E+03    1.280223E+00    5.117900E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.194467E+05      2.388934E+01     2       +0.00      2.242645E+02    2.241333E+00    6.790409E-01    2.714580E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.396895E+05      2.793790E+01     2       +0.00      2.328924E+04    2.327562E+02    6.790409E-01    2.714580E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
