# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 22:40:36 2025
#                        
# Element                            : Fe
# Z                                  : 26
# A                                  : 62
# I                                  : 0
# Half-life                   [min. ]: 1.13333 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.526133E+04 
# Emax2 (background)             [eV]: 4.550680E+05 
# Number of resonances (<Emax)       : 18
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 5.181710E-01 
# Ress Int. (n,g) (systematics)  [b.]: 7.449840E-01 
# MACS 30 keV (calculated)       [b.]: 3.482500E-03
# Westcott factor (calculated)       : 1.000580E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.919700E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.921900E+02 
#
# Scattering radius              [fm]: 5.27 +/- 5.27 
#
# Average Gtotal   l=0           [eV]: 2.809920E+01 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.282460E-01 
# Average Gg       l=0           [eV]: 8.087270E-02 
# Average level spacing D0 (l=0) [eV]: 5.087110E+03 
# Neutron strength function S0 (l=0) : 1.122430E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -7.626634E+04      1.525327E+01     0       +0.50      2.712269E+00    3.251400E-02    8.087269E-02    3.878000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.027393E+04      1.005479E+01     0       +0.50      3.739948E+01    4.483390E-01    8.087269E-02    3.878000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.712283E+04      9.424566E+00     0       +0.50      8.379464E-01    1.004500E-02    8.087269E-02    3.878000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.503433E+04      9.006866E+00     0       +0.50      7.126753E-01    8.543000E-03    8.087269E-02    3.878000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.538908E+04      7.077816E+00     0       +0.50      1.211188E+01    1.451950E-01    8.087269E-02    3.878000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.283293E+04      4.566586E+00     0       +0.50      3.817253E+01    4.576060E-01    8.087269E-02    3.878000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.097368E+04      4.194736E+00     0       +0.50      8.395913E+01    1.006489E+00    8.087269E-02    3.878000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.735399E+04      3.470798E+00     0       +0.50      2.218242E+01    2.659190E-01    8.087269E-02    3.878000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.395580E+04      2.791160E+00     0       +0.50      4.417683E-01    5.296000E-03    8.087269E-02    3.878000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.108289E+04      2.216578E+00     0       +0.50      3.089136E+02    3.703207E+00    8.087269E-02    3.878000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
