# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 03:27:48 2025
#                        
# Element                            : Fr
# Z                                  : 87
# A                                  : 206
# I                                  : 1
# Half-life                   [sec. ]: 16 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.088610E+00 
# Emax2 (background)             [eV]: 3.000000E+01 
# Number of resonances (<Emax)       : 91
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 3.348190E+02 
# Ress Int. (n,g) (systematics)  [b.]: 3.827360E+02 
# MACS 30 keV (calculated)       [b.]: 2.084900E+00
# Westcott factor (calculated)       : 9.964500E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 7.631810E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.033560E+01 
#
# Scattering radius              [fm]: 7.83 +/- 7.83 
#
# Average Gtotal   l=0           [eV]: 2.033390E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.737130E-07 
# Average Gg       l=0           [eV]: 2.033390E-01 
# Average level spacing D0 (l=0) [eV]: 2.428600E-02 
# Neutron strength function S0 (l=0) : 5.549660E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.056106E-01      2.100000E-05     0       +6.50      5.422731E-09    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.614426E-02      5.000000E-06     0       +6.50      3.657739E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.298816E-02      3.000000E-06     0       +6.50      1.615501E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -1.104354E-02      2.000000E-06     0       +6.50      1.827719E-09    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.081466E-02      2.000000E-06     0       +6.50      4.823790E-08    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.130263E-02      2.000000E-06     0       +6.50      8.542337E-09    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.298816E-02      3.000000E-06     0       +6.50      1.076019E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +5.916746E-02      1.200000E-05     0       +6.50      3.376352E-08    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.485832E-02      1.300000E-05     0       +6.50      1.843435E-08    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.810125E-02      1.800000E-05     0       +6.50      7.091190E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.879231E-02      1.800000E-05     0       +6.50      1.388942E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.877484E-02      2.000000E-05     0       +6.50      5.153963E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.059285E-01      2.100000E-05     0       +6.50      2.450112E-08    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.347625E-01      2.700000E-05     0       +6.50      7.603736E-09    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.874771E-01      3.700000E-05     0       +6.50      5.424970E-11    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.592744E-01      5.200000E-05     0       +6.50      4.908310E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.683298E-01      5.400000E-05     0       +6.50      1.131354E-06    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.850215E-01      5.700000E-05     0       +6.50      2.603539E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.007180E-01      6.000000E-05     0       +6.50      9.781779E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.158658E-01      6.300000E-05     0       +6.50      3.322300E-10    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.312800E-01      6.600000E-05     0       +6.50      9.559144E-08    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.376998E-01      6.800000E-05     0       +6.50      4.333360E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.008743E-01      8.000000E-05     0       +6.50      1.348692E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.073812E-01      8.100000E-05     0       +6.50      3.396854E-08    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.378458E-01      8.800000E-05     0       +6.50      7.187834E-08    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.870403E-01      9.700000E-05     0       +6.50      2.327832E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.032254E-01      1.010000E-04     0       +6.50      1.789351E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.374162E-01      1.070000E-04     0       +6.50      2.753113E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.615796E-01      1.120000E-04     0       +6.50      2.267631E-08    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.660602E-01      1.130000E-04     0       +6.50      1.900680E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.863667E-01      1.170000E-04     0       +6.50      3.197266E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.173349E-01      1.230000E-04     0       +6.50      8.374963E-08    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.585492E-01      1.320000E-04     0       +6.50      3.371837E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.505736E-01      1.500000E-04     0       +6.50      1.158135E-09    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.608416E-01      1.520000E-04     0       +6.50      1.629699E-08    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.823856E-01      1.560000E-04     0       +6.50      8.306136E-08    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.855299E-01      1.570000E-04     0       +6.50      2.980609E-09    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.076904E-01      1.620000E-04     0       +6.50      1.171975E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.271353E-01      1.650000E-04     0       +6.50      1.143556E-08    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.343585E-01      1.670000E-04     0       +6.50      5.509559E-08    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.398287E-01      1.680000E-04     0       +6.50      6.451693E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.031401E-01      1.810000E-04     0       +6.50      2.148038E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.235162E-01      1.850000E-04     0       +6.50      6.147701E-08    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.310801E-01      1.860000E-04     0       +6.50      4.585512E-08    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.723623E-01      1.940000E-04     0       +6.50      5.630185E-09    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.764051E-01      1.950000E-04     0       +6.50      3.797278E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.800382E-01      1.960000E-04     0       +6.50      1.677105E-07    0.000000E+00    2.061603E-01    9.635700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.007442E+00      2.010000E-04     0       +7.50      2.618859E-07    0.000000E+00    2.007051E-01    9.380700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
