# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:34:26 2025
#                        
# Element                            : Fr
# Z                                  : 87
# A                                  : 222
# I                                  : 0
# Half-life                   [min. ]: 14.2 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.664992E+01 
# Emax2 (background)             [eV]: 5.000000E+01 
# Number of resonances (<Emax)       : 95
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 7.199030E-01 
# Ress Int. (n,g) (systematics)  [b.]: 1.956510E+02 
# MACS 30 keV (calculated)       [b.]: 1.293000E+00
# Westcott factor (calculated)       : 1.100800E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.929400E+01 
# Res. Int (n,el) (calculated)   [b.]: 3.855840E+03 
#
# Thermal  (n,f) xs              [b.]: 1.019770E-02 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 1.544100E+00
#
# Scattering radius              [fm]: 8.03 +/- 8.03 
#
# Average Gtotal   l=0           [eV]: 2.402570E-04 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.085450E-04 
# Average Gg       l=0           [eV]: 1.040400E-05 
# Average level spacing D0 (l=0) [eV]: 2.006010E-01 
# Neutron strength function S0 (l=0) : 2.558610E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.150713E+00      6.300000E-04     0       +1.50      2.036132E-05    0.000000E+00    1.057518E-05    7.000000E-06    +1.497976E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.950232E+00      5.900000E-04     0       +1.50      3.902146E-05    1.000000E-06    1.057518E-05    7.000000E-06    +1.497976E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.778143E+00      5.560000E-04     0       +1.50      1.442109E-04    2.000000E-06    1.057518E-05    7.000000E-06    +1.497976E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.728964E+00      5.460000E-04     0       +1.50      4.086428E-06    0.000000E+00    1.057518E-05    7.000000E-06    +1.497976E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.185957E+00      4.370000E-04     0       +1.50      5.842941E-05    1.000000E-06    1.057518E-05    7.000000E-06    +1.497976E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.032927E+00      4.070000E-04     0       +1.50      7.769008E-07    0.000000E+00    1.057518E-05    7.000000E-06    +1.497976E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.898619E+00      3.800000E-04     0       +1.50      3.793324E-06    0.000000E+00    1.057518E-05    7.000000E-06    +1.497976E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.423594E+00      2.850000E-04     0       +1.50      4.612680E-05    1.000000E-06    1.057518E-05    7.000000E-06    +1.497976E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.877165E-01      1.780000E-04     0       +1.50      2.115182E-04    3.000000E-06    1.057518E-05    7.000000E-06    +1.497976E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.683516E-01      9.400000E-05     0       +1.50      2.499629E-05    0.000000E+00    1.057518E-05    7.000000E-06    +1.497976E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
